"","Country","Attitude","Resources"
"1","Albania",11.8,8.6
"2","Kosovo",11.4,9.1
"3","Georgia",11.4,10.3
"4","Armenia",11.4,9.5
"5","Morocco",11.3,6.9
"6","Azerbaijan",10.9,9.1
"7","Kazakhstan",11.1,9.8
"8","Turkey (5)",10.9,8.7
"9","North Macedonia",11,9.3
"10","Montenegro",10.9,10
"11","Oman",10.8,9.4
"12","Iran, Islamic Rep. of",10.8,8.7
"13","Saudi Arabia",10.8,9.4
"14","Cyprus",10.5,10.9
"15","Bahrain",10.6,9.9
"16","Bulgaria",10.4,9.6
"17","United Arab Emirates",10.5,10.4
"18","Portugal",10.3,10.2
"19","France",10.2,10.8
"20","Bosnia and Herzegovina",10.1,9.3
"21","Malta",10.1,10.8
"22","Lithuania",10.1,10.4
"23","Kuwait",10.2,9.8
"24","South Africa (5)",10.3,8.5
"25","Italy",10,9.8
"26","England",9.9,NA
"27","Qatar",10,10.2
"28","Chile",10,9.3
"29","Russian Federation",10,10.3
"30","Austria",9.8,10.6
"31","New Zealand",9.8,11.4
"32","Australia",9.7,NA
"33","Hungary",9.7,10.6
"34","United States",9.7,NA
"35","Canada",9.7,11.3
"36","Spain",9.7,10.4
"37","Singapore",9.7,11
"38","Slovak Republic",9.7,10.2
"39","Ireland",9.5,11.1
"40","Pakistan",9.9,8
"41","Serbia",9.6,10
"42","Sweden",9.5,11.2
"43","Germany",9.5,10.8
"44","Belgium (Flemish)",9.4,10.7
"45","Czech Republic",9.4,10.8
"46","Latvia",9.5,10.6
"47","Norway (5)",9.4,11.5
"48","Philippines",9.8,8.1
"49","Northern Ireland",9.4,11.1
"50","Hong Kong SAR",9.3,10.5
"51","Netherlands",9.3,NA
"52","Poland",9.2,10.6
"53","Japan",9.4,10.3
"54","Denmark",9.2,11.3
"55","Finland",9.2,11.2
"56","Croatia",9.1,9.9
"57","Korea, Rep. of",8.9,11.9
"58","Chinese Taipei",8.9,10.4
"59","Dubai, UAE",10.7,10.8
"60","Abu Dhabi, UAE",10.1,NA
"61","Quebec, Canada",9.9,11.2
"62","Moscow City, Russian Fed.",9.9,11.4
"63","Madrid, Spain",9.7,10.9
"64","Ontario, Canada",9.6,11.3
