"","Country","2019","2015","2011","2007","2003","1995"
"1","Armenia",498,481,452,NA,456,NA
"2","Australia",516,517,516,516,499,495
"3","Austria",539,NA,508,505,NA,531
"4","Azerbaijan",515,NA,463,NA,NA,NA
"5","Bahrain",480,451,436,NA,NA,NA
"6","Belgium (Flemish)",532,546,549,NA,551,NA
"7","Bulgaria",515,524,NA,NA,NA,NA
"8","Canada",512,511,NA,NA,NA,NA
"9","Chile",441,459,462,NA,NA,NA
"10","Chinese Taipei",599,597,591,576,564,NA
"11","Croatia",509,502,490,NA,NA,NA
"12","Cyprus",532,523,NA,NA,510,475
"13","Czech Republic",533,528,511,486,NA,541
"14","Denmark",525,539,537,523,NA,NA
"15","England",556,546,542,541,531,484
"16","Finland",532,535,545,NA,NA,NA
"17","France",485,488,NA,NA,NA,NA
"18","Georgia",482,463,450,438,NA,NA
"19","Germany",521,522,528,525,NA,NA
"20","Hong Kong SAR",602,615,602,607,575,557
"21","Hungary",523,529,515,510,529,521
"22","Iran, Islamic Rep. of",443,431,431,402,389,387
"23","Ireland",548,547,527,NA,NA,523
"24","Italy",515,507,508,507,503,NA
"25","Japan",593,593,585,568,565,567
"26","Kazakhstan",512,NA,501,NA,NA,NA
"27","Korea, Rep. of",600,608,605,NA,NA,581
"28","Kuwait",383,353,NA,NA,NA,NA
"29","Latvia",546,NA,NA,NA,536,NA
"30","Lithuania",542,535,534,530,534,NA
"31","Malta",509,NA,496,NA,NA,NA
"32","Morocco",383,377,335,NA,NA,NA
"33","Netherlands",538,530,540,535,540,549
"34","New Zealand",487,491,486,492,493,469
"35","Northern Ireland",566,570,562,NA,NA,NA
"36","Norway (5)",543,549,NA,NA,NA,NA
"37","Oman",431,425,385,NA,NA,NA
"38","Philippines",297,NA,NA,NA,358,NA
"39","Poland",520,535,NA,NA,NA,NA
"40","Portugal",525,541,532,NA,NA,442
"41","Qatar",449,439,413,NA,NA,NA
"42","Russian Federation",567,564,542,544,532,NA
"43","Saudi Arabia",398,383,410,NA,NA,NA
"44","Serbia",508,518,516,NA,NA,NA
"45","Singapore",625,618,606,599,594,590
"46","Slovak Republic",510,498,507,496,NA,NA
"47","South Africa (5)",374,376,NA,NA,NA,NA
"48","Spain",502,505,482,NA,NA,NA
"49","Sweden",521,519,504,503,NA,NA
"50","United Arab Emirates",481,452,434,NA,NA,NA
"51","United States",535,539,541,529,518,518
