"","Country","2019","2015","2011","2007","2003","1995"
"1","Australia",528,512,519,515,527,NA
"2","Bahrain",486,466,452,467,438,NA
"3","Chile",462,454,461,NA,413,420
"4","Chinese Taipei",574,569,564,561,571,569
"5","Cyprus",484,NA,NA,452,441,460
"6","Egypt",389,371,NA,408,421,NA
"7","England",517,537,533,542,544,538
"8","Finland",543,NA,552,NA,NA,NA
"9","France",489,NA,NA,NA,NA,NA
"10","Georgia",447,443,420,421,NA,NA
"11","Hong Kong SAR",504,546,535,530,556,530
"12","Hungary",530,527,522,539,543,552
"13","Iran, Islamic Rep. of",449,456,474,459,453,448
"14","Ireland",523,530,NA,NA,NA,NA
"15","Israel",513,507,516,NA,NA,NA
"16","Italy",500,499,501,495,491,493
"17","Japan",570,571,558,554,552,550
"18","Jordan",452,426,449,482,475,450
"19","Kazakhstan",478,NA,490,NA,NA,NA
"20","Korea, Rep. of",561,556,560,553,558,549
"21","Kuwait",444,411,NA,NA,NA,NA
"22","Lebanon",377,398,406,414,393,NA
"23","Lithuania",534,519,514,519,519,488
"24","Malaysia",460,471,426,471,510,492
"25","Morocco",394,393,376,NA,NA,NA
"26","New Zealand",499,513,512,NA,520,510
"27","Norway (9)",495,509,NA,NA,NA,NA
"28","Oman",457,455,420,423,NA,NA
"29","Portugal",519,NA,NA,NA,NA,NA
"30","Qatar",475,457,419,NA,NA,NA
"31","Romania",470,NA,465,462,470,472
"32","Russian Federation",543,544,542,530,514,529
"33","Saudi Arabia",431,396,436,NA,NA,NA
"34","Singapore",608,597,590,567,578,568
"35","South Africa (9)",370,358,332,NA,NA,NA
"36","Sweden",521,522,509,511,524,NA
"37","Turkey",515,493,483,NA,NA,NA
"38","United Arab Emirates",473,477,465,NA,NA,NA
"39","United States",522,530,525,520,527,515
