Country,Girls,Boys
Philippines,315,280
Saudi Arabia,412,385
South Africa (5),384,364
Pakistan,338,319
Oman,438,424
Kuwait,387,380
Bahrain,482,477
Azerbaijan,517,514
Morocco,385,382
Armenia,499,497
Serbia,509,507
Qatar,450,449
Japan,593,593
Kazakhstan,512,512
North Macedonia,472,472
Bulgaria,514,516
Finland,531,533
Albania,493,495
Northern Ireland,564,568
Turkey,521,525
Chinese Taipei,597,601
Norway,540,545
Kosovo,442,447
Lithuania,540,544
Latvia,544,548
Montenegro,450,455
"Korea, Rep. of",597,602
New Zealand,484,490
Hong Kong SAR,599,604
Ireland,545,552
Denmark,521,528
Sweden,518,525
England,552,560
"Iran, Islamic Rep. of",439,447
Malta,505,513
Georgia,478,486
Austria,535,543
Singapore,621,629
Poland,516,524
United Arab Emirates,477,486
Russian Federation,563,571
Netherlands,533,542
Chile,437,445
Bosnia and Herzegovina,447,456
Australia,511,521
Germany,516,526
Belgium (Flemish),527,538
Czech Republic,527,538
United States,529,540
Hungary,518,529
Croatia,504,515
Italy,509,521
Slovak Republic,503,516
France,478,491
Spain,495,509
Portugal,516,533
Cyprus,523,542
Canada,502,521
International Average,499,503
,,
"Abu Dhabi, UAE",438,443
"Dubai, UAE",540,548
"Moscow City, Russian Fed.",588,597
"Madrid, Spain",510,526
"Quebec, Canada",523,541
"Ontario, Canada",502,521
