"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Australia","374","408","462","521","575","622","649","513","522"
"Bahrain","299","335","393","455","512","561","591","459","443"
"Belgium (Flemish)","445","468","505","546","587","624","645","543","549"
"Bulgaria","373","413","475","531","581","624","649","527","522"
"Canada","382","413","462","514","562","604","629","506","515"
"Chile","337","363","408","460","509","551","577","458","459"
"Chinese Taipei","474","505","552","599","645","685","709","594","599"
"Croatia","390","415","460","505","548","584","605","496","508"
"Cyprus","382","415","471","527","579","623","648","520","526"
"Czech Republic","409","437","484","530","576","616","640","525","532"
"Denmark","408","440","490","542","591","633","656","536","542"
"England","407","438","490","547","602","651","682","543","549"
"Finland","421","448","492","538","582","619","639","540","531"
"France","361","390","438","491","540","584","607","485","491"
"Georgia","310","347","408","469","524","570","597","465","461"
"Germany","410","437","479","524","566","604","626","520","523"
"Hong Kong SAR","505","531","573","616","659","696","721","609","619"
"Hungary","372","412","475","537","591","635","660","526","532"
"Indonesia","244","280","339","401","461","509","537","403","393"
"Iran, Islamic Rep. of","248","290","367","441","504","555","583","437","426"
"Ireland","420","451","501","552","598","636","658","545","549"
"Italy","383","413","461","510","556","596","619","497","517"
"Japan","476","505","549","594","639","680","703","593","593"
"Jordan","192","240","320","400","465","518","547","399","379"
"Kazakhstan","413","440","487","543","599","650","682","546","543"
"Korea, Rep. of","494","522","565","611","653","691","715","604","612"
"Kuwait","180","217","281","354","426","487","522","359","347"
"Lithuania","411","441","489","540","584","624","646","537","534"
"Morocco","220","253","311","377","445","504","533","378","377"
"Netherlands","436","457","492","531","569","601","619","526","534"
"New Zealand","335","371","432","495","553","602","632","489","492"
"Northern Ireland","420","456","514","576","630","675","702","569","571"
"Norway","430","459","504","550","597","638","661","551","547"
"Oman","256","293","356","428","496","553","587","436","415"
"Poland","412","441","487","539","585","624","645","534","536"
"Portugal","420","447","492","543","592","632","657","536","547"
"Qatar","279","312","372","441","506","563","597","440","438"
"Russian Federation","441","470","517","565","613","656","683","564","564"
"Saudi Arabia","233","264","321","383","446","502","534","405","363"
"Serbia","363","403","466","523","577","625","650","520","517"
"Singapore","458","502","566","625","677","722","746","620","616"
"Slovak Republic","354","391","450","506","552","593","618","493","504"
"Slovenia","401","430","476","522","568","605","629","518","522"
"South Africa","219","250","303","369","443","513","554","384","368"
"Spain","388","414","459","508","554","592","614","499","511"
"Sweden","398","428","475","522","567","604","626","519","518"
"Turkey","311","354","424","492","551","598","623","482","484"
"United Arab Emirates","276","312","377","454","527","587","623","453","450"
"United States","398","432","485","543","596","640","667","536","543"
