"Country","X5thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X95thPercentile","mean_girls","mean_boys"
"Singapore","445","565",616,"679","740","617","614"
"Chinese Taipei","435","550",612,"682","759","614","611"
"Korea, Rep. of","435","547",606,"674","755","604","609"
"Japan","451","538",594,"653","727","593","595"
"Hong Kong SAR","410","524",578,"641","714","582","575"
"Russian Federation","409","488",544,"598","676","541","546"
"Ireland","395","476",524,"574","636","524","523"
"Lithuania","384","466",520,"577","652","519","521"
"Israel","352","450",519,"591","674","514","525"
"Australia","369","456",518,"578","666","515","519"
"Hungary","366","455",516,"580","661","510","524"
"United States","348","448",516,"588","671","517","514"
"England","363","457",515,"575","660","514","516"
"Finland","384","460",509,"560","624","511","507"
"Norway","370","450",503,"558","626","503","503"
"Sweden","373","449",503,"556","626","504","501"
"Cyprus","362","445",501,"559","631","503","499"
"Portugal","380","451",500,"551","623","495","505"
"Italy","378","448",498,"548","611","491","504"
"Turkey","322","418",496,"572","677","501","490"
"Kazakhstan","355","431",488,"544","624","490","486"
"France","369","436",482,"531","593","478","487"
"New Zealand","333","422",482,"542","629","478","484"
"Bahrain","317","413",481,"550","628","492","471"
"Romania","317","410",479,"550","635","487","471"
"United Arab Emirates","302","400",474,"548","639","476","471"
"Georgia","318","400",462,"524","604","457","465"
"Malaysia","319","396",460,"521","618","465","456"
"Iran, Islamic Rep. of","296","383",446,"509","602","453","440"
"Qatar","293","374",444,"511","606","447","440"
"Chile","318","388",440,"493","568","436","445"
"Lebanon","313","378",430,"479","551","427","432"
"Jordan","274","361",420,"481","558","432","409"
"Egypt","252","347",413,"481","567","420","404"
"Oman","246","341",410,"482","568","432","391"
"Kuwait","262","341",403,"462","552","407","398"
"Saudi Arabia","268","339",394,"446","523","403","385"
"South Africa","274","336",390,"436","527","393","386"
"Morocco","277","339",388,"433","514","386","391"
