"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Australia","389","423","476","529","576","617","640","524","523"
"Bahrain","272","317","391","468","533","587","617","478","439"
"Belgium (Flemish)","406","430","471","514","554","588","609","512","511"
"Bulgaria","352","403","483","549","602","644","668","540","532"
"Canada","398","429","479","528","575","615","638","526","524"
"Chile","353","380","428","480","530","571","595","477","478"
"Chinese Taipei","435","465","513","559","602","639","661","551","560"
"Croatia","426","453","494","536","576","611","630","532","534"
"Cyprus","349","381","432","486","534","574","597","481","481"
"Czech Republic","414","444","490","538","583","620","644","530","538"
"Denmark","406","436","483","531","575","612","633","525","529"
"England","417","445","490","537","583","623","648","536","536"
"Finland","444","472","514","557","597","633","654","560","548"
"France","363","391","439","491","539","579","602","487","487"
"Georgia","296","337","397","457","511","557","584","453","449"
"Germany","409","437","483","531","577","616","638","527","529"
"Hong Kong SAR","437","465","512","559","604","644","668","551","561"
"Hungary","393","433","493","551","598","639","663","538","546"
"Indonesia","219","259","327","402","471","526","557","401","393"
"Iran, Islamic Rep. of","238","279","354","432","496","545","571","427","415"
"Ireland","405","437","486","534","577","612","635","526","531"
"Italy","399","429","474","521","562","597","618","512","521"
"Japan","459","486","528","572","613","648","671","567","571"
"Kazakhstan","412","442","493","548","606","659","692","552","547"
"Korea, Rep. of","479","508","550","592","632","666","687","584","595"
"Kuwait","130","171","246","337","431","503","542","352","322"
"Lithuania","406","437","483","532","576","613","634","529","526"
"Morocco","157","197","266","349","440","512","550","358","347"
"Netherlands","414","438","477","520","559","592","610","517","517"
"New Zealand","351","389","451","513","566","608","633","507","504"
"Northern Ireland","397","429","477","524","568","605","627","520","520"
"Norway","427","457","498","541","580","615","636","538","537"
"Oman","228","271","348","437","516","581","617","447","415"
"Poland","427","457","504","552","596","632","651","548","546"
"Portugal","407","430","469","509","549","583","604","504","512"
"Qatar","244","285","359","443","517","574","606","448","424"
"Russian Federation","449","479","524","570","615","653","674","567","567"
"Saudi Arabia","194","235","310","395","474","537","573","431","352"
"Serbia","375","419","480","532","580","619","641","526","523"
"Singapore","434","476","540","599","650","692","716","591","590"
"Slovak Republic","362","406","473","530","578","620","645","516","524"
"Slovenia","420","451","499","547","591","628","648","539","546"
"Spain","399","427","474","522","566","604","626","515","521"
"Sweden","410","444","496","545","591","629","652","544","536"
"Turkey","313","358","428","494","547","593","618","484","483"
"United Arab Emirates","242","285","365","460","541","602","636","459","444"
"United States","404","439","495","551","602","644","669","544","548"
