"","Country","Average","GirlsAverage","BoysAverage"
"1","Singapore",625,621,629
"2","Hong Kong SAR",602,599,604
"3","Korea, Rep. of",600,597,602
"4","Chinese Taipei",599,597,601
"5","Japan",593,593,593
"6","Russian Federation",567,563,571
"7","Northern Ireland",566,564,568
"8","England",556,552,560
"9","Ireland",548,545,552
"10","Latvia",546,544,548
"11","Norway (5)",543,540,545
"12","Lithuania",542,540,544
"13","Austria",539,535,543
"14","Netherlands",538,533,542
"15","United States",535,529,540
"16","Czech Republic",533,527,538
"17","Belgium (Flemish)",532,527,538
"18","Cyprus",532,523,542
"19","Finland",532,531,533
"20","Portugal",525,516,533
"21","Denmark",525,521,528
"22","Hungary",523,518,529
"23","Turkey (5)",523,521,525
"24","Sweden",521,518,525
"25","Germany",521,516,526
"26","Poland",520,516,524
"27","Australia",516,511,521
"28","Azerbaijan",515,517,514
"29","Bulgaria",515,514,516
"30","Italy",515,509,521
"31","Kazakhstan",512,512,512
"32","Canada",512,502,521
"33","Slovak Republic",510,503,516
"34","Croatia",509,504,515
"35","Malta",509,505,513
"36","Serbia",508,509,507
"37","Spain",502,495,509
"38","Armenia",498,499,497
"39","Albania",494,493,495
"40","New Zealand",487,484,490
"41","France",485,478,491
"42","Georgia",482,478,486
"43","United Arab Emirates",481,477,486
"44","Bahrain",480,482,477
"45","North Macedonia",472,472,472
"46","Montenegro",453,450,455
"47","Bosnia and Herzegovina",452,447,456
"48","Qatar",449,450,449
"49","Kosovo",444,442,447
"50","Iran, Islamic Rep. of",443,439,447
"51","Chile",441,437,445
"52","Oman",431,438,424
"53","Saudi Arabia",398,412,385
"54","Morocco",383,385,382
"55","Kuwait",383,387,380
"56","South Africa (5)",374,384,364
"57","Pakistan",328,338,319
"58","Philippines",297,315,280
"59","Moscow City, Russian Fed.",593,588,597
"60","Dubai, UAE",544,540,548
"61","Quebec, Canada",532,523,541
"62","Madrid, Spain",518,510,526
"63","Ontario, Canada",512,502,521
"64","Abu Dhabi, UAE",441,438,443
