"","Country","Average","GirlsAverage","BoysAverage"
"1","Singapore",595,591,598
"2","Korea, Rep. of",588,583,592
"3","Russian Federation",567,567,568
"4","Japan",562,565,559
"5","Chinese Taipei",558,557,559
"6","Finland",555,557,552
"7","Latvia",542,544,540
"8","Norway (5)",539,541,538
"9","United States",539,536,541
"10","Lithuania",538,540,536
"11","Sweden",537,538,536
"12","England",537,537,537
"13","Czech Republic",534,529,538
"14","Australia",533,533,532
"15","Hong Kong SAR",531,531,531
"16","Poland",531,532,529
"17","Hungary",529,526,533
"18","Ireland",528,526,530
"19","Turkey (5)",526,524,529
"20","Croatia",524,524,524
"21","Canada",523,520,526
"22","Denmark",522,523,522
"23","Austria",522,519,525
"24","Bulgaria",521,525,518
"25","Slovak Republic",521,518,523
"26","Northern Ireland",518,519,518
"27","Netherlands",518,519,518
"28","Germany",518,516,520
"29","Serbia",517,521,513
"30","Cyprus",511,509,514
"31","Spain",511,511,512
"32","Italy",510,506,514
"33","Portugal",504,501,506
"34","New Zealand",503,505,500
"35","Belgium (Flemish)",501,499,503
"36","Malta",496,493,498
"37","Kazakhstan",494,497,491
"38","Bahrain",493,510,476
"39","Albania",489,494,485
"40","France",488,489,487
"41","United Arab Emirates",473,475,471
"42","Chile",469,466,472
"43","Armenia",466,471,462
"44","Bosnia and Herzegovina",459,462,455
"45","Georgia",454,452,457
"46","Montenegro",453,457,451
"47","Qatar",449,456,443
"48","Iran, Islamic Rep. of",441,440,442
"49","Oman",435,447,423
"50","Azerbaijan",427,429,425
"51","North Macedonia",426,433,419
"52","Kosovo",413,420,407
"53","Saudi Arabia",402,434,373
"54","Kuwait",392,413,374
"55","Morocco",374,379,370
"56","South Africa (5)",324,335,314
"57","Pakistan",290,311,273
"58","Philippines",249,261,238
"59","Moscow City, Russian Fed.",595,595,595
"60","Dubai, UAE",545,545,544
"61","Ontario, Canada",524,522,526
"62","Madrid, Spain",523,521,524
"63","Quebec, Canada",522,519,525
"64","Abu Dhabi, UAE",418,422,413
