"Country","Score"
"Singapore",625
"Hong Kong SAR",602
"Korea, Rep. of",600
"Chinese Taipei",599
"Japan",593
"Russian Federation",567
"Northern Ireland",566
"England",556
"Ireland",548
"Latvia",546
"Norway (5)",543
"Lithuania",542
"Austria",539
"Netherlands",538
"United States",535
"Czech Republic",533
"Belgium (Flemish)",532
"Cyprus",532
"Finland",532
"Portugal",525
"Denmark",525
"Hungary",523
"Turkey (5)",523
"Sweden",521
"Germany",521
"Poland",520
"Australia",516
"Azerbaijan",515
"Bulgaria",515
"Italy",515
"Kazakhstan",512
"Canada",512
"Slovak Republic",510
"Croatia",509
"Malta",509
"Serbia",508
"Spain",502
"TIMSS Scale Centerpoint",500
"Armenia",498
"Albania",494
"New Zealand",487
"France",485
"Georgia",482
"United Arab Emirates",481
"Bahrain",480
"North Macedonia",472
"Montenegro",453
"Bosnia and Herzegovina",452
"Qatar",449
"Kosovo",444
"Iran, Islamic Rep. of",443
"Chile",441
"Oman",431
"Saudi Arabia",398
"Morocco",383
"Kuwait",383
"South Africa (5)",374
"Pakistan",328
"Philippines",297
"Moscow City, Russian Fed.",593
"Dubai, UAE",544
"Quebec, Canada",532
"Madrid, Spain",518
"Ontario, Canada",512
"Abu Dhabi, UAE",441
