"Country","Score"
"Singapore",608
"Chinese Taipei",574
"Japan",570
"Korea, Rep. of",561
"Russian Federation",543
"Finland",543
"Lithuania",534
"Hungary",530
"Australia",528
"Ireland",523
"United States",522
"Sweden",521
"Portugal",519
"England",517
"Turkey",515
"Israel",513
"Hong Kong SAR",504
"Italy",500
"TIMSS Scale Centerpoint",500
"New Zealand",499
"Norway (9)",495
"France",489
"Bahrain",486
"Cyprus",484
"Kazakhstan",478
"Qatar",475
"United Arab Emirates",473
"Romania",470
"Chile",462
"Malaysia",460
"Oman",457
"Jordan",452
"Iran, Islamic Rep. of",449
"Georgia",447
"Kuwait",444
"Saudi Arabia",431
"Morocco",394
"Egypt",389
"Lebanon",377
"South Africa (9)",370
"Moscow City, Russian Fed.",567
"Dubai, UAE",548
"Quebec, Canada",537
"Ontario, Canada",522
"Western Cape, RSA (9)",439
"Gauteng, RSA (9)",422
"Abu Dhabi, UAE",420
