"Countries","Girls","Boys"
"Oman",485,431
"Jordan",480,427
"Bahrain",512,461
"Saudi Arabia",455,408
"Kuwait",461,426
"Qatar",488,461
"Egypt",402,374
"United Arab Emirates",486,461
"Finland",552,533
"Iran, Islamic Rep. of",459,441
"Cyprus",491,476
"South Africa (9)",376,364
"Sweden",527,516
"Romania",475,465
"Turkey",520,510
"Kazakhstan",483,474
"Malaysia",463,458
"Ireland",526,521
"Lebanon",379,374
"United States",525,520
"England",518,515
"Lithuania",535,533
"Hong Kong SAR",505,503
"Morocco",395,393
"Georgia",447,446
"Australia",529,528
"Norway (9)",495,496
"New Zealand",497,500
"Israel",512,515
"France",487,490
"Chinese Taipei",572,576
"Portugal",516,522
"Singapore",604,611
"Russian Federation",539,546
"Italy",497,504
"Japan",565,575
"Korea, Rep. of",555,566
"Chile",457,468
"Hungary",520,540
"International Average",495,485
"Abu Dhabi, UAE",436,406
"Gauteng, RSA (9)",427,416
"Dubai, UAE",551,544
"Quebec, Canada",537,536
"Ontario, Canada",520,523
"Moscow City, Russian Fed.",561,572
"Western Cape, RSA (9)",434,445
