"Year","Number","Measurement and Geometry","Data","Country"
"2019",518,490,446,"Armenia"
"2015",510,444,407,"Armenia"
"2011",484,424,386,"Armenia"
"2019",506,516,534,"Australia"
"2015",509,527,533,"Australia"
"2011",508,534,515,"Australia"
"2007",503,536,532,"Australia"
"2019",542,542,528,"Austria"
"2011",506,512,515,"Austria"
"2007",506,506,502,"Austria"
"2019",526,503,504,"Azerbaijan"
"2011",491,437,407,"Azerbaijan"
"2019",478,474,483,"Bahrain"
"2015",453,447,454,"Bahrain"
"2011",439,422,442,"Bahrain"
"2019",526,551,527,"Belgium (Flemish)"
"2015",543,564,523,"Belgium (Flemish)"
"2011",552,552,536,"Belgium (Flemish)"
"2019",521,522,490,"Bulgaria"
"2015",529,525,504,"Bulgaria"
"2019",505,511,523,"Canada"
"2015",503,517,528,"Canada"
"2019",599,607,590,"Chinese Taipei"
"2015",599,597,591,"Chinese Taipei"
"2011",599,573,600,"Chinese Taipei"
"2007",583,566,576,"Chinese Taipei"
"2019",512,518,494,"Croatia"
"2015",498,512,498,"Croatia"
"2011",491,490,488,"Croatia"
"2019",538,526,524,"Cyprus"
"2015",528,524,507,"Cyprus"
"2019",536,540,518,"Czech Republic"
"2015",528,531,525,"Czech Republic"
"2011",509,513,519,"Czech Republic"
"2007",486,487,482,"Czech Republic"
"2019",518,536,525,"Denmark"
"2015",535,555,526,"Denmark"
"2011",534,548,532,"Denmark"
"2007",513,546,527,"Denmark"
"2019",559,545,565,"England"
"2015",547,542,552,"England"
"2011",539,545,549,"England"
"2007",535,552,551,"England"
"2019",528,538,534,"Finland"
"2015",532,539,542,"Finland"
"2011",545,543,551,"Finland"
"2019",480,498,476,"France"
"2015",483,503,476,"France"
"2019",501,470,444,"Georgia"
"2015",483,429,435,"Georgia"
"2011",473,411,433,"Georgia"
"2007",470,395,390,"Georgia"
"2019",517,531,515,"Germany"
"2015",515,531,535,"Germany"
"2011",520,536,546,"Germany"
"2007",524,527,532,"Germany"
"2019",598,608,607,"Hong Kong SAR"
"2015",616,617,611,"Hong Kong SAR"
"2011",604,605,593,"Hong Kong SAR"
"2007",608,613,600,"Hong Kong SAR"
"2019",531,519,508,"Hungary"
"2015",531,536,513,"Hungary"
"2011",515,520,510,"Hungary"
"2007",515,507,497,"Hungary"
"2019",446,445,424,"Iran, Islamic Rep. of"
"2015",435,428,416,"Iran, Islamic Rep. of"
"2011",440,435,397,"Iran, Islamic Rep. of"
"2007",407,408,374,"Iran, Islamic Rep. of"
"2019",555,540,543,"Ireland"
"2015",551,542,548,"Ireland"
"2011",533,520,523,"Ireland"
"2019",522,510,498,"Italy"
"2015",510,503,498,"Italy"
"2011",510,513,495,"Italy"
"2007",510,507,499,"Italy"
"2019",586,601,606,"Japan"
"2015",592,601,593,"Japan"
"2011",584,589,590,"Japan"
"2007",564,575,588,"Japan"
"2019",523,513,481,"Kazakhstan"
"2011",515,491,476,"Kazakhstan"
"2019",593,608,602,"Korea, Rep. of"
"2015",610,610,607,"Korea, Rep. of"
"2011",606,607,603,"Korea, Rep. of"
"2019",538,543,545,"Lithuania"
"2015",538,526,540,"Lithuania"
"2011",537,531,526,"Lithuania"
"2007",536,518,529,"Lithuania"
"2019",512,497,512,"Malta"
"2011",498,487,498,"Malta"
"2019",383,386,374,"Morocco"
"2015",381,385,351,"Morocco"
"2011",340,350,271,"Morocco"
"2019",533,537,549,"Netherlands"
"2015",531,522,539,"Netherlands"
"2011",543,524,559,"Netherlands"
"2007",539,522,545,"Netherlands"
"2019",478,481,504,"New Zealand"
"2015",485,489,506,"New Zealand"
"2011",483,483,491,"New Zealand"
"2007",485,495,506,"New Zealand"
"2019",572,556,564,"Northern Ireland"
"2015",574,566,567,"Northern Ireland"
"2011",566,560,555,"Northern Ireland"
"2019",540,546,547,"Norway (5)"
"2015",542,559,566,"Norway (5)"
"2019",424,429,433,"Oman"
"2015",423,430,414,"Oman"
"2011",384,376,381,"Oman"
"2019",513,529,524,"Poland"
"2015",534,534,538,"Poland"
"2019",524,520,528,"Portugal"
"2015",541,539,546,"Portugal"
"2011",522,548,548,"Portugal"
"2019",455,434,445,"Qatar"
"2015",446,423,435,"Qatar"
"2011",417,399,416,"Qatar"
"2019",567,571,560,"Russian Federation"
"2015",567,557,573,"Russian Federation"
"2011",545,542,533,"Russian Federation"
"2007",549,543,529,"Russian Federation"
"2019",518,499,489,"Serbia"
"2015",524,503,517,"Serbia"
"2011",529,497,503,"Serbia"
"2019",635,620,613,"Singapore"
"2015",630,607,600,"Singapore"
"2011",619,589,588,"Singapore"
"2007",611,584,597,"Singapore"
"2019",512,506,506,"Slovak Republic"
"2015",502,491,496,"Slovak Republic"
"2011",511,500,504,"Slovak Republic"
"2007",500,494,482,"Slovak Republic"
"2019",370,362,390,"South Africa (5)"
"2015",379,359,381,"South Africa (5)"
"2019",506,494,499,"Spain"
"2015",504,503,509,"Spain"
"2011",487,476,479,"Spain"
"2019",517,521,527,"Sweden"
"2015",514,523,529,"Sweden"
"2011",500,500,523,"Sweden"
"2007",495,503,527,"Sweden"
"2019",485,472,476,"United Arab Emirates"
"2015",455,442,453,"United Arab Emirates"
"2011",438,418,437,"United Arab Emirates"
"2019",542,520,533,"United States"
"2015",546,525,540,"United States"
"2011",543,535,545,"United States"
"2007",529,522,546,"United States"
