"Country","Overall Average","Knowing","Applying","Reasoning"
"Singapore",616,614,614,620
"Chinese Taipei",612,616,610,616
"Korea, Rep. of",607,614,604,609
"Japan",594,589,596,599
"Hong Kong SAR",578,580,575,582
"Russian Federation",543,550,543,536
"Ireland",524,530,526,508
"Lithuania",520,518,524,514
"Israel",519,516,519,525
"Australia",517,511,521,515
"Hungary",517,516,517,512
"United States",515,522,515,507
"England",515,510,518,512
"Finland",509,505,510,506
"Norway (9)",503,499,504,496
"Sweden",503,496,501,514
"Cyprus",501,509,496,505
"Portugal",500,498,497,508
"Italy",497,492,497,505
"Turkey",496,494,491,504
"Kazakhstan",488,488,486,487
"France",483,473,485,489
"New Zealand",482,468,486,486
"Bahrain",481,471,479,489
"Romania",479,482,475,481
"United Arab Emirates",473,478,466,479
"Georgia",461,NA,NA,NA
"Malaysia",461,451,464,462
"Iran, Islamic Rep. of",446,441,443,457
"Qatar",443,443,438,448
"Chile",441,434,438,451
"Lebanon",429,456,412,407
"Jordan",420,414,415,431
"Egypt",413,416,405,411
"Oman",411,406,409,412
"Kuwait",403,NA,NA,NA
"Saudi Arabia",394,NA,NA,NA
"South Africa (9)",389,NA,NA,NA
"Morocco",388,382,389,381
"Moscow City, Russian Fed.",575,589,574,568
