"Year","Number","Algebra","Geometry","Data and Probability","Country"
"2019",522,501,513,533,"Australia"
"2015",511,491,500,519,"Australia"
"2011",513,489,499,534,"Australia"
"2007",504,474,488,526,"Australia"
"2019",473,485,493,465,"Bahrain"
"2015",436,483,449,453,"Bahrain"
"2011",397,424,398,407,"Bahrain"
"2007",381,397,403,400,"Bahrain"
"2019",442,439,434,434,"Chile"
"2015",427,413,428,429,"Chile"
"2011",413,403,419,426,"Chile"
"2019",613,618,623,593,"Chinese Taipei"
"2015",590,613,607,588,"Chinese Taipei"
"2011",598,628,625,584,"Chinese Taipei"
"2007",586,629,605,579,"Chinese Taipei"
"2019",499,515,490,493,"Cyprus"
"2007",464,471,455,456,"Cyprus"
"2019",414,413,417,380,"Egypt"
"2015",393,420,393,338,"Egypt"
"2007",386,405,397,358,"Egypt"
"2019",519,504,509,523,"England"
"2015",528,492,514,541,"England"
"2011",512,489,498,543,"England"
"2007",511,496,513,552,"England"
"2019",515,489,511,514,"Finland"
"2011",527,492,502,542,"Finland"
"2019",466,473,449,429,"Georgia"
"2015",457,469,441,421,"Georgia"
"2011",435,450,406,392,"Georgia"
"2007",416,416,402,350,"Georgia"
"2019",570,584,596,563,"Hong Kong SAR"
"2015",594,593,602,597,"Hong Kong SAR"
"2011",588,583,597,581,"Hong Kong SAR"
"2007",575,575,580,560,"Hong Kong SAR"
"2019",515,509,521,521,"Hungary"
"2015",518,503,518,519,"Hungary"
"2011",510,496,501,517,"Hungary"
"2007",520,508,510,527,"Hungary"
"2019",442,450,442,435,"Iran, Islamic Rep. of"
"2015",432,437,448,417,"Iran, Islamic Rep. of"
"2011",402,422,437,393,"Iran, Islamic Rep. of"
"2007",388,405,414,396,"Iran, Islamic Rep. of"
"2019",541,505,506,541,"Ireland"
"2015",544,501,503,534,"Ireland"
"2019",519,528,506,511,"Israel"
"2015",518,517,487,503,"Israel"
"2011",518,521,496,515,"Israel"
"2019",495,491,510,494,"Italy"
"2015",494,481,504,496,"Italy"
"2011",496,491,512,499,"Italy"
"2007",480,460,491,485,"Italy"
"2019",578,602,610,594,"Japan"
"2015",572,596,598,589,"Japan"
"2011",557,570,586,579,"Japan"
"2007",558,567,584,591,"Japan"
"2019",408,442,413,396,"Jordan"
"2015",380,418,381,346,"Jordan"
"2011",390,432,407,379,"Jordan"
"2007",412,445,429,406,"Jordan"
"2019",482,504,486,463,"Kazakhstan"
"2011",479,506,491,444,"Kazakhstan"
"2019",605,609,617,598,"Korea, Rep. of"
"2015",601,612,612,600,"Korea, Rep. of"
"2011",618,617,612,616,"Korea, Rep. of"
"2007",592,608,600,602,"Korea, Rep. of"
"2019",432,452,422,383,"Lebanon"
"2015",440,466,444,395,"Lebanon"
"2011",451,471,447,393,"Lebanon"
"2007",453,468,455,388,"Lebanon"
"2019",514,518,529,522,"Lithuania"
"2015",511,497,515,521,"Lithuania"
"2011",501,492,500,515,"Lithuania"
"2007",507,487,509,526,"Lithuania"
"2019",458,456,466,457,"Malaysia"
"2015",472,467,455,451,"Malaysia"
"2011",451,430,432,429,"Malaysia"
"2007",494,455,474,459,"Malaysia"
"2019",377,370,413,372,"Morocco"
"2015",382,372,410,353,"Morocco"
"2011",379,357,390,332,"Morocco"
"2019",483,464,477,496,"New Zealand"
"2015",500,475,488,509,"New Zealand"
"2011",492,472,483,513,"New Zealand"
"2019",507,477,502,518,"Norway (9)"
"2015",529,471,498,542,"Norway (9)"
"2019",392,427,418,393,"Oman"
"2015",389,426,415,376,"Oman"
"2011",351,383,377,342,"Oman"
"2007",354,384,377,365,"Oman"
"2019",441,454,435,423,"Qatar"
"2015",435,452,433,417,"Qatar"
"2011",408,425,387,390,"Qatar"
"2019",478,490,472,458,"Romania"
"2011",448,477,453,429,"Romania"
"2007",455,480,463,415,"Romania"
"2019",541,560,540,517,"Russian Federation"
"2015",533,558,536,507,"Russian Federation"
"2011",534,556,533,511,"Russian Federation"
"2007",510,525,510,483,"Russian Federation"
"2019",611,619,619,620,"Singapore"
"2015",629,623,617,617,"Singapore"
"2011",611,614,609,607,"Singapore"
"2007",605,591,590,589,"Singapore"
"2019",502,496,495,513,"Sweden"
"2015",513,482,478,512,"Sweden"
"2011",504,459,456,504,"Sweden"
"2007",505,459,472,526,"Sweden"
"2019",493,493,490,502,"Turkey"
"2015",447,459,463,467,"Turkey"
"2011",435,455,454,467,"Turkey"
"2019",474,486,462,451,"United Arab Emirates"
"2015",464,485,447,449,"United Arab Emirates"
"2011",459,468,431,440,"United Arab Emirates"
"2019",520,520,499,509,"United States"
"2015",520,525,500,522,"United States"
"2011",514,512,485,527,"United States"
"2007",514,507,480,533,"United States"
