,country,experience,mark
1,Albania,22,494
2,Armenia,23,498
3,Australia,13,516
4,Austria,19,539
5,Azerbaijan,22,515
6,Bahrain,11,480
7,Belgium (Flemish),16,532
8,Bosnia and Herzegovina,18,452
9,Bulgaria,26,515
10,Canada,15,512
11,Chile,16,441
12,Chinese Taipei,19,599
13,Croatia,22,509
14,Cyprus,18,532
15,Czech Republic,21,533
16,Denmark,15,525
17,England,10,556
18,Finland,16,532
19,France,16,485
20,Georgia,24,482
21,Germany,18,521
22,Hong Kong SAR,13,602
23,Hungary,24,523
24,"Iran, Islamic Rep. of",14,443
25,Ireland,14,548
26,Italy,23,515
27,Japan,15,593
28,Kazakhstan,20,512
29,"Korea, Rep. of",14,600
30,Kosovo,16,444
31,Kuwait,12,383
32,Latvia,27,546
33,Lithuania,27,542
34,Malta,12,509
35,Montenegro,20,453
36,Morocco,16,383
37,Netherlands,15,538
38,New Zealand,13,487
39,North Macedonia,19,472
40,Northern Ireland,15,566
41,Norway,14,543
42,Oman,12,431
43,Pakistan,11,328
44,Philippines,14,297
45,Poland,20,520
46,Portugal,24,525
47,Qatar,11,449
48,Russian Federation,26,567
49,Saudi Arabia,15,398
50,Serbia,24,508
51,Singapore,13,625
52,Slovak Republic,23,510
53,South Africa,17,374
54,Spain,19,502
55,Sweden,12,521
56,Turkey,9,523
57,United Arab Emirates,11,481
58,United States,13,535
