"FRQ_WTPR","GEO","WSTATUS","ISCED11","AGE","SEX","UNIT","TIME","Value","Flag and Footnotes"
"Total","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","199 022.8",""
"Total","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","231 560.0",""
"Total","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","151 049.1",""
"Total","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 817.8",""
"Total","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 229.1",""
"Total","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 288.7",""
"Total","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 869.4",""
"Total","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","41 642.3",""
"Total","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","673.1",""
"Total","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 288.4",""
"Total","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 950.4",""
"Total","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","19 766.2",""
"Total","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","27 139.9",""
"Total","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 673.8",""
"Total","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","23 276.5",""
"Total","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","415.9",""
