"time","pie1","pie2","bar1","bar2","like"
"2020-10-24 13:42:27","No","Ham","Yes","Equal","2"
"2020-10-24 13:46:17","No","Ribs","Yes","Equal","1"
"2020-10-24 13:56:23","Yes","Equal","Yes","Equal","2"
"2020-10-24 14:07:02","Yes","Ribs","Yes","Equal","1"
"2020-10-24 14:09:35","No","Equal","Yes","Equal","1"
"2020-10-24 14:49:18","Yes","Equal","Yes","Equal","1"
"2020-10-24 14:55:35","Yes","Equal","Yes","Equal","2"
"2020-10-24 14:57:19","Yes","Ribs","Yes","Equal","1"
"2020-10-24 15:03:56","Yes","Ham","Yes","Ham","1"
"2020-10-24 15:11:39","Yes","Equal","Yes","Equal","2"
"2020-10-24 15:14:30","Yes","Ham","Yes","Equal","1"
"2020-10-24 15:17:08","Yes","Equal","Yes","Equal","Both"
"2020-10-24 15:19:58","Yes","Ribs","Yes","Equal","2"
"2020-10-24 15:37:35","Yes","Ribs","Yes","Equal","2"
"2020-10-24 15:56:58","Yes","Ribs","Yes","Ribs","2"
"2020-10-24 15:58:44","Yes","Equal","Yes","Equal","Both"
"2020-10-24 16:03:42","Yes","Equal","Yes","Equal","1"
"2020-10-24 16:03:48","Yes","Ribs","Yes","Equal","1"
"2020-10-24 16:04:19","No","Equal","No","Equal","2"
"2020-10-24 16:07:57","Yes","Equal","Yes","Equal","2"
"2020-10-24 16:13:15","Yes","Ribs","Yes","Equal","2"
"2020-10-24 16:17:44","Yes","Ribs","Yes","Equal","1"
"2020-10-24 16:19:05","No","Equal","Yes","Equal","2"
"2020-10-24 16:19:29","Yes","Ribs","Yes","Equal","1"
"2020-10-24 16:23:24","Yes","Ribs","Yes","Equal","Both"
"2020-10-24 16:23:46","Yes","Equal","Yes","Equal","2"
"2020-10-24 16:24:06","Yes","Ribs","Yes","Equal","1"
"2020-10-24 16:27:08","Yes","Equal","Yes","Equal","1"
"2020-10-24 16:27:19","Yes","Ham","Yes","Ham","1"
"2020-10-24 16:38:59","Yes","Equal","No","Equal","1"
"2020-10-24 16:42:09","Yes","Equal","Yes","Equal","2"
"2020-10-24 16:43:27","Yes","Ham","Yes","Equal","2"
"2020-10-24 16:58:54","Yes","Equal","Yes","Equal","2"
"2020-10-24 17:00:53","Yes","Equal","Yes","Equal","Both"
"2020-10-24 17:06:29","Yes","Equal","Yes","Equal","1"
"2020-10-24 17:06:31","Yes","Equal","Yes","Equal","1"
"2020-10-24 17:34:42","Yes","Equal","Yes","Equal","2"
"2020-10-24 17:42:30","Yes","Ribs","Yes","Equal","2"
"2020-10-24 17:55:07","Yes","Equal","Yes","Equal","2"
"2020-10-24 18:06:22","Yes","Equal","Yes","Equal","2"
"2020-10-24 18:17:52","Yes","Equal","Yes","Equal","1"
"2020-10-24 18:42:44","Yes","Ham","Yes","Equal","2"
"2020-10-24 20:02:57","Yes","Ribs","Yes","Equal","2"
"2020-10-24 20:03:50","Yes","Ribs","Yes","Equal","1"
"2020-10-24 20:42:33","Yes","Ham","Yes","Equal","Both"
"2020-10-24 23:15:38","Yes","Equal","Yes","Equal","2"
"2020-10-25 00:04:33","Yes","Equal","Yes","Equal","2"
"2020-10-25 00:11:47","Yes","Ribs","Yes","Equal","1"
"2020-10-25 02:01:22","Yes","Equal","Yes","Equal","2"
"2020-10-25 03:45:41","Yes","Ham","Yes","Equal","Both"
"2020-10-25 05:28:10","No","Ribs","No","Equal","2"
"2020-10-25 06:12:00","Yes","Equal","Yes","Equal","1"
"2020-10-25 06:56:40","Yes","Ham","Yes","Ham","2"
"2020-10-25 08:56:42","Yes","Equal","Yes","Equal","2"
"2020-10-25 17:17:50","Yes","Equal","Yes","Equal","1"
"2020-10-26 19:13:38","Yes","Equal","Yes","Equal","2"
"2020-10-28 06:39:07","Yes","Equal","Yes","Equal","1"
