"Year","Color","value"
1990,"White",0.13767
1990,"Burgundy",0.05537
1990,"Black",0.18631
1990,"Red",0.12645
1990,"Blue",0.12159
1990,"Silver",0.07819
1990,"Gray",0.1141
1990,"Green",0.07183
1990,"Other",0.10849
1991,"White",0.13218
1991,"Burgundy",0.07341
1991,"Black",0.19018
1991,"Red",0.13166
1991,"Blue",0.11207
1991,"Silver",0.09326
1991,"Gray",0.09587
1991,"Green",0.07419
1991,"Other",0.09717
1992,"White",0.10051
1992,"Burgundy",0.0835
1992,"Black",0.19518
1992,"Red",0.12766
1992,"Blue",0.11599
1992,"Silver",0.10787
1992,"Gray",0.09112
1992,"Green",0.09772
1992,"Other",0.08047
1993,"White",0.089
1993,"Burgundy",0.08616
1993,"Black",0.18965
1993,"Red",0.11617
1993,"Blue",0.12057
1993,"Silver",0.11539
1993,"Gray",0.08823
1993,"Green",0.1273
1993,"Other",0.06753
1994,"White",0.08562
1994,"Burgundy",0.06989
1994,"Black",0.16069
1994,"Red",0.11529
1994,"Blue",0.14138
1994,"Silver",0.12346
1994,"Gray",0.06671
1994,"Green",0.16806
1994,"Other",0.0689
1995,"White",0.07399
1995,"Burgundy",0.05751
1995,"Black",0.14812
1995,"Red",0.11742
1995,"Blue",0.164
1995,"Silver",0.11951
1995,"Gray",0.05362
1995,"Green",0.20234
1995,"Other",0.0635
1996,"White",0.06368
1996,"Burgundy",0.06473
1996,"Black",0.13867
1996,"Red",0.10049
1996,"Blue",0.17643
1996,"Silver",0.14364
1996,"Gray",0.04548
1996,"Green",0.20044
1996,"Other",0.06642
1997,"White",0.05077
1997,"Burgundy",0.05872
1997,"Black",0.12972
1997,"Red",0.09359
1997,"Blue",0.20078
1997,"Silver",0.17993
1997,"Gray",0.0364
1997,"Green",0.19192
1997,"Other",0.05817
1998,"White",0.04134
1998,"Burgundy",0.05137
1998,"Black",0.14541
1998,"Red",0.08027
1998,"Blue",0.20828
1998,"Silver",0.21917
1998,"Gray",0.03378
1998,"Green",0.17412
1998,"Other",0.04626
1999,"White",0.0322
1999,"Burgundy",0.04223
1999,"Black",0.15587
1999,"Red",0.06637
1999,"Blue",0.20782
1999,"Silver",0.25998
1999,"Gray",0.03515
1999,"Green",0.1487
1999,"Other",0.0517
2000,"White",0.02811
2000,"Burgundy",0.03274
2000,"Black",0.17658
2000,"Red",0.04966
2000,"Blue",0.20211
2000,"Silver",0.30843
2000,"Gray",0.04337
2000,"Green",0.11442
2000,"Other",0.04459
2001,"White",0.02227
2001,"Burgundy",0.02288
2001,"Black",0.18849
2001,"Red",0.03378
2001,"Blue",0.19987
2001,"Silver",0.3433
2001,"Gray",0.06012
2001,"Green",0.08923
2001,"Other",0.04005
2002,"White",0.02056
2002,"Burgundy",0.02125
2002,"Black",0.20015
2002,"Red",0.03416
2002,"Blue",0.19081
2002,"Silver",0.33803
2002,"Gray",0.08225
2002,"Green",0.07218
2002,"Other",0.04062
2003,"White",0.02098
2003,"Burgundy",0.0195
2003,"Black",0.21218
2003,"Red",0.03417
2003,"Blue",0.1807
2003,"Silver",0.32707
2003,"Gray",0.10789
2003,"Green",0.05265
2003,"Other",0.04486
2004,"White",0.02077
2004,"Burgundy",0.01751
2004,"Black",0.23558
2004,"Red",0.03341
2004,"Blue",0.1642
2004,"Silver",0.29995
2004,"Gray",0.14064
2004,"Green",0.03816
2004,"Other",0.04977
2005,"White",0.01939
2005,"Burgundy",0.01571
2005,"Black",0.26984
2005,"Red",0.03251
2005,"Blue",0.15165
2005,"Silver",0.28002
2005,"Gray",0.15416
2005,"Green",0.02628
2005,"Other",0.05043
2006,"White",0.0223
2006,"Burgundy",0.01664
2006,"Black",0.29978
2006,"Red",0.03496
2006,"Blue",0.14125
2006,"Silver",0.25169
2006,"Gray",0.16103
2006,"Green",0.02024
2006,"Other",0.0521
2007,"White",0.0317
2007,"Burgundy",0.01672
2007,"Black",0.32539
2007,"Red",0.03545
2007,"Blue",0.12134
2007,"Silver",0.22889
2007,"Gray",0.16318
2007,"Green",0.01579
2007,"Other",0.06155
2008,"White",0.05719
2008,"Burgundy",0.01795
2008,"Black",0.33873
2008,"Red",0.03741
2008,"Blue",0.1069
2008,"Silver",0.21065
2008,"Gray",0.15938
2008,"Green",0.01355
2008,"Other",0.05824
2009,"White",0.08969
2009,"Burgundy",0.01937
2009,"Black",0.32398
2009,"Red",0.04521
2009,"Blue",0.09624
2009,"Silver",0.17939
2009,"Gray",0.17104
2009,"Green",0.01288
2009,"Other",0.0622
2010,"White",0.1179
2010,"Burgundy",0.0187
2010,"Black",0.32883
2010,"Red",0.03696
2010,"Blue",0.07738
2010,"Silver",0.16498
2010,"Gray",0.17216
2010,"Green",0.00976
2010,"Other",0.07333
2011,"White",0.14893
2011,"Burgundy",0.01804
2011,"Black",0.3265
2011,"Red",0.03244
2011,"Blue",0.0695
2011,"Silver",0.14949
2011,"Gray",0.16357
2011,"Green",0.00791
2011,"Other",0.08362
2012,"White",0.18187
2012,"Burgundy",0.01724
2012,"Black",0.31297
2012,"Red",0.03427
2012,"Blue",0.06198
2012,"Silver",0.14041
2012,"Gray",0.1495
2012,"Green",0.00731
2012,"Other",0.09443
2013,"White",0.20863
2013,"Burgundy",0.0177
2013,"Black",0.29369
2013,"Red",0.03878
2013,"Blue",0.0631
2013,"Silver",0.13006
2013,"Gray",0.14222
2013,"Green",0.00749
2013,"Other",0.09833
2014,"White",0.23042
2014,"Burgundy",0.01645
2014,"Black",0.27314
2014,"Red",0.03951
2014,"Blue",0.06686
2014,"Silver",0.12862
2014,"Gray",0.14196
2014,"Green",0.00814
2014,"Other",0.0949
2015,"White",0.23509
2015,"Burgundy",0.01616
2015,"Black",0.25622
2015,"Red",0.04336
2015,"Blue",0.07663
2015,"Silver",0.12994
2015,"Gray",0.15245
2015,"Green",0.00734
2015,"Other",0.08282
2016,"White",0.24154
2016,"Burgundy",0.01776
2016,"Black",0.23913
2016,"Red",0.04698
2016,"Blue",0.08819
2016,"Silver",0.12224
2016,"Gray",0.16333
2016,"Green",0.00702
2016,"Other",0.07379
2017,"White",0.24169
2017,"Burgundy",0.01977
2017,"Black",0.22261
2017,"Red",0.05349
2017,"Blue",0.09558
2017,"Silver",0.10567
2017,"Gray",0.17767
2017,"Green",0.00791
2017,"Other",0.07564
2018,"White",0.226
2018,"Burgundy",0.01783
2018,"Black",0.20713
2018,"Red",0.07112
2018,"Blue",0.11114
2018,"Silver",0.09419
2018,"Gray",0.18871
2018,"Green",0.01008
2018,"Other",0.0738
2019,"White",0.22066
2019,"Burgundy",0.01246
2019,"Black",0.19491
2019,"Red",0.08392
2019,"Blue",0.11884
2019,"Silver",0.08317
2019,"Gray",0.20651
2019,"Green",0.01211
2019,"Other",0.06742
2020,"White",0.22675
2020,"Burgundy",0.00914
2020,"Black",0.19621
2020,"Red",0.08464
2020,"Blue",0.12528
2020,"Silver",0.07748
2020,"Gray",0.21082
2020,"Green",0.01237
2020,"Other",0.05731
