"Year","Color","Value"
1990,"Biege",0.02993
1990,"White",0.13767
1990,"Burgundy",0.05537
1990,"Brown",0.02469
1990,"Black",0.18631
1990,"Red",0.12645
1990,"Purple",0.00748
1990,"Blue",0.12159
1990,"Silver",0.07819
1990,"Gray",0.1141
1990,"Green",0.07183
1990,"Gold",0.03966
1990,"Yellow",0.00673
1991,"Biege",0.02612
1991,"White",0.13218
1991,"Burgundy",0.07341
1991,"Brown",0.0175
1991,"Black",0.19018
1991,"Red",0.13166
1991,"Purple",0.02011
1991,"Blue",0.11207
1991,"Silver",0.09326
1991,"Gray",0.09587
1991,"Green",0.07419
1991,"Gold",0.02351
1991,"Yellow",0.00993
1992,"Biege",0.01269
1992,"White",0.10051
1992,"Burgundy",0.0835
1992,"Brown",0.0231
1992,"Black",0.19518
1992,"Red",0.12766
1992,"Purple",0.01904
1992,"Blue",0.11599
1992,"Silver",0.10787
1992,"Gray",0.09112
1992,"Green",0.09772
1992,"Gold",0.0198
1992,"Yellow",0.00584
1993,"Biege",0.00931
1993,"White",0.089
1993,"Burgundy",0.08616
1993,"Brown",0.0163
1993,"Black",0.18965
1993,"Red",0.11617
1993,"Purple",0.02199
1993,"Blue",0.12057
1993,"Silver",0.11539
1993,"Gray",0.08823
1993,"Green",0.1273
1993,"Gold",0.01527
1993,"Yellow",0.00466
1994,"Biege",0.01115
1994,"White",0.08562
1994,"Burgundy",0.06989
1994,"Brown",0.01254
1994,"Black",0.16069
1994,"Red",0.11529
1994,"Purple",0.02549
1994,"Blue",0.14138
1994,"Silver",0.12346
1994,"Gray",0.06671
1994,"Green",0.16806
1994,"Gold",0.01474
1994,"Yellow",0.00498
1995,"Biege",0.00494
1995,"White",0.07399
1995,"Burgundy",0.05751
1995,"Brown",0.00704
1995,"Black",0.14812
1995,"Red",0.11742
1995,"Purple",0.03025
1995,"Blue",0.164
1995,"Silver",0.11951
1995,"Gray",0.05362
1995,"Green",0.20234
1995,"Gold",0.01513
1995,"Yellow",0.00614
1996,"Biege",0.00592
1996,"White",0.06368
1996,"Burgundy",0.06473
1996,"Brown",0.00772
1996,"Black",0.13867
1996,"Red",0.10049
1996,"Purple",0.02898
1996,"Blue",0.17643
1996,"Silver",0.14364
1996,"Gray",0.04548
1996,"Green",0.20044
1996,"Gold",0.01449
1996,"Yellow",0.00931
1997,"Biege",0.00558
1997,"White",0.05077
1997,"Burgundy",0.05872
1997,"Brown",0.00663
1997,"Black",0.12972
1997,"Red",0.09359
1997,"Purple",0.02078
1997,"Blue",0.20078
1997,"Silver",0.17993
1997,"Gray",0.0364
1997,"Green",0.19192
1997,"Gold",0.01646
1997,"Yellow",0.00872
1998,"Biege",0.00386
1998,"White",0.04134
1998,"Burgundy",0.05137
1998,"Brown",0.0046
1998,"Black",0.14541
1998,"Red",0.08027
1998,"Purple",0.01369
1998,"Blue",0.20828
1998,"Silver",0.21917
1998,"Gray",0.03378
1998,"Green",0.17412
1998,"Gold",0.01529
1998,"Yellow",0.00882
1999,"Biege",0.00388
1999,"White",0.0322
1999,"Burgundy",0.04223
1999,"Brown",0.00393
1999,"Black",0.15587
1999,"Red",0.06637
1999,"Purple",0.01179
1999,"Blue",0.20782
1999,"Silver",0.25998
1999,"Gray",0.03515
1999,"Green",0.1487
1999,"Gold",0.02199
1999,"Yellow",0.01011
2000,"Biege",0.00318
2000,"White",0.02811
2000,"Burgundy",0.03274
2000,"Brown",0.00391
2000,"Black",0.17658
2000,"Red",0.04966
2000,"Purple",0.0084
2000,"Blue",0.20211
2000,"Silver",0.30843
2000,"Gray",0.04337
2000,"Green",0.11442
2000,"Gold",0.0209
2000,"Yellow",0.0082
2001,"Biege",0.00429
2001,"White",0.02227
2001,"Burgundy",0.02288
2001,"Brown",0.00343
2001,"Black",0.18849
2001,"Red",0.03378
2001,"Purple",0.00734
2001,"Blue",0.19987
2001,"Silver",0.3433
2001,"Gray",0.06012
2001,"Green",0.08923
2001,"Gold",0.01814
2001,"Yellow",0.00685
2002,"Biege",0.006
2002,"White",0.02056
2002,"Burgundy",0.02125
2002,"Brown",0.003
2002,"Black",0.20015
