"PRCCODE","PRCCODE_LABEL","DECL","INDICATORS","PERIOD","Value"
"11021130","Champagne (important: excluding alcohol duty)","France","PRODQNT","Jan.-Dec. 2014","230 352 423"
"11021130","Champagne (important: excluding alcohol duty)","France","PRODQNT","Jan.-Dec. 2015","234 401 182"
"11021130","Champagne (important: excluding alcohol duty)","France","PRODQNT","Jan.-Dec. 2016","229 527 277"
"11021130","Champagne (important: excluding alcohol duty)","France","PRODQNT","Jan.-Dec. 2017","230 534 513"
"11021130","Champagne (important: excluding alcohol duty)","France","PRODQNT","Jan.-Dec. 2018","226 687 647"
"11021130","Champagne (important: excluding alcohol duty)","France","PRODQNT","Jan.-Dec. 2019","223 183 321"
"11021130","Champagne (important: excluding alcohol duty)","Netherlands","PRODQNT","Jan.-Dec. 2014","0"
"11021130","Champagne (important: excluding alcohol duty)","Netherlands","PRODQNT","Jan.-Dec. 2015","0"
"11021130","Champagne (important: excluding alcohol duty)","Netherlands","PRODQNT","Jan.-Dec. 2016","0"
"11021130","Champagne (important: excluding alcohol duty)","Netherlands","PRODQNT","Jan.-Dec. 2017","0"
"11021130","Champagne (important: excluding alcohol duty)","Netherlands","PRODQNT","Jan.-Dec. 2018","0"
"11021130","Champagne (important: excluding alcohol duty)","Netherlands","PRODQNT","Jan.-Dec. 2019","0"
"11021130","Champagne (important: excluding alcohol duty)","Germany","PRODQNT","Jan.-Dec. 2014","0"
"11021130","Champagne (important: excluding alcohol duty)","Germany","PRODQNT","Jan.-Dec. 2015","0"
"11021130","Champagne (important: excluding alcohol duty)","Germany","PRODQNT","Jan.-Dec. 2016","0"
"11021130","Champagne (important: excluding alcohol duty)","Germany","PRODQNT","Jan.-Dec. 2017","0"
"11021130","Champagne (important: excluding alcohol duty)","Germany","PRODQNT","Jan.-Dec. 2018","0"
"11021130","Champagne (important: excluding alcohol duty)","Germany","PRODQNT","Jan.-Dec. 2019","0"
"11021130","Champagne (important: excluding alcohol duty)","Italy","PRODQNT","Jan.-Dec. 2014","0"
"11021130","Champagne (important: excluding alcohol duty)","Italy","PRODQNT","Jan.-Dec. 2015","0"
"11021130","Champagne (important: excluding alcohol duty)","Italy","PRODQNT","Jan.-Dec. 2016","0"
"11021130","Champagne (important: excluding alcohol duty)","Italy","PRODQNT","Jan.-Dec. 2017","0"
"11021130","Champagne (important: excluding alcohol duty)","Italy","PRODQNT","Jan.-Dec. 2018","0"
"11021130","Champagne (important: excluding alcohol duty)","Italy","PRODQNT","Jan.-Dec. 2019","0"
"11021130","Champagne (important: excluding alcohol duty)","United Kingdom","PRODQNT","Jan.-Dec. 2014","0"
"11021130","Champagne (important: excluding alcohol duty)","United Kingdom","PRODQNT","Jan.-Dec. 2015","0"
"11021130","Champagne (important: excluding alcohol duty)","United Kingdom","PRODQNT","Jan.-Dec. 2016","0"
"11021130","Champagne (important: excluding alcohol duty)","United Kingdom","PRODQNT","Jan.-Dec. 2017","0"
"11021130","Champagne (important: excluding alcohol duty)","United Kingdom","PRODQNT","Jan.-Dec. 2018","0"
"11021130","Champagne (important: excluding alcohol duty)","United Kingdom","PRODQNT","Jan.-Dec. 2019","0"
"11021130","Champagne (important: excluding alcohol duty)","Ireland","PRODQNT","Jan.-Dec. 2014","0"
"11021130","Champagne (important: excluding alcohol duty)","Ireland","PRODQNT","Jan.-Dec. 2015","0"
