"","country","mean_deaths_2015-2019","deaths_2020"
"1","Austria",860.8,851
"2","Belgium",2584,2476
"3","Bulgaria",2912.8,2388
"4","Croatia",6779.8,1288
"5","Denmark",5891,3518
"6","Estonia",4983.6,3475
"7","Finland",2733.6,2415
"8","France",2230.8,1719
"9","Hungary",4225.8,3140
"10","Iceland",5701.8,4145
"11","Latvia",6265.6,4423
"12","Lithuania",7228.6,5162
"13","Norway",7179.6,5021
"14","Poland",6900.2,3102
"15","Portugal",1944.4,2566
"16","Slovakia",4267.2,1377
"17","Spain",6742.4,5394
"18","United Kingdom",2122.6,1573
