date	voivodeship	region	infected_total
04.03.2020	Mazowieckie	Powiat białobrzeski	0
05.03.2020	Mazowieckie	Powiat białobrzeski	0
06.03.2020	Mazowieckie	Powiat białobrzeski	0
07.03.2020	Mazowieckie	Powiat białobrzeski	0
08.03.2020	Mazowieckie	Powiat białobrzeski	0
09.03.2020	Mazowieckie	Powiat białobrzeski	0
10.03.2020	Mazowieckie	Powiat białobrzeski	0
11.03.2020	Mazowieckie	Powiat białobrzeski	0
12.03.2020	Mazowieckie	Powiat białobrzeski	0
13.03.2020	Mazowieckie	Powiat białobrzeski	NA
14.03.2020	Mazowieckie	Powiat białobrzeski	NA
15.03.2020	Mazowieckie	Powiat białobrzeski	NA
16.03.2020	Mazowieckie	Powiat białobrzeski	NA
17.03.2020	Mazowieckie	Powiat białobrzeski	NA
18.03.2020	Mazowieckie	Powiat białobrzeski	NA
19.03.2020	Mazowieckie	Powiat białobrzeski	NA
20.03.2020	Mazowieckie	Powiat białobrzeski	NA
21.03.2020	Mazowieckie	Powiat białobrzeski	NA
22.03.2020	Mazowieckie	Powiat białobrzeski	NA
23.03.2020	Mazowieckie	Powiat białobrzeski	NA
24.03.2020	Mazowieckie	Powiat białobrzeski	NA
25.03.2020	Mazowieckie	Powiat białobrzeski	NA
26.03.2020	Mazowieckie	Powiat białobrzeski	NA
27.03.2020	Mazowieckie	Powiat białobrzeski	NA
28.03.2020	Mazowieckie	Powiat białobrzeski	NA
29.03.2020	Mazowieckie	Powiat białobrzeski	NA
30.03.2020	Mazowieckie	Powiat białobrzeski	NA
31.03.2020	Mazowieckie	Powiat białobrzeski	NA
01.04.2020	Mazowieckie	Powiat białobrzeski	NA
02.04.2020	Mazowieckie	Powiat białobrzeski	NA
03.04.2020	Mazowieckie	Powiat białobrzeski	NA
04.04.2020	Mazowieckie	Powiat białobrzeski	NA
05.04.2020	Mazowieckie	Powiat białobrzeski	NA
06.04.2020	Mazowieckie	Powiat białobrzeski	NA
07.04.2020	Mazowieckie	Powiat białobrzeski	NA
08.04.2020	Mazowieckie	Powiat białobrzeski	125
09.04.2020	Mazowieckie	Powiat białobrzeski	126
10.04.2020	Mazowieckie	Powiat białobrzeski	129
11.04.2020	Mazowieckie	Powiat białobrzeski	130
12.04.2020	Mazowieckie	Powiat białobrzeski	130
13.04.2020	Mazowieckie	Powiat białobrzeski	133
14.04.2020	Mazowieckie	Powiat białobrzeski	134
15.04.2020	Mazowieckie	Powiat białobrzeski	134
16.04.2020	Mazowieckie	Powiat białobrzeski	138
17.04.2020	Mazowieckie	Powiat białobrzeski	140
18.04.2020	Mazowieckie	Powiat białobrzeski	144
19.04.2020	Mazowieckie	Powiat białobrzeski	151
20.04.2020	Mazowieckie	Powiat białobrzeski	160
21.04.2020	Mazowieckie	Powiat białobrzeski	162
22.04.2020	Mazowieckie	Powiat białobrzeski	164
23.04.2020	Mazowieckie	Powiat białobrzeski	166
24.04.2020	Mazowieckie	Powiat białobrzeski	167
25.04.2020	Mazowieckie	Powiat białobrzeski	167
26.04.2020	Mazowieckie	Powiat białobrzeski	168
27.04.2020	Mazowieckie	Powiat białobrzeski	169
28.04.2020	Mazowieckie	Powiat białobrzeski	169
29.04.2020	Mazowieckie	Powiat białobrzeski	172
30.04.2020	Mazowieckie	Powiat białobrzeski	172
01.05.2020	Mazowieckie	Powiat białobrzeski	176
02.05.2020	Mazowieckie	Powiat białobrzeski	176
03.05.2020	Mazowieckie	Powiat białobrzeski	181
04.05.2020	Mazowieckie	Powiat białobrzeski	182
05.05.2020	Mazowieckie	Powiat białobrzeski	184
06.05.2020	Mazowieckie	Powiat białobrzeski	184
07.05.2020	Mazowieckie	Powiat białobrzeski	188
08.05.2020	Mazowieckie	Powiat białobrzeski	188
09.05.2020	Mazowieckie	Powiat białobrzeski	188
10.05.2020	Mazowieckie	Powiat białobrzeski	188
11.05.2020	Mazowieckie	Powiat białobrzeski	188
12.05.2020	Mazowieckie	Powiat białobrzeski	188
13.05.2020	Mazowieckie	Powiat białobrzeski	189
14.05.2020	Mazowieckie	Powiat białobrzeski	189
15.05.2020	Mazowieckie	Powiat białobrzeski	189
16.05.2020	Mazowieckie	Powiat białobrzeski	190
17.05.2020	Mazowieckie	Powiat białobrzeski	190
18.05.2020	Mazowieckie	Powiat białobrzeski	190
19.05.2020	Mazowieckie	Powiat białobrzeski	190
20.05.2020	Mazowieckie	Powiat białobrzeski	190
21.05.2020	Mazowieckie	Powiat białobrzeski	191
