name	id
Powiat białobrzeski	1401
Powiat ciechanowski	1402
Powiat garwoliński	1403
Powiat gostyniński	1404
Powiat grodziski	1405
Powiat grójecki	1406
Powiat kozienicki	1407
Powiat legionowski	1408
Powiat lipski	1409
Powiat łosicki	1410
Powiat makowski	1411
Powiat miński	1412
Powiat mławski	1413
Powiat nowodworski	1414
Powiat ostrołęcki	1415
Powiat Ostrołęka	1461
Powiat ostrowski	1416
Powiat otwocki	1417
Powiat piaseczyński	1418
Powiat płocki	1419
Powiat Płock	1462
Powiat płoński	1420
Powiat pruszkowski	1421
Powiat przasnyski	1422
Powiat przysuski	1423
Powiat pułtuski	1424
Powiat radomski	1425
Powiat Radom	1463
Powiat siedlecki	1426
Powiat Siedlce	1464
Powiat sierpecki	1427
Powiat sochaczewski	1428
Powiat sokołowski	1429
Powiat szydłowiecki	1430
Powiat warszawski zachodni	1432
Powiat Warszawa	1465
Powiat węgrowski	1433
Powiat wołomiński	1434
Powiat wyszkowski	1435
Powiat zwoleński	1436
Powiat żuromiński	1437
Powiat żyrardowski	1438
