"","Date","parks"
"1","2020-02-17",21.333
"2","2020-02-18",19.25
"3","2020-02-19",18
"4","2020-02-20",18.833
"5","2020-02-21",15.714
"6","2020-02-22",14.286
"7","2020-02-23",7.429
"8","2020-02-24",4
"9","2020-02-25",2.857
"10","2020-02-26",1.429
"11","2020-02-27",-1.286
"12","2020-02-28",-1
"13","2020-02-29",-2.143
"14","2020-03-01",6.429
"15","2020-03-02",6.143
"16","2020-03-03",5.429
"17","2020-03-04",5.714
"18","2020-03-05",8.286
"19","2020-03-06",8.143
"20","2020-03-07",7.429
"21","2020-03-08",8.286
"22","2020-03-09",10.286
"23","2020-03-10",12.429
"24","2020-03-11",12.286
"25","2020-03-12",7.286
"26","2020-03-13",3.429
"27","2020-03-14",-1.143
"28","2020-03-15",-8.714
"29","2020-03-16",-12.714
"30","2020-03-17",-14.143
"31","2020-03-18",-12.714
"32","2020-03-19",-11.286
"33","2020-03-20",-11.571
"34","2020-03-21",-13.571
"35","2020-03-22",-17.857
"36","2020-03-23",-20.286
"37","2020-03-24",-25.143
"38","2020-03-25",-33
"39","2020-03-26",-37.571
"40","2020-03-27",-37.429
"41","2020-03-28",-32.571
"42","2020-03-29",-34.286
"43","2020-03-30",-35.857
"44","2020-03-31",-38.286
"45","2020-04-01",-39.571
"46","2020-04-02",-41.429
"47","2020-04-03",-45.143
"48","2020-04-04",-51.857
"49","2020-04-05",-51.857
"50","2020-04-06",-51.143
"51","2020-04-07",-49.857
"52","2020-04-08",-48
"53","2020-04-09",-46.571
"54","2020-04-10",-45.429
"55","2020-04-11",-45.571
"56","2020-04-12",-46.143
"57","2020-04-13",-50.143
"58","2020-04-14",-52.571
"59","2020-04-15",-54.286
"60","2020-04-16",-54.571
"61","2020-04-17",-54
"62","2020-04-18",-51.857
"63","2020-04-19",-50.857
"64","2020-04-20",-40.286
"65","2020-04-21",-31.143
"66","2020-04-22",-22.571
"67","2020-04-23",-12.714
"68","2020-04-24",-5.714
"69","2020-04-25",-1.857
"70","2020-04-26",7.571
"71","2020-04-27",10.286
"72","2020-04-28",14.143
"73","2020-04-29",10.429
"74","2020-04-30",9.857
"75","2020-05-01",10
"76","2020-05-02",15.714
"77","2020-05-03",14.143
"78","2020-05-04",11.714
"79","2020-05-05",4
"80","2020-05-06",3.857
"81","2020-05-07",2.571
"82","2020-05-08",6.714
"83","2020-05-09",14.429
"84","2020-05-10",26.286
"85","2020-05-11",23.571
"86","2020-05-12",24.857
"87","2020-05-13",27.429
"88","2020-05-14",25.571
"89","2020-05-15",21.857
"90","2020-05-16",15.857
"91","2020-05-17",11.571
"92","2020-05-18",16
"93","2020-05-19",19.571
"94","2020-05-20",25.429
"95","2020-05-21",31.714
"96","2020-05-22",36.286
"97","2020-05-23",34.429
"98","2020-05-24",29.429
