number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
189	Bolesławiec	Dolnośląskie	Bolesławiec	Dolnośląskie
56	Bolesławiec	Dolnośląskie	Gromadka	Dolnośląskie
65	Bolesławiec	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
178	Bolesławiec	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
93	Bolesławiec	Dolnośląskie	Osiecznica	Dolnośląskie
124	Bolesławiec	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
15	Bolesławiec	Dolnośląskie	Chojnów	Dolnośląskie
16	Bolesławiec	Dolnośląskie	Lubań	Dolnośląskie
33	Bolesławiec	Dolnośląskie	Lubin	Dolnośląskie
24	Bolesławiec	Dolnośląskie	Lwówek Śląski - miasto	Dolnośląskie
62	Bolesławiec	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
45	Bolesławiec	Dolnośląskie	Polkowice - miasto	Dolnośląskie
31	Bolesławiec	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Kobierzyce	Dolnośląskie
29	Bolesławiec	Dolnośląskie	Zgorzelec	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Jelenia Góra	Dolnośląskie
64	Bolesławiec	Dolnośląskie	Legnica	Dolnośląskie
157	Bolesławiec	Dolnośląskie	Wrocław	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Wałbrzych	Dolnośląskie
17	Bolesławiec	Dolnośląskie	Nowa Sól	Lubuskie
10	Bolesławiec	Dolnośląskie	Żary	Lubuskie
134	Bolesławiec	Dolnośląskie	Warszawa	Mazowieckie
1331	Bolesławiec	Dolnośląskie	Bolesławiec	Dolnośląskie
36	Bolesławiec	Dolnośląskie	Gromadka	Dolnośląskie
23	Bolesławiec	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
49	Bolesławiec	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
79	Bolesławiec	Dolnośląskie	Osiecznica	Dolnośląskie
54	Bolesławiec	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Chojnów	Dolnośląskie
12	Bolesławiec	Dolnośląskie	Lubin	Dolnośląskie
27	Bolesławiec	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Polkowice - miasto	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Kobierzyce	Dolnośląskie
26	Bolesławiec	Dolnośląskie	Zgorzelec	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Jelenia Góra	Dolnośląskie
25	Bolesławiec	Dolnośląskie	Legnica	Dolnośląskie
180	Bolesławiec	Dolnośląskie	Wrocław	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Łódź	Łódzkie
33	Bolesławiec	Dolnośląskie	Warszawa	Mazowieckie
288	Gromadka	Dolnośląskie	Bolesławiec	Dolnośląskie
52	Gromadka	Dolnośląskie	Bolesławiec	Dolnośląskie
15	Gromadka	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
10	Gromadka	Dolnośląskie	Chojnów	Dolnośląskie
27	Gromadka	Dolnośląskie	Lubin	Dolnośląskie
26	Gromadka	Dolnośląskie	Chocianów - miasto	Dolnośląskie
65	Gromadka	Dolnośląskie	Polkowice - miasto	Dolnośląskie
17	Gromadka	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
12	Gromadka	Dolnośląskie	Zgorzelec	Dolnośląskie
13	Gromadka	Dolnośląskie	Sulików	Dolnośląskie
20	Gromadka	Dolnośląskie	Legnica	Dolnośląskie
76	Gromadka	Dolnośląskie	Wrocław	Dolnośląskie
13	Gromadka	Dolnośląskie	Łódź	Łódzkie
14	Gromadka	Dolnośląskie	Warszawa	Mazowieckie
12	Gromadka	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
166	Nowogrodziec - miasto	Dolnośląskie	Bolesławiec	Dolnośląskie
18	Nowogrodziec - miasto	Dolnośląskie	Bolesławiec	Dolnośląskie
123	Nowogrodziec - miasto	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
12	Nowogrodziec - miasto	Dolnośląskie	Osiecznica	Dolnośląskie
28	Nowogrodziec - miasto	Dolnośląskie	Lubań	Dolnośląskie
35	Nowogrodziec - miasto	Dolnośląskie	Wrocław	Dolnośląskie
14	Nowogrodziec - miasto	Dolnośląskie	Warszawa	Mazowieckie
482	Nowogrodziec - obszar wiejski	Dolnośląskie	Bolesławiec	Dolnośląskie
38	Nowogrodziec - obszar wiejski	Dolnośląskie	Bolesławiec	Dolnośląskie
198	Nowogrodziec - obszar wiejski	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
44	Nowogrodziec - obszar wiejski	Dolnośląskie	Osiecznica	Dolnośląskie
21	Nowogrodziec - obszar wiejski	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
58	Nowogrodziec - obszar wiejski	Dolnośląskie	Lubań	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Lubań	Dolnośląskie
19	Nowogrodziec - obszar wiejski	Dolnośląskie	Zgorzelec	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Węgliniec - miasto	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Jelenia Góra	Dolnośląskie
15	Nowogrodziec - obszar wiejski	Dolnośląskie	Legnica	Dolnośląskie
