"data","liczba_hospitalizowanych","procent_hospitalizowanych_z_aktywnych","liczba_lozek","procent_zajetych_lozek","liczba_zajetych_respiratorow","procent_hospitalizowanych_pod_respiratorem","liczba_respiratorow","procent_zajetych_respiratorow","osoby_kwarantanna","osoby_nadzor"
2020-03-03,"68",NA,NA,NA,NA,NA," ",NA,"316","4459"
2020-03-04,"65",NA,NA,NA,NA,NA,NA,NA,"349","4540"
2020-03-05,"92",NA,NA,NA,NA,NA,NA,NA,"490","5647"
2020-03-06,"128",NA,NA,NA,NA,NA,NA,NA,"1299","6184"
2020-03-07,"146",NA,NA,NA,NA,NA,NA,NA,"1548","6409"
2020-03-08,"168",NA,NA,NA,NA,NA,NA,NA,"932","7112"
2020-03-09,"467",NA,NA,NA,NA,NA,NA,NA,"1014","7110"
2020-03-10,"220",NA,NA,NA,NA,NA,NA,NA,"1055","9366"
2020-03-11,"317",NA,NA,NA,NA,NA,NA,NA,"1193","11524"
2020-03-12,"384",NA,NA,NA,NA,NA,NA,NA,"2736","14841"
2020-03-13,"521",NA,NA,NA,NA,NA,NA,NA,"3151","17784"
2020-03-14,"526",NA,NA,NA,NA,NA,NA,NA,"4413","20340"
2020-03-15,"768",NA,NA,NA,NA,NA,NA,NA,"7535","25816"
2020-03-16,"734",NA,NA,NA,NA,NA,NA,NA,"10050","30129"
2020-03-17,"822",NA,NA,NA,NA,NA,NA,NA,"37503","35853"
2020-03-18,"923",NA,NA,NA,NA,NA,NA,NA,"57185","40110"
2020-03-19,"871",NA,NA,NA,NA,NA,NA,NA,"76764","48660"
2020-03-20,"898",NA,NA,NA,NA,NA,NA,NA,"109235","53117"
2020-03-21,"1047",NA,NA,NA,NA,NA,NA,NA,"128919","56623"
2020-03-22,"1084",NA,NA,NA,NA,NA,NA,NA,"128980","58826"
2020-03-23,"1138",NA,NA,NA,NA,NA,NA,NA,"150746","51142"
2020-03-24,"1479",NA,NA,NA,NA,NA,NA,NA,"167040","53426"
2020-03-25,"1615",NA,NA,NA,NA,NA,NA,NA,"209208","56930"
2020-03-26,"1606",NA,NA,NA,NA,NA,NA,NA,"234382","59081"
2020-03-27,"1696",NA,NA,NA,NA,NA,NA,NA,"256156","58306"
2020-03-28,"1719",NA,NA,NA,NA,NA,NA,NA,"265303","56585"
2020-03-29,"1879",NA,NA,NA,NA,NA,NA,NA,"269307","52612"
2020-03-30,"1900",NA,NA,NA,NA,NA,NA,NA,"270314","52370"
2020-03-31,"1924",NA,NA,NA,NA,NA,NA,NA,"171994","50804"
2020-04-01,"2317",NA,NA,NA,NA,NA,NA,NA,"183095","48093"
2020-04-02,"2158",NA,NA,NA,NA,NA,NA,NA,"174997","44491"
2020-04-03,"2303",NA,NA,NA,NA,NA,NA,NA,"160587","41146"
2020-04-04,"2434",0.7092,NA,NA,NA,NA,NA,NA,"131888","39157"
2020-04-05,"2444",0.6309,NA,NA,NA,NA,NA,NA,"143256","37295"
2020-04-06,"2476",0.5975,NA,NA,NA,NA,NA,NA,"148130","36391"
2020-04-07,"2425",0.5356,NA,NA,NA,NA,NA,NA,"153390","33273"
2020-04-08,"2473",0.5125,NA,NA,NA,NA,NA,NA,"152898","33989"
2020-04-09,"2409",0.4708,NA,NA,NA,NA,NA,NA,"158663","33879"
2020-04-10,"2426",0.4446,NA,NA,NA,NA,NA,NA,"166973","31370"
2020-04-11,"2481",0.4298,NA,NA,NA,NA,NA,NA,"162924","30982"
2020-04-12,"2510",0.4181,NA,NA,NA,NA,NA,NA,"151548","29571"
2020-04-13,"2471",0.3985,NA,NA,NA,NA,NA,NA,"144875","28665"
2020-04-14,"2499",0.3953,NA,NA,NA,NA,NA,NA,"145875","28085"
2020-04-15,"2607",0.3933,NA,NA,NA,NA,NA,NA,"142220","25923"
2020-04-16,"2673",0.3914,NA,NA,NA,NA,NA,NA,"138004","25773"
2020-04-17,"2725",0.3797,NA,NA,NA,NA,NA,NA,"118361","25273"
2020-04-18,"2483",0.3364,NA,NA,NA,NA,NA,NA,"124311","17436"
2020-04-19,"2511",0.3209,NA,NA,NA,NA,NA,NA,"111079","17266"
2020-04-20,"2914",0.3635,NA,NA,NA,NA,NA,NA,"105602","21364"
2020-04-21,"3505",0.4329,NA,NA,NA,NA,NA,NA,"98020","22731"
2020-04-22,"3099",0.3794,NA,NA,NA,NA,NA,NA,"103129","21781"
2020-04-23,"3095",0.3749,NA,NA,NA,NA,NA,NA,"97905","20546"
2020-04-24,"2821",0.3362,NA,NA,NA,NA,NA,NA,"87003","19653"
2020-04-25,"2749",0.3211,NA,NA,NA,NA,NA,NA,"79656","19116"
