Powiat;Powierzchnia;Liczba_ludności;Gęstość_zaludnienia
powiat aleksandrowski;474,63;55 274;116,46
powiat augustowski;1659,39;58 367;35,17
powiat bartoszycki;1307,49;57 916;44,30
powiat bełchatowski;967,60;112 997;116,78
powiat będziński;364,13;148 762;408,54
powiat bialski;2754,26;111 391;40,44
Biała Podlaska;49,40;57 352;1160,97
powiat białobrzeski;639,10;33 551;52,50
powiat białogardzki;845,46;47 846;56,59
powiat białostocki;2976,44;148 145;49,77
Białystok;102,13;297 459;2912,55
powiat bielski;458,64;165 000;359,76
powiat bielski;1385,09;54 863;39,61
Bielsko-Biała;124,51;171 259;1375,46
powiat bieruńsko-lędziński;158,15;59 760;377,87
powiat bieszczadzki;1139,07;21 879;19,21
powiat biłgorajski;1681,10;101 435;60,34
powiat bocheński;648,56;106 514;164,23
powiat bolesławiecki;1303,51;90 200;69,20
powiat braniewski;1201,65;41 391;34,45
powiat brodnicki;1039,97;78 898;75,87
powiat brzeski;590,52;93 206;157,84
powiat brzeski;875,96;90 275;103,06
powiat brzeziński;358,56;30 890;86,15
powiat brzozowski;539,34;65 713;121,84
powiat buski;968,00;72 058;74,44
powiat bydgoski;1394,12;117 325;84,16
Bydgoszcz;175,98;350 178;1989,87
Bytom;69,44;166 795;2402,00
powiat bytowski;2192,07;79 299;36,18
Chełm;35,28;62 670;1776,36
powiat chełmiński;526,94;52 193;99,05
powiat chełmski;1885,60;78 228;41,49
powiat chodzieski;685,06;47 229;68,94
powiat chojnicki;1364,21;97 551;71,51
Chorzów;33,24;108 434;3262,15
powiat choszczeński;1327,63;48 602;36,61
powiat chrzanowski;370,12;125 385;338,77
powiat ciechanowski;1059,80;89 670;84,61
powiat cieszyński;730,29;178 139;243,93
powiat czarnkowsko-trzcianecki;1806,05;87 420;48,40
Częstochowa;159,71;222 292;1391,85
powiat częstochowski;1522,05;134 919;88,64
powiat człuchowski;1575,27;56 370;35,78
Dąbrowa Górnicza;188,73;120 259;637,20
powiat dąbrowski;530,25;59 350;111,93
powiat dębicki;777,48;135 471;174,24
powiat drawski;1764,24;57 397;32,53
powiat działdowski;953,93;65 442;68,60
powiat dzierżoniowski;478,51;101 437;211,99
Elbląg;79,82;120 142;1505,16
powiat elbląski;1415,58;57 549;40,65
powiat ełcki;1112,79;91 359;82,10
powiat garwoliński;1284,83;108 993;84,83
Gdańsk;261,96;466 631;1781,31
powiat gdański;793,75;116 199;146,39
Gdynia;135,14;246 309;1822,62
powiat giżycki;1119,51;56 754;50,70
Gliwice;133,88;179 806;1343,04
powiat gliwicki;664,37;115 558;173,94
powiat głogowski;443,27;89 541;202,00
powiat głubczycki;672,63;45 883;68,21
powiat gnieźnieński;1255,03;145 317;115,79
powiat goleniowski;1615,48;82 540;51,09
powiat golubsko-dobrzyński;612,85;45 140;73,66
powiat gołdapski;772,29;26 908;34,84
powiat gorlicki;966,46;109 104;112,89
powiat gorzowski;1214,23;71 549;58,93
Gorzów Wielkopolski;85,72;123 921;1445,65
powiat gostyniński;614,81;45 203;73,52
powiat gostyński;810,25;76 011;93,81
powiat górowski;738,27;35 182;47,65
powiat grajewski;967,62;47 518;49,11
powiat grodziski;367,04;94 091;256,35
powiat grodziski;641,87;51 972;80,97
powiat grójecki;1267,73;98 451;77,66
Grudziądz;57,76;95 045;1645,52
powiat grudziądzki;727,76;40 271;55,34
powiat gryficki;1017,37;60 617;59,58
powiat gryfiński;1869,11;82 530;44,15
powiat hajnowski;1623,53;43 143;26,57
powiat hrubieszowski;1268,02;63 698;50,23
powiat iławski;1385,22;93 020;67,15
powiat inowrocławski;1225,18;160 647;131,12
powiat janowski;875,28;46 057;52,62
powiat jarociński;587,29;71 686;122,06
powiat jarosławski;1028,66;120 714;117,35
powiat jasielski;830,87;113 962;137,16
Jastrzębie-Zdrój;85,33;89 128;1044,51
powiat jaworski;581,55;50 545;86,91
Jaworzno;152,59;91 563;600,06
Jelenia Góra;109,22;79 480;727,71
powiat jeleniogórski;627,14;63 855;101,82
powiat jędrzejowski;1256,96;86 076;68,48
powiat kaliski;1159,99;83 030;71,58
Kalisz;69,42;100 975;1454,55
powiat kamiennogórski;395,69;43 621;110,24
powiat kamieński;1003,44;47 227;47,07
powiat kartuski;1120,54;136 619;121,92
Katowice;164,64;294 510;1788,81
powiat kazimierski;422,18;33 851;80,18
powiat kędzierzyńsko-kozielski;625,13;94 487;151,15
powiat kępiński;608,26;56 486;92,86
powiat kętrzyński;1212,99;62 924;51,88
Kielce;109,65;195 774;1785,44
powiat kielecki;2246,07;210 694;93,81
powiat kluczborski;851,91;65 837;77,28
powiat kłobucki;888,59;84 924;95,57
powiat kłodzki;1643,30;159 337;96,96
powiat kolbuszowski;773,17;62 476;80,80
powiat kolneński;940,10;38 396;40,84
powiat kolski;1010,71;87 216;86,29
powiat kołobrzeski;724,66;79 547;109,77
powiat konecki;1139,72;80 648;70,76
Konin;82,16;74 151;902,52
powiat koniński;1578,39;129 966;82,34
Koszalin;98,34;107 321;1091,33
powiat koszaliński;1653,46;66 355;40,13
powiat kościański;722,42;79 230;109,67
powiat kościerski;1165,67;72 528;62,22
powiat kozienicki;916,10;60 472;66,01
powiat krakowski;1230,52;277 145;225,23
Kraków;326,85;771 069;2359,09
powiat krapkowicki;441,80;63 942;144,73
powiat krasnostawski;1031,44;63 925;61,98
powiat kraśnicki;1005,30;96 043;95,54
Krosno;43,50;46 511;1069,22
powiat krośnieński;993,11;112 414;113,19
powiat krośnieński;1391,25;55 245;39,71
powiat krotoszyński;713,68;77 488;108,58
powiat kutnowski;886,86;97 295;109,71
powiat kwidzyński;834,70;83 291;99,79
powiat legionowski;390,76;116 775;298,84
Legnica;56,29;99 752;1772,11
powiat legnicki;744,08;55 326;74,35
powiat leski;834,94;26 562;31,81
powiat leszczyński;805,81;56 485;70,10
Leszno;31,86;63 952;2007,28
powiat leżajski;583,71;69 562;119,17
powiat lęborski;706,02;66 280;93,88
powiat lidzbarski;925,00;41 512;44,88
powiat limanowski;951,23;131 523;138,27
powiat lipnowski;1015,74;66 062;65,04
powiat lipski;740,22;34 214;46,22
powiat lubaczowski;1308,37;55 652;42,54
powiat lubański;428,30;54 699;127,71
powiat lubartowski;1288,74;88 789;68,90
powiat lubelski;1679,53;154 387;91,92
powiat lubiński;711,62;106 254;149,31
Lublin;147,47;339 682;2303,40
powiat lubliniecki;822,25;76 593;93,15
powiat lwówecki;709,69;46 059;64,90
powiat łańcucki;451,84;80 834;178,90
powiat łaski;618,23;50 103;81,04
powiat łęczycki;772,75;50 143;64,89
powiat łęczyński;636,64;57 457;90,25
powiat łobeski;1065,13;37 104;34,84
Łomża;32,67;63 000;1928,37
powiat łomżyński;1354,59;51 000;37,65
powiat łosicki;772,45;31 023;40,16
powiat łowicki;988,17;78 616;79,56
powiat łódzki wschodni;499,76;71 705;143,48
Łódź;293,25;685 285;2336,86
powiat łukowski;1394,21;107 449;77,07
powiat makowski;1064,63;45 247;42,50
powiat malborski;494,23;63 748;128,98
powiat miechowski;676,29;49 137;72,66
powiat mielecki;880,50;136 673;155,22
powiat międzychodzki;736,44;36 982;50,22
powiat międzyrzecki;1387,61;58 024;41,82
powiat mikołowski;233,10;98 373;422,02
powiat milicki;714,93;37 093;51,88
powiat miński;1163,72;153 824;132,18
powiat mławski;1181,82;73 102;61,86
powiat mogileński;675,12;45 821;67,87
powiat moniecki;1381,79;40 712;29,46
powiat mrągowski;1065,38;50 080;47,01
Mysłowice;65,62;74 586;1136,64
powiat myszkowski;479,25;71 119;148,40
powiat myślenicki;673,08;127 028;188,73
powiat myśliborski;1182,40;66 264;56,04
powiat nakielski;1120,08;86 590;77,31
powiat namysłowski;748,18;42 688;57,06
powiat nidzicki;960,64;33 068;34,42
powiat niżański;785,64;66 843;85,08
powiat nowodworski;674,08;35 746;53,03
powiat nowodworski;694,79;79 291;114,12
powiat nowomiejski;693,93;43 997;63,40
powiat nowosądecki;1549,80;216 176;139,49
powiat nowosolski;770,73;86 634;112,41
powiat nowotarski;1474,99;191 508;129,84
powiat nowotomyski;1013,62;75 363;74,35
Nowy Sącz;57,58;83 896;1457,03
powiat nyski;1223,88;136 946;111,89
powiat obornicki;711,04;59 858;84,18
powiat olecki;873,60;34 433;39,42
powiat oleski;973,38;64 602;66,37
powiat oleśnicki;1049,31;107 062;102,03
powiat olkuski;618,11;112 035;181,25
Olsztyn;88,33;172 362;1951,34
