"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych","woj","Wojewodztwo"
201000,"Powiat bolesławiecki",69.2,15,2,"DOLNOŚLĄSKIE"
202000,"Powiat dzierżoniowski",211.99,20.0321381744334,2,"DOLNOŚLĄSKIE"
203000,"Powiat głogowski",202,17.8800772830324,2,"DOLNOŚLĄSKIE"
204000,"Powiat górowski",47.65,14.2970837360014,2,"DOLNOŚLĄSKIE"
205000,"Powiat jaworski",86.91,12.661984370363,2,"DOLNOŚLĄSKIE"
261000,"Powiat m.Jelenia Góra",727.71,14.1041771514847,2,"DOLNOŚLĄSKIE"
206000,"Powiat jeleniogórski",101.82,14.5329261608331,2,"DOLNOŚLĄSKIE"
207000,"Powiat kamiennogórski",110.24,13.5714449462415,2,"DOLNOŚLĄSKIE"
208000,"Powiat kłodzki",96.96,13.3929972322813,2,"DOLNOŚLĄSKIE"
262000,"Powiat m.Legnica",1772.11,12.1501323281739,2,"DOLNOŚLĄSKIE"
209000,"Powiat legnicki",74.35,15.6707515453855,2,"DOLNOŚLĄSKIE"
210000,"Powiat lubański",127.71,13.6017111830198,2,"DOLNOŚLĄSKIE"
211000,"Powiat lubiński",149.31,14.4371035443372,2,"DOLNOŚLĄSKIE"
212000,"Powiat lwówecki",64.9,11.2247334939968,2,"DOLNOŚLĄSKIE"
213000,"Powiat milicki",51.88,22.9692933976761,2,"DOLNOŚLĄSKIE"
214000,"Powiat oleśnicki",102.03,18.7928490033812,2,"DOLNOŚLĄSKIE"
215000,"Powiat oławski",146.15,21.5157647366016,2,"DOLNOŚLĄSKIE"
216000,"Powiat polkowicki",80.8,18.8942872566765,2,"DOLNOŚLĄSKIE"
217000,"Powiat strzeliński",70.37,19.9438009732027,2,"DOLNOŚLĄSKIE"
218000,"Powiat średzki",77.07,19.2190753468831,2,"DOLNOŚLĄSKIE"
219000,"Powiat świdnicki",212.67,10.037115756749,2,"DOLNOŚLĄSKIE"
220000,"Powiat trzebnicki",82.83,13.0881417430436,2,"DOLNOŚLĄSKIE"
265000,"Powiat m.Wałbrzych",1329.33,11.5725527115122,2,"DOLNOŚLĄSKIE"
221000,"Powiat wałbrzyski",130.18,9.98142989786444,2,"DOLNOŚLĄSKIE"
222000,"Powiat wołowski",69.72,22.4413464807888,2,"DOLNOŚLĄSKIE"
264000,"Powiat m.Wrocław",2187.86,22.6348946691475,2,"DOLNOŚLĄSKIE"
223000,"Powiat wrocławski",130.68,25.845542927564,2,"DOLNOŚLĄSKIE"
224000,"Powiat ząbkowicki",81.63,15.7119276150883,2,"DOLNOŚLĄSKIE"
225000,"Powiat zgorzelecki",107.33,9.72189815895026,2,"DOLNOŚLĄSKIE"
226000,"Powiat złotoryjski",76.19,11.7850874193622,2,"DOLNOŚLĄSKIE"
401000,"Powiat aleksandrowski",116.46,28.8562434417629,4,"KUJAWSKO-POMORSKIE"
402000,"Powiat brodnicki",75.87,15.627772567112,4,"KUJAWSKO-POMORSKIE"
403000,"Powiat bydgoski",84.16,20.5753249520563,4,"KUJAWSKO-POMORSKIE"
461000,"Powiat m.Bydgoszcz",1989.87,20.7066120658636,4,"KUJAWSKO-POMORSKIE"
404000,"Powiat chełmiński",99.05,16.1899105243998,4,"KUJAWSKO-POMORSKIE"
405000,"Powiat golubsko-dobrzyński",73.66,16.5928223305272,4,"KUJAWSKO-POMORSKIE"
406000,"Powiat grudziądzki",55.34,15.7681706438877,4,"KUJAWSKO-POMORSKIE"
462000,"Powiat m.Grudziądz",1645.52,17.0129938450208,4,"KUJAWSKO-POMORSKIE"
407000,"Powiat inowrocławski",131.12,20.3863128474232,4,"KUJAWSKO-POMORSKIE"
408000,"Powiat lipnowski",65.04,17.3927522630256,4,"KUJAWSKO-POMORSKIE"
409000,"Powiat mogileński",67.87,15.2113659675695,4,"KUJAWSKO-POMORSKIE"
410000,"Powiat nakielski",77.31,20.0600531239173,4,"KUJAWSKO-POMORSKIE"
411000,"Powiat radziejowski",67.05,21.0001473694552,4,"KUJAWSKO-POMORSKIE"
412000,"Powiat rypiński",74.73,11.614110345457,4,"KUJAWSKO-POMORSKIE"
413000,"Powiat sępoleński",52.01,16.3316888230005,4,"KUJAWSKO-POMORSKIE"
414000,"Powiat świecki",67.35,15.9244971343963,4,"KUJAWSKO-POMORSKIE"
415000,"Powiat toruński",86.91,21.5551503249638,4,"KUJAWSKO-POMORSKIE"
463000,"Powiat m.Toruń",1746.23,28.2124370280194,4,"KUJAWSKO-POMORSKIE"
416000,"Powiat tucholski",44.98,17.4473890933146,4,"KUJAWSKO-POMORSKIE"
417000,"Powiat wąbrzeski",68.56,16.5925667625607,4,"KUJAWSKO-POMORSKIE"
418000,"Powiat włocławski",58.6,14.9851769501575,4,"KUJAWSKO-POMORSKIE"
464000,"Powiat m.Włocławek",1314.07,16.732549953972,4,"KUJAWSKO-POMORSKIE"
419000,"Powiat żniński",71.5,14.8268075497422,4,"KUJAWSKO-POMORSKIE"
601000,"Powiat bialski",40.44,17.4430609295185,6,"LUBELSKIE"
661000,"Powiat m.Biała Podlaska",1160.97,23.1378155949226,6,"LUBELSKIE"
602000,"Powiat biłgorajski",60.34,13.6047715285651,6,"LUBELSKIE"
603000,"Powiat chełmski",41.49,12.5274837654037,6,"LUBELSKIE"
662000,"Powiat m.Chełm",1776.36,14.5205042284985,6,"LUBELSKIE"
604000,"Powiat hrubieszowski",50.23,12.2609815064837,6,"LUBELSKIE"
605000,"Powiat janowski",52.62,19.0416223375383,6,"LUBELSKIE"
606000,"Powiat krasnostawski",61.98,7.50879937426672,6,"LUBELSKIE"
607000,"Powiat kraśnicki",95.54,12.3486355070125,6,"LUBELSKIE"
608000,"Powiat lubartowski",68.9,16.1619119485522,6,"LUBELSKIE"
609000,"Powiat lubelski",91.92,24.0305207044635,6,"LUBELSKIE"
663000,"Powiat m.Lublin",2303.4,23.3512520533911,6,"LUBELSKIE"
610000,"Powiat łęczyński",90.25,19.8757331569696,6,"LUBELSKIE"
611000,"Powiat łukowski",77.07,15.1886011037795,6,"LUBELSKIE"
612000,"Powiat opolski",73.73,11.1341794193484,6,"LUBELSKIE"
613000,"Powiat parczewski",36.71,11.4150025748126,6,"LUBELSKIE"
614000,"Powiat puławski",121.79,19.8924069548707,6,"LUBELSKIE"
615000,"Powiat radzyński",61.42,14.5922601977125,6,"LUBELSKIE"
616000,"Powiat rycki",91.4,11.7686856817292,6,"LUBELSKIE"
617000,"Powiat świdnicki",153.81,19.253459931426,6,"LUBELSKIE"
618000,"Powiat tomaszowski",56.23,12.9367496864361,6,"LUBELSKIE"
619000,"Powiat włodawski",30.78,20.4303299886211,6,"LUBELSKIE"
620000,"Powiat zamojski",57.18,15.8694534062748,6,"LUBELSKIE"
664000,"Powiat m.Zamość",2103.26,18.6012254556282,6,"LUBELSKIE"
801000,"Powiat gorzowski",58.93,15.905183860012,8,"LUBUSKIE"
861000,"Powiat m.Gorzów Wielkopolski",1445.65,20.8600640730788,8,"LUBUSKIE"
802000,"Powiat krośnieński",39.71,12.9061453525206,8,"LUBUSKIE"
803000,"Powiat międzyrzecki",41.82,24.7828484764925,8,"LUBUSKIE"
804000,"Powiat nowosolski",112.41,15.3173119098737,8,"LUBUSKIE"
805000,"Powiat słubicki",47.13,11.1887221078109,8,"LUBUSKIE"
806000,"Powiat strzelecko-drezdenecki",39.56,10.7969047522586,8,"LUBUSKIE"
807000,"Powiat sulęciński",29.97,13.5422273847636,8,"LUBUSKIE"
808000,"Powiat świebodziński",59.62,16.708452722063,8,"LUBUSKIE"
809000,"Powiat zielonogórski",56.12,9.7029702970297,8,"LUBUSKIE"
862000,"Powiat m.Zielona Góra",504.09,14.7116474336586,8,"LUBUSKIE"
810000,"Powiat żagański",70.31,8.84611035020042,8,"LUBUSKIE"
811000,"Powiat żarski",69.56,12.2321317973492,8,"LUBUSKIE"
812000,"Powiat wschowski",62.58,11.1096889799053,8,"LUBUSKIE"
1001000,"Powiat bełchatowski",116.78,23.6023965238015,10,"ŁÓDZKIE"
1021000,"Powiat brzeziński",86.15,24.7329232761411,10,"ŁÓDZKIE"
1002000,"Powiat kutnowski",109.71,17.030679891053,10,"ŁÓDZKIE"
1003000,"Powiat łaski",81.04,13.811548210686,10,"ŁÓDZKIE"
1004000,"Powiat łęczycki",64.89,16.2535149472509,10,"ŁÓDZKIE"
1005000,"Powiat łowicki",79.56,17.7444794952681,10,"ŁÓDZKIE"
