Kod,Nazwa,Powierzchnia,Liczba_ludnosci,Gestosc_zaludnienia
201000,powiat bolesławiecki,1303.51,90200,69.2
202000,powiat dzierżoniowski,478.51,101437,211.99
203000,powiat głogowski,443.27,89541,202
204000,powiat górowski,738.27,35182,47.65
205000,powiat jaworski,581.55,50545,86.91
206000,powiat jeleniogórski,627.14,63855,101.82
207000,powiat kamiennogórski,395.69,43621,110.24
208000,powiat kłodzki,1643.3,159337,96.96
209000,powiat legnicki,744.08,55326,74.35
210000,powiat lubański,428.3,54699,127.71
211000,powiat lubiński,711.62,106254,149.31
212000,powiat lwówecki,709.69,46059,64.9
213000,powiat milicki,714.93,37093,51.88
214000,powiat oleśnicki,1049.31,107062,102.03
215000,powiat oławski,524.1,76595,146.15
216000,powiat polkowicki,779.46,62982,80.8
217000,powiat strzeliński,622.06,43773,70.37
220000,powiat trzebnicki,1024.78,84886,82.83
221000,powiat wałbrzyski,430.22,56004,130.18
222000,powiat wołowski,674.96,47056,69.72
223000,powiat wrocławski,1117.7,146060,130.68
224000,powiat ząbkowicki,801.53,65428,81.63
225000,powiat zgorzelecki,838.6,90003,107.33
226000,powiat złotoryjski,575.81,43869,76.19
261000,powiat m.jelenia góra,109.22,79480,727.71
262000,powiat m.legnica,56.29,99752,1772.11
264000,powiat m.wrocław,292.82,640648,2187.86
265000,powiat m.wałbrzych,84.7,112594,1329.33
401000,powiat aleksandrowski,474.63,55274,116.46
402000,powiat brodnicki,1039.97,78898,75.87
403000,powiat bydgoski,1394.12,117325,84.16
404000,powiat chełmiński,526.94,52193,99.05
405000,powiat golubsko-dobrzyński,612.85,45140,73.66
406000,powiat grudziądzki,727.76,40271,55.34
407000,powiat inowrocławski,1225.18,160647,131.12
408000,powiat lipnowski,1015.74,66062,65.04
409000,powiat mogileński,675.12,45821,67.87
410000,powiat nakielski,1120.08,86590,77.31
411000,powiat radziejowski,607.2,40714,67.05
412000,powiat rypiński,586.47,43826,74.73
413000,powiat sępoleński,791.09,41147,52.01
414000,powiat świecki,1474.18,99281,67.35
415000,powiat toruński,1230.42,106935,86.91
416000,powiat tucholski,1075.46,48374,44.98
417000,powiat wąbrzeski,501.95,34413,68.56
418000,powiat włocławski,1473.63,86352,58.6
419000,powiat żniński,984.77,70413,71.5
461000,powiat m.bydgoszcz,175.98,350178,1989.87
