Kod;Nazwa;"ludność na 1 km2;2019;[osoba]";
201000;Powiat bolesławiecki;69;
202000;Powiat dzierżoniowski;211;
203000;Powiat głogowski;201;
204000;Powiat górowski;47;
205000;Powiat jaworski;86;
206000;Powiat jeleniogórski;101;
207000;Powiat kamiennogórski;109;
208000;Powiat kłodzki;96;
209000;Powiat legnicki;74;
210000;Powiat lubański;127;
211000;Powiat lubiński;149;
212000;Powiat lwówecki;65;
213000;Powiat milicki;52;
214000;Powiat oleśnicki;102;
215000;Powiat oławski;146;
216000;Powiat polkowicki;81;
217000;Powiat strzeliński;70;
218000;Powiat średzki;78;
219000;Powiat świdnicki;212;
220000;Powiat trzebnicki;83;
221000;Powiat wałbrzyski;129;
222000;Powiat wołowski;69;
223000;Powiat wrocławski;135;
224000;Powiat ząbkowicki;81;
225000;Powiat zgorzelecki;106;
226000;Powiat złotoryjski;76;
261000;Powiat m.Jelenia Góra;724;
262000;Powiat m.Legnica;1765;
264000;Powiat m.Wrocław;2195;
265000;Powiat m.Wałbrzych od 2013;1315;
401000;Powiat aleksandrowski;116;
402000;Powiat brodnicki;76;
403000;Powiat bydgoski;85;
404000;Powiat chełmiński;99;
405000;Powiat golubsko-dobrzyński;73;
406000;Powiat grudziądzki;55;
407000;Powiat inowrocławski;130;
408000;Powiat lipnowski;65;
409000;Powiat mogileński;68;
410000;Powiat nakielski;77;
411000;Powiat radziejowski;66;
412000;Powiat rypiński;74;
413000;Powiat sępoleński;52;
414000;Powiat świecki;67;
415000;Powiat toruński;88;
416000;Powiat tucholski;45;
417000;Powiat wąbrzeski;68;
418000;Powiat włocławski;58;
419000;Powiat żniński;71;
461000;Powiat m.Bydgoszcz;1979;
462000;Powiat m.Grudziądz;1634;
463000;Powiat m.Toruń;1741;
464000;Powiat m.Włocławek;1303;
601000;Powiat bialski;40;
602000;Powiat biłgorajski;60;
603000;Powiat chełmski;41;
604000;Powiat hrubieszowski;50;
605000;Powiat janowski;52;
606000;Powiat krasnostawski;61;
607000;Powiat kraśnicki;95;
608000;Powiat lubartowski;69;
609000;Powiat lubelski;93;
610000;Powiat łęczyński;90;
611000;Powiat łukowski;77;
612000;Powiat opolski;73;
613000;Powiat parczewski;36;
614000;Powiat puławski;121;
615000;Powiat radzyński;61;
616000;Powiat rycki;91;
617000;Powiat świdnicki;153;
618000;Powiat tomaszowski;56;
619000;Powiat włodawski;31;
620000;Powiat zamojski;57;
661000;Powiat m.Biała Podlaska;1157;
662000;Powiat m.Chełm;1755;
663000;Powiat m.Lublin;2304;
664000;Powiat m.Zamość;2091;
801000;Powiat gorzowski;59;
802000;Powiat krośnieński;39;
803000;Powiat międzyrzecki;41;
804000;Powiat nowosolski;112;
805000;Powiat słubicki;47;
806000;Powiat strzelecko-drezdenecki;39;
807000;Powiat sulęciński;30;
808000;Powiat świebodziński;60;
809000;Powiat zielonogórski;56;
810000;Powiat żagański;70;
811000;Powiat żarski;69;
812000;Powiat wschowski;62;
861000;Powiat m.Gorzów Wielkopolski;1442;
862000;Powiat m.Zielona Góra;507;
1001000;Powiat bełchatowski;117;
1002000;Powiat kutnowski;109;
1003000;Powiat łaski;81;
1004000;Powiat łęczycki;64;
1005000;Powiat łowicki;79;
1006000;Powiat łódzki wschodni;144;
1007000;Powiat opoczyński;73;
1008000;Powiat pabianicki;242;
1009000;Powiat pajęczański;64;
1010000;Powiat piotrkowski;64;
1011000;Powiat poddębicki;47;
1012000;Powiat radomszczański;78;
1013000;Powiat rawski;75;
1014000;Powiat sieradzki;79;
1015000;Powiat skierniewicki;51;
1016000;Powiat tomaszowski;114;
1017000;Powiat wieluński;82;
1018000;Powiat wieruszowski;73;
1019000;Powiat zduńskowolski;180;
1020000;Powiat zgierski;194;
1021000;Powiat brzeziński;86;
1061000;Powiat m.Łódź;2319;
1062000;Powiat m.Piotrków Trybunalski;1087;
1063000;Powiat m.Skierniewice;1390;
1201000;Powiat bocheński;165;
1202000;Powiat brzeski;158;
1203000;Powiat chrzanowski;336;
1204000;Powiat dąbrowski;112;
1205000;Powiat gorlicki;113;
1206000;Powiat krakowski;227;
1207000;Powiat limanowski;139;
1208000;Powiat miechowski;72;
1209000;Powiat myślenicki;190;
1210000;Powiat nowosądecki;140;
1211000;Powiat nowotarski;130;
1212000;Powiat olkuski;180;
1213000;Powiat oświęcimski;378;
1214000;Powiat proszowicki;104;
1215000;Powiat suski;123;
1216000;Powiat tarnowski;143;
1217000;Powiat tatrzański;144;
1218000;Powiat wadowicki;248;
1219000;Powiat wielicki;314;
1261000;Powiat m.Kraków;2384;
1262000;Powiat m.Nowy Sącz;1455;
1263000;Powiat m.Tarnów;1499;
1401000;Powiat białobrzeski;52;
1402000;Powiat ciechanowski;84;
1403000;Powiat garwoliński;85;
1404000;Powiat gostyniński;73;
1405000;Powiat grodziski;261;
1406000;Powiat grójecki;78;
1407000;Powiat kozienicki;65;
1408000;Powiat legionowski;303;
1409000;Powiat lipski;46;
1410000;Powiat łosicki;40;
1411000;Powiat makowski;42;
1412000;Powiat miński;133;
1413000;Powiat mławski;61;
1414000;Powiat nowodworski;114;
1415000;Powiat ostrołęcki;42;
1416000;Powiat ostrowski;59;
1417000;Powiat otwocki;202;
1418000;Powiat piaseczyński;303;
1419000;Powiat płocki;62;
1420000;Powiat płoński;63;
1421000;Powiat pruszkowski;674;
1422000;Powiat przasnyski;43;
1423000;Powiat przysuski;52;
1424000;Powiat pułtuski;63;
1425000;Powiat radomski;100;
1426000;Powiat siedlecki;51;
1427000;Powiat sierpecki;61;
1428000;Powiat sochaczewski;116;
1429000;Powiat sokołowski;48;
1430000;Powiat szydłowiecki;88;
1432000;Powiat warszawski zachodni;222;
1433000;Powiat węgrowski;54;
1434000;Powiat wołomiński;261;
1435000;Powiat wyszkowski;85;
1436000;Powiat zwoleński;63;
1437000;Powiat żuromiński;48;
1438000;Powiat żyrardowski;142;
1461000;Powiat m.Ostrołęka;1556;
1462000;Powiat m.Płock;1356;
1463000;Powiat m.Radom;1891;
