"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych"
201000,"powiat bolesławiecki",69.2,0.015
202000,"powiat dzierżoniowski",211.99,0.0200321381744334
203000,"powiat głogowski",202,0.0178800772830324
204000,"powiat górowski",47.65,0.0142970837360014
205000,"powiat jaworski",86.91,0.012661984370363
261000,"powiat m.jelenia góra",727.71,0.0141041771514847
206000,"powiat jeleniogórski",101.82,0.0145329261608331
207000,"powiat kamiennogórski",110.24,0.0135714449462415
208000,"powiat kłodzki",96.96,0.0133929972322813
262000,"powiat m.legnica",1772.11,0.0121501323281739
209000,"powiat legnicki",74.35,0.0156707515453855
210000,"powiat lubański",127.71,0.0136017111830198
211000,"powiat lubiński",149.31,0.0144371035443372
212000,"powiat lwówecki",64.9,0.0112247334939968
213000,"powiat milicki",51.88,0.0229692933976761
214000,"powiat oleśnicki",102.03,0.0187928490033812
215000,"powiat oławski",146.15,0.0215157647366016
216000,"powiat polkowicki",80.8,0.0188942872566765
217000,"powiat strzeliński",70.37,0.0199438009732027
218000,"powiat średzki",77.07,0.0192190753468831
219000,"powiat świdnicki",212.67,0.010037115756749
220000,"powiat trzebnicki",82.83,0.0130881417430436
265000,"powiat m.wałbrzych",1329.33,0.0115725527115122
221000,"powiat wałbrzyski",130.18,0.00998142989786444
222000,"powiat wołowski",69.72,0.0224413464807888
264000,"powiat m.wrocław",2187.86,0.0226348946691475
223000,"powiat wrocławski",130.68,0.025845542927564
224000,"powiat ząbkowicki",81.63,0.0157119276150883
225000,"powiat zgorzelecki",107.33,0.00972189815895026
226000,"powiat złotoryjski",76.19,0.0117850874193622
401000,"powiat aleksandrowski",116.46,0.0288562434417629
402000,"powiat brodnicki",75.87,0.015627772567112
403000,"powiat bydgoski",84.16,0.0205753249520563
461000,"powiat m.bydgoszcz",1989.87,0.0207066120658636
404000,"powiat chełmiński",99.05,0.0161899105243998
405000,"powiat golubsko-dobrzyński",73.66,0.0165928223305272
406000,"powiat grudziądzki",55.34,0.0157681706438877
462000,"powiat m.grudziądz",1645.52,0.0170129938450208
407000,"powiat inowrocławski",131.12,0.0203863128474232
408000,"powiat lipnowski",65.04,0.0173927522630256
409000,"powiat mogileński",67.87,0.0152113659675695
410000,"powiat nakielski",77.31,0.0200600531239173
411000,"powiat radziejowski",67.05,0.0210001473694552
412000,"powiat rypiński",74.73,0.011614110345457
413000,"powiat sępoleński",52.01,0.0163316888230005
414000,"powiat świecki",67.35,0.0159244971343963
415000,"powiat toruński",86.91,0.0215551503249638
463000,"powiat m.toruń",1746.23,0.0282124370280194
416000,"powiat tucholski",44.98,0.0174473890933146
417000,"powiat wąbrzeski",68.56,0.0165925667625607
418000,"powiat włocławski",58.6,0.0149851769501575
464000,"powiat m.włocławek",1314.07,0.0167325499539719
419000,"powiat żniński",71.5,0.0148268075497422
601000,"powiat bialski",40.44,0.0174430609295185
661000,"powiat m.biała podlaska",1160.97,0.0231378155949226
602000,"powiat biłgorajski",60.34,0.0136047715285651
603000,"powiat chełmski",41.49,0.0125274837654037
662000,"powiat m.chełm",1776.36,0.0145205042284985
604000,"powiat hrubieszowski",50.23,0.0122609815064837
605000,"powiat janowski",52.62,0.0190416223375383
606000,"powiat krasnostawski",61.98,0.00750879937426672
607000,"powiat kraśnicki",95.54,0.0123486355070125
608000,"powiat lubartowski",68.9,0.0161619119485522
609000,"powiat lubelski",91.92,0.0240305207044635
663000,"powiat m.lublin",2303.4,0.0233512520533911
610000,"powiat łęczyński",90.25,0.0198757331569696
611000,"powiat łukowski",77.07,0.0151886011037795
612000,"powiat opolski",73.73,0.0111341794193484
613000,"powiat parczewski",36.71,0.0114150025748126
614000,"powiat puławski",121.79,0.0198924069548707
615000,"powiat radzyński",61.42,0.0145922601977125
616000,"powiat rycki",91.4,0.0117686856817292
617000,"powiat świdnicki",153.81,0.019253459931426
618000,"powiat tomaszowski",56.23,0.0129367496864361
619000,"powiat włodawski",30.78,0.0204303299886211
620000,"powiat zamojski",57.18,0.0158694534062748
664000,"powiat m.zamość",2103.26,0.0186012254556282
801000,"powiat gorzowski",58.93,0.015905183860012
861000,"powiat m.gorzów wielkopolski",1445.65,0.0208600640730788
802000,"powiat krośnieński",39.71,0.0129061453525206
803000,"powiat międzyrzecki",41.82,0.0247828484764925
804000,"powiat nowosolski",112.41,0.0153173119098737
805000,"powiat słubicki",47.13,0.0111887221078109
806000,"powiat strzelecko-drezdenecki",39.56,0.0107969047522586
807000,"powiat sulęciński",29.97,0.0135422273847636
808000,"powiat świebodziński",59.62,0.016708452722063
809000,"powiat zielonogórski",56.12,0.0097029702970297
862000,"powiat m.zielona góra",504.09,0.0147116474336586
810000,"powiat żagański",70.31,0.00884611035020042
811000,"powiat żarski",69.56,0.0122321317973492
812000,"powiat wschowski",62.58,0.0111096889799053
1001000,"powiat bełchatowski",116.78,0.0236023965238015
1021000,"powiat brzeziński",86.15,0.0247329232761411
1002000,"powiat kutnowski",109.71,0.017030679891053
