"Kod";"Nazwa";"Miesiące";"Rodzaje obiektów";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";1518140;"osoba";"";
0000000;"POLSKA";"styczeń";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";1712855;"osoba";"";
0000000;"POLSKA";"styczeń";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";1847429;"osoba";"";
0000000;"POLSKA";"styczeń";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";2019667;"osoba";"";
0000000;"POLSKA";"styczeń";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";2124118;"osoba";"";
0000000;"POLSKA";"styczeń";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";2291506;"osoba";"";
0000000;"POLSKA";"luty";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";1618946;"osoba";"";
0000000;"POLSKA";"luty";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";1820325;"osoba";"";
0000000;"POLSKA";"luty";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";1907901;"osoba";"";
0000000;"POLSKA";"luty";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";2045505;"osoba";"";
0000000;"POLSKA";"luty";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";2187680;"osoba";"";
0000000;"POLSKA";"luty";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";2378371;"osoba";"";
0000000;"POLSKA";"marzec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";1751285;"osoba";"";
0000000;"POLSKA";"marzec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";1868981;"osoba";"";
0000000;"POLSKA";"marzec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";2107293;"osoba";"";
0000000;"POLSKA";"marzec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";2205113;"osoba";"";
0000000;"POLSKA";"marzec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";2401899;"osoba";"";
0000000;"POLSKA";"marzec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";881365;"osoba";"";
