Tydzień,Hiszpania ceny: (Polska),Włochy cena: (Polska),Turcja ceny: (Polska),Grecja ceny: (Polska),Grecja wyjazd: (Polska)
2018-10-14,18,98,36,0,18
2018-10-21,34,17,17,25,17
2018-10-28,0,0,0,0,0
2018-11-04,17,0,25,17,0
2018-11-11,17,34,17,0,34
2018-11-18,66,16,16,16,16
2018-11-25,33,0,0,17,17
2018-12-02,25,17,33,17,0
2018-12-09,17,34,34,17,0
2018-12-16,35,0,0,18,18
2018-12-23,20,20,20,0,0
2018-12-30,35,52,17,18,17
2019-01-06,25,16,16,16,16
2019-01-13,17,41,16,16,0
2019-01-20,0,17,33,0,0
2019-01-27,17,17,33,42,0
2019-02-03,34,42,25,17,0
2019-02-10,25,0,25,0,0
2019-02-17,0,16,33,17,16
2019-02-24,0,0,0,17,17
2019-03-03,33,16,41,17,16
2019-03-10,49,16,33,16,0
2019-03-17,34,34,34,34,0
2019-03-24,17,17,66,17,33
2019-03-31,44,52,26,35,35
2019-04-07,51,17,17,0,17
2019-04-14,19,75,19,37,0
2019-04-21,0,18,72,27,36
2019-04-28,36,0,45,27,18
2019-05-05,59,17,17,34,17
2019-05-12,25,16,25,49,0
2019-05-19,33,33,66,25,17
2019-05-26,33,17,83,33,17
2019-06-02,34,26,26,17,17
2019-06-09,0,34,34,34,17
2019-06-16,45,54,36,27,0
2019-06-23,53,81,45,36,18
2019-06-30,44,35,0,18,18
2019-07-07,17,70,61,69,43
2019-07-14,27,54,45,18,18
2019-07-21,27,36,36,54,18
2019-07-28,18,36,63,36,18
2019-08-04,27,18,27,36,18
2019-08-11,18,18,27,27,45
2019-08-18,52,61,35,26,26
2019-08-25,68,86,60,34,17
2019-09-01,34,42,17,17,17
2019-09-08,51,25,51,25,17
2019-09-15,50,25,41,17,0
2019-09-22,0,34,34,17,17
2019-09-29,24,16,16,24,0
2019-10-06,48,48,48,16,24
2019-10-13,48,16,24,16,16
2019-10-20,16,16,16,48,16
2019-10-27,16,33,33,33,0
2019-11-03,0,77,0,31,15
2019-11-10,31,16,16,16,16
2019-11-17,15,0,30,31,0
2019-11-24,52,30,15,0,15
2019-12-01,23,15,0,15,16
2019-12-08,0,0,0,0,0
2019-12-15,0,32,16,33,16
2019-12-22,18,36,27,27,0
2019-12-29,0,16,32,32,16
2020-01-05,22,15,0,15,15
2020-01-12,22,22,0,44,0
2020-01-19,30,15,30,38,0
2020-01-26,59,15,29,29,0
2020-02-02,22,22,0,15,0
2020-02-09,15,37,22,29,0
2020-02-16,15,29,29,37,0
2020-02-23,14,77,35,14,14
2020-03-01,14,43,14,29,14
2020-03-08,14,76,0,0,0
2020-03-15,13,100,0,0,0
2020-03-22,25,63,13,0,0
2020-03-29,25,87,0,0,0
2020-04-05,0,34,27,0,0
2020-04-12,40,27,0,14,0
2020-04-19,20,33,13,0,0
2020-04-26,27,14,0,14,14
2020-05-03,13,26,0,13,0
2020-05-10,0,39,0,0,0
2020-05-17,0,14,14,27,0
2020-05-24,0,13,0,0,13
2020-05-31,13,26,0,13,13
2020-06-07,0,28,28,14,57
2020-06-14,14,42,0,14,14
2020-06-21,0,14,14,43,14
2020-06-28,15,15,15,15,45
2020-07-05,15,0,15,0,30
2020-07-12,31,16,16,39,39
2020-07-19,41,16,0,32,41
2020-07-26,16,32,32,16,40
2020-08-02,32,16,0,16,16
2020-08-09,16,16,32,24,32
2020-08-16,16,32,16,47,16
2020-08-23,15,15,46,15,54
2020-08-30,15,15,45,15,23
2020-09-06,16,15,16,15,23
2020-09-13,16,0,47,31,16
2020-09-20,15,23,15,15,15
2020-09-27,0,0,30,15,0
2020-10-04,0,15,0,0,0
2020-10-11,15,53,0,15,0
2020-10-18,0,23,0,15,0
2020-10-25,15,22,15,15,0
2020-11-01,0,28,0,14,0
2020-11-08,0,44,15,15,15
2020-11-15,0,28,28,14,0
2020-11-22,0,0,0,0,0
2020-11-29,0,21,14,0,14
2020-12-06,51,51,0,0,0
