Tydzień,wycieczka: (Polska),biuro podróży: (Polska),wakacje last minute: (Polska)
2018-12-16,39,21,5
2018-12-23,63,41,6
2018-12-30,73,49,7
2019-01-06,62,49,4
2019-01-13,56,49,6
2019-01-20,69,48,7
2019-01-27,73,52,12
2019-02-03,70,54,8
2019-02-10,69,50,9
2019-02-17,74,46,5
2019-02-24,69,45,7
2019-03-03,65,50,3
2019-03-10,68,49,7
2019-03-17,69,41,6
2019-03-24,71,43,7
2019-03-31,65,42,6
2019-04-07,55,38,8
2019-04-14,53,37,8
2019-04-21,72,45,10
2019-04-28,86,51,12
2019-05-05,83,52,12
2019-05-12,72,53,14
2019-05-19,74,56,18
2019-05-26,75,54,21
2019-06-02,83,63,26
2019-06-09,75,65,32
2019-06-16,77,63,39
2019-06-23,84,74,41
2019-06-30,95,66,45
2019-07-07,98,88,43
2019-07-14,91,84,40
2019-07-21,88,70,40
2019-07-28,90,66,55
2019-08-04,89,62,52
2019-08-11,100,60,28
2019-08-18,76,55,20
2019-08-25,70,57,16
2019-09-01,67,49,16
2019-09-08,80,57,16
2019-09-15,82,48,15
2019-09-22,77,77,9
2019-09-29,68,43,8
2019-10-06,61,40,7
2019-10-13,63,36,6
2019-10-20,68,34,5
2019-10-27,59,36,6
2019-11-03,73,38,7
2019-11-10,70,40,5
2019-11-17,68,37,4
2019-11-24,55,35,3
2019-12-01,53,31,4
2019-12-08,50,31,3
2019-12-15,48,27,2
2019-12-22,73,33,8
2019-12-29,80,46,8
2020-01-05,80,58,6
2020-01-12,69,55,5
2020-01-19,72,46,4
2020-01-26,70,53,8
2020-02-02,69,53,4
2020-02-09,65,42,4
2020-02-16,65,43,5
2020-02-23,51,34,3
2020-03-01,44,24,2
2020-03-08,34,24,3
2020-03-15,22,17,2
2020-03-22,19,11,1
2020-03-29,19,11,1
2020-04-05,16,9,1
2020-04-12,19,8,0
2020-04-19,21,10,1
2020-04-26,25,9,1
2020-05-03,21,9,0
2020-05-10,25,13,1
2020-05-17,26,13,0
2020-05-24,27,17,1
2020-05-31,26,25,1
2020-06-07,33,20,3
2020-06-14,27,26,3
2020-06-21,23,25,4
2020-06-28,31,31,7
2020-07-05,40,38,15
2020-07-12,43,38,15
2020-07-19,48,38,9
2020-07-26,42,35,11
2020-08-02,38,29,7
2020-08-09,35,28,10
2020-08-16,37,26,8
2020-08-23,38,20,4
2020-08-30,29,23,7
2020-09-06,31,23,5
2020-09-13,35,20,6
2020-09-20,31,18,4
2020-09-27,24,22,2
2020-10-04,24,13,3
2020-10-11,16,8,2
2020-10-18,19,8,2
2020-10-25,16,8,2
2020-11-01,17,9,2
2020-11-08,22,12,3
2020-11-15,23,12,1
2020-11-22,21,9,3
2020-11-29,22,13,1
2020-12-06,27,8,1
