"Kod";"Nazwa";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2020;[osoba]";
0200000;"DOLNOŚLĄSKIE";106801;13657;44567;128434;272140;336652;272698;
0400000;"KUJAWSKO-POMORSKIE";35814;5391;18521;59815;108730;125461;90572;
0600000;"LUBELSKIE";23864;2645;15853;48270;108777;128792;81344;
0800000;"LUBUSKIE";15437;2871;11523;33169;69780;76175;48912;
1000000;"ŁÓDZKIE";35502;4943;15174;40487;68236;84992;72399;
1200000;"MAŁOPOLSKIE";132594;3522;32205;133175;307812;363757;274651;
1400000;"MAZOWIECKIE";149196;12055;44557;105609;207665;250912;244200;
1600000;"OPOLSKIE";12766;1990;4973;14216;29001;37537;28708;
1800000;"PODKARPACKIE";27819;3693;20243;60896;105574;131288;93700;
2000000;"PODLASKIE";15513;2769;9416;30952;66899;72624;45339;
2200000;"POMORSKIE";68523;6631;48970;190421;404547;477447;238613;
2400000;"ŚLĄSKIE";81053;8655;28633;77192;157011;188795;167063;
2600000;"ŚWIĘTOKRZYSKIE";18387;1722;7489;24980;46935;60434;45078;
2800000;"WARMIŃSKO-MAZURSKIE";25397;1857;18708;86588;184917;206709;108831;
3000000;"WIELKOPOLSKIE";56489;7728;29838;74987;147900;165054;119146;
3200000;"ZACHODNIOPOMORSKIE";76210;6257;36507;205061;425971;501452;262753;
