,Tydzien,Hiszpania ceny,Wlochy cena,Turcja ceny,Grecja ceny,Grecja wyjazd,wycieczka,biura podrozy,wakacje last minute,Turcja wyjazd,Bulgaria ceny,suma,Tydzien_2020,Hiszpania ceny 2020,Wlochy cena 2020,Turcja ceny 2020,Grecja ceny 2020,Grecja wyjazd 2020,Wycieczka 2020,biura podrozy 2020,wakacje last minute 2020,Turcja wyjazd 2020,Bulgaria ceny 2020,Suma 2020
1,2018-12-16,35,0,0,18,18,39,21,5,0,0,23.1418918918919,2019-12-15,0,32,16,33,16,48,27,2,0,15,34.9662162162162
2,2018-12-23,20,20,20,0,0,63,41,6,0,19,35.8108108108108,2019-12-22,18,36,27,27,0,73,33,8,17,17,48.3108108108108
3,2018-12-30,35,52,17,18,17,73,49,7,0,49,56.7567567567568,2019-12-29,0,16,32,32,16,80,46,8,15,37,53.5472972972973
4,2019-01-06,25,16,16,16,16,62,49,4,15,15,42.5675675675676,2020-01-05,22,15,0,15,15,80,58,6,14,14,40.8783783783784
5,2019-01-13,17,41,16,16,0,56,49,6,15,15,42.0608108108108,2020-01-12,22,22,0,44,0,69,55,5,0,0,37.1621621621622
6,2019-01-20,0,17,33,0,0,69,48,7,0,16,38.0067567567568,2020-01-19,30,15,30,38,0,72,46,4,14,21,51.1824324324324
7,2019-01-27,17,17,33,42,0,73,52,12,0,31,52.7027027027027,2020-01-26,59,15,29,29,0,70,53,8,0,0,49.6621621621622
8,2019-02-03,34,42,25,17,0,70,54,8,0,23,50.6756756756757,2020-02-02,22,22,0,15,0,69,53,4,14,14,36.3175675675676
9,2019-02-10,25,0,25,0,0,69,50,9,0,31,39.8648648648649,2020-02-09,15,37,22,29,0,65,42,4,0,34,45.945945945946
10,2019-02-17,0,16,33,17,16,74,46,5,0,16,43.5810810810811,2020-02-16,15,29,29,37,0,65,43,5,0,14,45.2702702702703
11,2019-02-24,0,0,0,17,17,69,45,7,15,15,31.9256756756757,2020-02-23,14,77,35,14,14,51,34,3,20,13,52.8716216216216
12,2019-03-03,33,16,41,17,16,65,50,3,0,23,51.6891891891892,2020-03-01,14,43,14,29,14,44,24,2,13,13,38.1756756756757
13,2019-03-10,49,16,33,16,0,68,49,7,0,15,48.6486486486487,2020-03-08,14,76,0,0,0,34,24,3,13,0,27.8716216216216
14,2019-03-17,34,34,34,34,0,69,41,6,0,16,51.3513513513513,2020-03-15,13,100,0,0,0,22,17,2,12,12,30.2364864864865
15,2019-03-24,17,17,66,17,33,71,43,7,16,16,62.8378378378378,2020-03-22,25,63,13,0,0,19,11,1,0,0,24.6621621621622
16,2019-03-31,44,52,26,35,35,65,42,6,16,16,61.8243243243243,2020-03-29,25,87,0,0,0,19,11,1,0,12,26.1824324324324
17,2019-04-07,51,17,17,0,17,55,38,8,16,48,48.4797297297297,2020-04-05,0,34,27,0,0,16,9,1,0,0,19.4256756756757
18,2019-04-14,19,75,19,37,0,53,37,8,17,17,51.1824324324324,2020-04-12,40,27,0,14,0,19,8,0,13,13,22.8040540540541
