freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 
M,PAS,PAS_BRD,TOTAL,TOT,AT	2295605 	2362496 	2884515 	2993159 	3050436 	3332670 	3523579 	3529949 	3320406 	3108277 	2601383 	2809314 	2566220 	2538537 	1008835 	12977 	21485 	141721 	614441 	857679 	607284 
M,PAS,PAS_BRD,TOTAL,TOT,BE	2264061 	2195772 	2652471 	3120842 	3110135 	3266073 	3660942 	3561906 	3335969 	3132803 	2622544 	2571961 	2356798 	2360471 	1067318 	17882 	23217 	109897 	: 	: 	: 
M,PAS,PAS_BRD,TOTAL,TOT,BG	572595 	537044 	618879 	678766 	879835 	1459266 	1871688 	1892362 	1295432 	718887 	584328 	633438 	620442 	596149 	293343 	29572 	77346 	157153 	440150 	547295 	406960 
M,PAS,PAS_BRD,TOTAL,TOT,CH	3996431 	3963075 	4716070 	4953667 	4857528 	5167767 	5628727 	5592219 	5115171 	5106899 	3838299 	4332063 	4081886 	3973871 	1793035 	30702 	56493 	277594 	1279181 	1622932 	1044832 
M,PAS,PAS_BRD,TOTAL,TOT,CY	434142 	421614 	577399 	875695 	1138981 	1307755 	1448876 	1498614 	1339773 	1206160 	636222 	526899 	470382 	457795 	235123 	6132 	9704 	40597 	197481 	295796 	244452 
M,PAS,PAS_BRD,TOTAL,TOT,CZ	1010412 	1011474 	1269877 	1432231 	1541903 	1936153 	2179652 	2204750 	1998819 	1641491 	1279303 	1347121 	1084912 	1038847 	446896 	4998 	7795 	38093 	275291 	380334 	: 
M,PAS,PAS_BRD,TOTAL,TOT,DE	14230587 	14013174 	17275824 	19246280 	20309970 	21657636 	22907255 	22801602 	22226241 	21626960 	15743393 	15374681 	14115894 	13695828 	6525893 	274314 	406128 	1336021 	4571718 	5639913 	4325298 
M,PAS,PAS_BRD,TOTAL,TOT,DK	2249424 	2273511 	2666794 	2893531 	3079080 	3408003 	3645767 	3425582 	3278160 	3173419 	2456493 	2345144 	2256354 	2284179 	984780 	31413 	50145 	172333 	656284 	727583 	564076 
M,PAS,PAS_BRD,TOTAL,TOT,EE	204783 	194398 	230789 	265978 	300446 	316964 	318394 	325152 	310000 	315559 	241243 	234617 	213361 	211228 	103270 	2838 	10430 	24788 	: 	: 	: 
M,PAS,PAS_BRD,TOTAL,TOT,EL	1651841 	1567622 	1957318 	3133971 	5176387 	7632082 	8993542 	9284768 	7690182 	4946998 	2055991 	1994966 	1907745 	1772154 	853515 	: 	: 	: 	: 	: 	: 
