Day,LOT
2020-03-04,23
2020-03-05,27
2020-03-06,22
2020-03-07,23
2020-03-08,29
2020-03-09,26
2020-03-10,30
2020-03-11,25
2020-03-12,33
2020-03-13,47
2020-03-14,83
2020-03-15,100
2020-03-16,75
2020-03-17,52
2020-03-18,42
2020-03-19,36
2020-03-20,32
2020-03-21,35
2020-03-22,37
2020-03-23,36
2020-03-24,35
2020-03-25,28
2020-03-26,31
2020-03-27,23
2020-03-28,26
2020-03-29,25
2020-03-30,23
2020-03-31,19
2020-04-01,27
2020-04-02,19
2020-04-03,18
2020-04-04,20
2020-04-05,20
2020-04-06,16
2020-04-07,16
2020-04-08,16
2020-04-09,16
2020-04-10,13
2020-04-11,12
2020-04-12,18
2020-04-13,31
2020-04-14,28
2020-04-15,26
2020-04-16,20
2020-04-17,16
2020-04-18,23
2020-04-19,19
2020-04-20,15
2020-04-21,17
2020-04-22,15
2020-04-23,16
2020-04-24,16
2020-04-25,18
2020-04-26,17
2020-04-27,13
2020-04-28,16
2020-04-29,18
2020-04-30,12
2020-05-01,12
2020-05-02,17
2020-05-03,15
2020-05-04,17
2020-05-05,13
2020-05-06,17
2020-05-07,16
2020-05-08,16
2020-05-09,14
2020-05-10,17
2020-05-11,16
2020-05-12,15
2020-05-13,22
2020-05-14,15
2020-05-15,12
2020-05-16,16
2020-05-17,15
2020-05-18,18
2020-05-19,20
2020-05-20,20
2020-05-21,15
2020-05-22,19
2020-05-23,15
2020-05-24,19
2020-05-25,16
2020-05-26,16
2020-05-27,33
2020-05-28,22
2020-05-29,18
2020-05-30,40
2020-05-31,31
2020-06-01,28
2020-06-02,19
2020-06-03,23
2020-06-04,22
2020-06-05,20
2020-06-06,27
2020-06-07,23
2020-06-08,17
2020-06-09,19
2020-06-10,20
2020-06-11,24
2020-06-12,20
2020-06-13,18
2020-06-14,24
2020-06-15,25
2020-06-16,25
2020-06-17,23
2020-06-18,23
2020-06-19,19
2020-06-20,25
2020-06-21,27
2020-06-22,21
2020-06-23,23
2020-06-24,31
2020-06-25,37
2020-06-26,27
2020-06-27,24
2020-06-28,32
2020-06-29,32
2020-06-30,36
2020-07-01,41
2020-07-02,31
2020-07-03,24
2020-07-04,38
2020-07-05,44
2020-07-06,38
2020-07-07,33
2020-07-08,37
2020-07-09,39
2020-07-10,34
2020-07-11,41
2020-07-12,44
2020-07-13,36
2020-07-14,41
2020-07-15,36
2020-07-16,33
2020-07-17,28
2020-07-18,32
2020-07-19,34
2020-07-20,33
2020-07-21,30
2020-07-22,28
2020-07-23,31
2020-07-24,24
2020-07-25,31
2020-07-26,34
2020-07-27,32
2020-07-28,34
2020-07-29,36
2020-07-30,29
2020-07-31,35
2020-08-01,33
2020-08-02,32
2020-08-03,22
2020-08-04,27
2020-08-05,29
2020-08-06,32
2020-08-07,29
2020-08-08,21
2020-08-09,33
2020-08-10,27
2020-08-11,28
2020-08-12,30
2020-08-13,25
2020-08-14,27
2020-08-15,29
2020-08-16,33
2020-08-17,27
2020-08-18,25
2020-08-19,26
2020-08-20,24
2020-08-21,28
2020-08-22,26
2020-08-23,27
2020-08-24,27
2020-08-25,25
2020-08-26,21
2020-08-27,24
2020-08-28,20
2020-08-29,24
2020-08-30,25
2020-08-31,22
2020-09-01,20
2020-09-02,22
2020-09-03,21
2020-09-04,19
2020-09-05,19
2020-09-06,23
2020-09-07,21
2020-09-08,20
2020-09-09,17
2020-09-10,16
2020-09-11,22
2020-09-12,24
2020-09-13,29
2020-09-14,20
2020-09-15,25
2020-09-16,28
2020-09-17,17
2020-09-18,25
2020-09-19,24
2020-09-20,28
2020-09-21,22
2020-09-22,22
2020-09-23,19
2020-09-24,20
2020-09-25,23
2020-09-26,21
2020-09-27,21
2020-09-28,20
2020-09-29,19
2020-09-30,20
2020-10-01,18
2020-10-02,18
2020-10-03,19
2020-10-04,21
2020-10-05,16
2020-10-06,15
2020-10-07,16
2020-10-08,14
2020-10-09,15
2020-10-10,13
2020-10-11,20
2020-10-12,11
2020-10-13,14
2020-10-14,12
2020-10-15,13
2020-10-16,16
2020-10-17,15
2020-10-18,17
2020-10-19,14
2020-10-20,12
2020-10-21,14
2020-10-22,12
2020-10-23,13
2020-10-24,14
2020-10-25,14
2020-10-26,12
2020-10-27,11
2020-10-28,11
2020-10-29,12
2020-10-30,11
2020-10-31,15
2020-11-01,19
2020-11-02,13
2020-11-03,16
2020-11-04,11
2020-11-05,13
2020-11-06,14
2020-11-07,12
2020-11-08,19
2020-11-09,13
2020-11-10,13
2020-11-11,16
2020-11-12,14
2020-11-13,16
2020-11-14,17
2020-11-15,16
2020-11-16,13
2020-11-17,13
2020-11-18,16
2020-11-19,13
