Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Jan. 15, 2021","Jan. 15, 2021",Run,771,8.039156083200002,2998,6.2153896245923805,3.817487125188897,9.653424675839998,15.71714318592,,8077,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5355772489
"Jan. 13, 2021","Jan. 13, 2021",Run,526,5.272468439040001,2172,6.865840988626421,2.8822489163286407,8.7388988544,20.8170255744,,5789,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5346357220
"Jan. 8, 2021","Jan. 8, 2021",Run,1290,13.4527478976,5015,6.2131029786049465,4.080886373578302,9.657013512959999,14.702677102080001,,13511,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5317145275
"Jan. 6, 2021","Jan. 6, 2021",Run,1036,10.777133030400002,4046,6.257083631591506,2.8706976258649486,9.589147476479999,20.900872396799997,,10892,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5300751799
"Jan. 4, 2021","Jan. 4, 2021",Run,523,5.204296627200001,2262,7.244007496222062,4.134361578382247,8.28268201728,14.512517015039998,,5997,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5274166423
"Jan. 3, 2021","Jan. 3, 2021",Run,858,8.778923239680001,3432,6.515574047562236,2.6965832040881255,9.208666368,22.2503073408,,9198,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5262711940
"Dec. 30, 2020","Dec. 30, 2020",Run,1089,11.24097815808,4303,6.379928716296827,2.6314324345820412,9.404491345919999,22.8013467264,,11559,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5224936927
"Dec. 28, 2020","Dec. 28, 2020",Run,787,8.01884616192,3171,6.59069782470373,3.611695200031814,9.10370495232,16.6126143744,,8488,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5219106868
"Dec. 24, 2020","Dec. 24, 2020",Run,521,5.258885575680001,2127,6.740945378986717,2.8717104609082957,8.9007988608,20.8934694144,,5680,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5192409808
"Dec. 21, 2020","Dec. 21, 2020",Run,515,5.30264363904,2044,6.424481030780243,4.289480682812376,9.33929682048,13.98770993664,,5486,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5175561442
"Dec. 17, 2020","Dec. 17, 2020",Run,492,5.2336349683200005,2025,6.448652370158276,2.7712720213950526,9.30422921472,21.650665766399996,,5433,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5151349000
"Dec. 11, 2020","Dec. 11, 2020",Run,496,5.25457253376,2058,6.527628648691641,3.558033583870198,9.191671695359998,16.8631892352,,5514,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5112440656
"Dec. 2, 2020","Dec. 2, 2020",Gym Workout,135,0,1522,0,0,0,0,0,0,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5060812306
"Dec. 1, 2020","Dec. 1, 2020",Run,488,5.14730975616,2037,6.595668794241628,4.252844637318062,9.096865240319998,14.108201521919998,,5452,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5055443989
"Nov. 30, 2020","Nov. 30, 2020",Gym Workout,273,0,3071,0,0,0,0,0,0,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5051353261
"Nov. 29, 2020","Nov. 29, 2020",Run,722,7.808730209280001,2892,6.17258336315915,3.6286524198679713,9.720405573119999,16.5350439936,,7797,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5045463736
"Nov. 29, 2020","Nov. 28, 2020",Run,493,5.22322251264,2043,6.518929452000317,4.164572645748827,9.203918803199999,14.407249823999997,,5475,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5045113504
"Nov. 25, 2020","Nov. 25, 2020",Run,747,7.940680323840001,3075,6.454120436649965,2.706332518094329,9.29640780288,22.1701620096,,8250,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5023686943
"Nov. 24, 2020","Nov. 24, 2020",Gym Workout,211,0,2380,0,0,0,0,0,0,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5018758267
"Nov. 23, 2020","Nov. 23, 2020",Run,502,5.217976051200001,2137,6.8257625467271135,4.461631571621729,8.79022083456,13.448000332799998,,5699,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5012938051
"Nov. 19, 2020","Nov. 19, 2020",Gym Workout,316,0,3562,0,0,0,0,0,0,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4986208630
"Nov. 18, 2020","Nov. 18, 2020",Run,489,5.246879869440001,1983,6.298964049948301,4.193056301200986,9.525353080319999,14.309369521919999,,5334,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4978678375
"Nov. 18, 2020","Oct. 26, 2020",Class Workout,204,0,1482,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978430281
"Nov. 18, 2020","Oct. 25, 2020",Run,471,5.666999120640001,2040,5.999643332935656,2.2291380835918235,10.00059236352,26.9162784,,5518,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978430386
"Nov. 18, 2020","Oct. 21, 2020",Run,1114,13.36122450432,4862,6.064812743577507,1.808277161377555,9.89313646464,33.18064992,,13135,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978430497
"Nov. 18, 2020","Oct. 19, 2020",Run,920,11.12948280576,3923,5.874785005567485,2.805441223256184,10.213138425599999,21.3870552192,,10637,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978430626
"Nov. 18, 2020","Oct. 18, 2020",Class Workout,494,0,3586,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978430752
"Nov. 18, 2020","Oct. 17, 2020",Run,687,8.35336440576,2887,5.760154448023543,2.4484013361966115,10.41638247936,24.505802956799997,,7847,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978430917
"Nov. 18, 2020","Oct. 15, 2020",Run,409,4.898971883520001,1794,6.103331543784299,3.150016404199475,9.83069391744,19.047551846399998,,4843,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431055
"Nov. 18, 2020","Oct. 14, 2020",Run,923,11.172404010240001,3922,5.850725513004056,2.0358916428060128,10.255142304,29.471111999999998,,10640,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431199
