com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
14,4a29b22d-0cad-49e9-b01f-4a1ebc5b6226.binning_data.json,7522,6000,0,2020-12-18 18:55:21.096,com.sec.android.app.shealth,2020-12-18 18:36:59.730,4a29b22d-0cad-49e9-b01f-4a1ebc5b6226.source_info.json,1.4026182,10.55189,0.49654996,14,VfS0qUERdZ,com.sec.android.app.shealth,0,4a29b22d-0cad-49e9-b01f-4a1ebc5b6226.achievement.json,4a29b22d-0cad-49e9-b01f-4a1ebc5b6226,1608249600000,
14,c8a57179-fca0-4211-add8-4eaac52772c9.binning_data.json,7522,6000,0,2020-12-18 23:00:02.127,com.sec.android.app.shealth,2020-12-18 23:00:02.127,,1.4026182,10.55189,0.49654996,14,1HYa19KYyA,com.sec.android.app.shealth,0,c8a57179-fca0-4211-add8-4eaac52772c9.achievement.json,c8a57179-fca0-4211-add8-4eaac52772c9,1608249600000,
2400,292f2fab-a366-4205-8332-2dae7926503f.binning_data.json,1355776,6000,0,2020-12-21 23:00:01.480,com.sec.android.app.shealth,2020-12-21 23:00:01.480,,1.3413368,1818.5525,84.44949,2400,1HYa19KYyA,com.sec.android.app.shealth,0,292f2fab-a366-4205-8332-2dae7926503f.achievement.json,292f2fab-a366-4205-8332-2dae7926503f,1608508800000,
2400,61650ebc-f178-4da7-933f-608d74fac09e.binning_data.json,1355776,6000,0,2020-12-21 15:41:04.616,com.sec.android.app.shealth,2020-12-21 10:30:41.452,61650ebc-f178-4da7-933f-608d74fac09e.source_info.json,1.3413368,1818.5525,84.44949,2400,VfS0qUERdZ,com.sec.android.app.shealth,0,61650ebc-f178-4da7-933f-608d74fac09e.achievement.json,61650ebc-f178-4da7-933f-608d74fac09e,1608508800000,
4235,d1e3565f-9a0b-4661-83ad-526bf58c2e49.binning_data.json,2357401,6000,0,2020-12-24 22:34:42.779,com.sec.android.app.shealth,2020-12-24 09:45:02.755,d1e3565f-9a0b-4661-83ad-526bf58c2e49.source_info.json,1.3599626,3205.9778,149.02519,4235,VfS0qUERdZ,com.sec.android.app.shealth,0,d1e3565f-9a0b-4661-83ad-526bf58c2e49.achievement.json,d1e3565f-9a0b-4661-83ad-526bf58c2e49,1608768000000,
4235,e53345a9-8aea-4d1a-b64c-bdabf744a12f.binning_data.json,2357401,6000,0,2020-12-24 23:00:03.422,com.sec.android.app.shealth,2020-12-24 23:00:03.422,,1.3599626,3205.9778,149.02519,4235,1HYa19KYyA,com.sec.android.app.shealth,0,e53345a9-8aea-4d1a-b64c-bdabf744a12f.achievement.json,e53345a9-8aea-4d1a-b64c-bdabf744a12f,1608768000000,
5168,c9722818-1416-4702-84b6-36a459f1c3c1.binning_data.json,3173509,6000,0,2020-12-27 20:42:48.409,com.sec.android.app.shealth,2020-12-27 08:32:33.516,c9722818-1416-4702-84b6-36a459f1c3c1.source_info.json,1.2045403,3822.6194,184.5462,5168,VfS0qUERdZ,com.sec.android.app.shealth,0,c9722818-1416-4702-84b6-36a459f1c3c1.achievement.json,c9722818-1416-4702-84b6-36a459f1c3c1,1609027200000,
9407,a0a49a9f-fa6a-41f2-8925-26389b632d18.binning_data.json,5257895,6000,6,2020-12-19 23:00:03.509,com.sec.android.app.shealth,2020-12-19 23:00:03.509,,1.3572627,7136.347,331.61624,9401,1HYa19KYyA,com.sec.android.app.shealth,0,a0a49a9f-fa6a-41f2-8925-26389b632d18.achievement.json,a0a49a9f-fa6a-41f2-8925-26389b632d18,1608336000000,
9407,af92102c-bf85-4dbf-a947-0ef7770580bc.binning_data.json,5257895,6000,6,2020-12-19 23:00:05.550,com.sec.android.app.shealth,2020-12-19 07:19:52.195,af92102c-bf85-4dbf-a947-0ef7770580bc.source_info.json,1.3572627,7136.347,331.61624,9401,VfS0qUERdZ,com.sec.android.app.shealth,0,af92102c-bf85-4dbf-a947-0ef7770580bc.achievement.json,af92102c-bf85-4dbf-a947-0ef7770580bc,1608336000000,
5168,6c29647d-04c9-40f4-a952-ede1cce7b577.binning_data.json,3173509,6000,0,2020-12-27 23:00:02.413,com.sec.android.app.shealth,2020-12-27 23:00:02.413,,1.2045403,3822.6194,184.5462,5168,1HYa19KYyA,com.sec.android.app.shealth,0,6c29647d-04c9-40f4-a952-ede1cce7b577.achievement.json,6c29647d-04c9-40f4-a952-ede1cce7b577,1609027200000,
