Username,Vidname,Hours,Minutes,Seconds,Total
Dominika,Dom z papieru,167,15,43,602143
Dominika,The 100,70,12,57,252777
Dominika,Lucyfer,65,22,48,235368
Dominika,Uwięzione,45,55,34,165334
Dominika,Przyjaciele,39,25,58,141958
Dominika,Dynastia,29,34,59,106499
Dominika,Jeźdźcy smoków,28,41,30,103290
Dominika,Dark,23,21,18,84078
Dominika,Sex Education,20,4,44,72284
Dominika,Orange Is the New Black,19,43,17,70997
Dominika,Good Girls,18,53,13,67993
Dominika,Wiedźmin,18,29,5,66545
Dominika,Zagubieni w kosmosie,18,16,36,65796
Dominika,"Ania, nie Anna",17,31,25,63085
Dominika,Peaky Blinders,15,59,16,57556
Dominika,Ostatni taniec,15,19,47,55187
Dominika,Flash,14,18,46,51526
Dominika,Czarne lustro,13,57,10,50230
Dominika,Ty,13,37,33,49053
Dominika,365 dni,13,37,21,49041
Dominika,W głębi lasu,13,14,9,47649
Dominika,Gambit królowej,12,3,13,43393
Dominika,Tiny Pretty Things,11,49,28,42568
Dominika,Spinning Out,10,55,34,39334
Dominika,Mroczne pożądanie,10,4,13,36253
Dominika,Bridgertonowie,9,24,42,33882
Dominika,Kingdom,8,52,25,31945
Dominika,The Umbrella Academy,8,41,3,31263
Dominika,Outer Banks,7,49,53,28193
Dominika,Kobiety Mafii,7,48,26,28106
Dominika,Too Hot to Handle,7,36,40,27400
Dominika,The End of the F***ing World,7,28,10,26890
Dominika,Klub Winx,7,27,42,26862
Dominika,House of Cards,7,11,45,25905
Dominika,V Wars,6,41,58,24118
Dominika,Shadowhunters,6,25,43,23143
Dominika,Blue Exorcist,6,21,10,22870
Dominika,Nowość,6,13,29,22409
Dominika,Well-Intended Love,5,45,8,20708
Dominika,Rozłąka,5,39,36,20376
Dominika,"Dawno, dawno temu",5,17,22,19042
Dominika,Sherlock,5,11,19,18679
Dominika,Dwóch papieży,4,60,18,18018
Dominika,Władca Pierścieni,4,35,57,16557
Dominika,To nie jest kraj dla starych ludzi,4,34,32,16472
Dominika,Teen Wolf - Nastoletni Wilkołak,4,32,9,16329
Dominika,Dzieciak rządzi,4,31,33,16293
Dominika,Emily w Paryżu,4,24,44,15884
Dominika,Botoks,4,20,49,15649
Dominika,Good Morning Call,4,15,4,15304
Dominika,Harry Potter i Insygnia Śmierci,4,14,34,15274
Dominika,Przeklęta,4,13,36,15216
Dominika,1983,4,5,20,14720
Dominika,Zabójcze maszyny,3,57,42,14262
Dominika,HIDDEN TITLE(user hid title at this time),3,53,32,14012
Dominika,Ostatnia rodzina,3,51,42,13902
Dominika,Pitbull Ostatni Pies,3,49,37,13777
Dominika,Nowe oblicze Greya,3,49,11,13751
Dominika,Marco Polo,3,47,25,13645
Dominika,Warrior Nun,3,45,9,13509
Dominika,Niebo o północy,3,43,52,13432
Dominika,The Crown,3,41,27,13287
Dominika,Rojst,3,39,56,13196
Dominika,"Ciemno, prawie noc",3,39,54,13194
Dominika,Stranger Things,3,39,31,13171
Dominika,Bez litości 2,3,33,15,12795
