Username,Vidname,Hours,Minutes,Seconds,Total
Paweł,Suits,72,10,6,259806
Paweł,Arrow,59,38,56,214736
Paweł,House of Cards,58,11,49,209509
Paweł,The Crown,57,13,1,205981
Paweł,BoJack Horseman,56,52,13,204733
Paweł,Ozark,45,25,57,163557
Paweł,Homeland,45,2,8,162128
Paweł,Narcos,43,49,11,157751
Paweł,Vikings,42,20,44,152444
Paweł,Designated Survivor,39,2,50,140570
Paweł,Rick and Morty,33,59,2,122342
Paweł,Black Sails,33,40,23,121223
Paweł,Stranger Things,33,32,11,120731
Paweł,Spartacus,31,49,9,114549
Paweł,Money Heist,30,28,58,109738
Paweł,Peaky Blinders,29,52,18,107538
Paweł,Black Mirror,23,6,29,83189
Paweł,Marvel's The Punisher,20,2,57,72177
Paweł,MINDHUNTER,16,27,7,59227
Paweł,Gotham,15,13,41,54821
Paweł,Sherlock,13,32,13,48733
Paweł,Luther,12,40,32,45632
Paweł,The Blacklist,12,34,14,45254
Paweł,Formula 1,11,51,21,42681
Paweł,Frontier,9,45,12,35112
Paweł,The Lord of the Rings,9,23,15,33795
Paweł,Transformers,9,20,30,33630
Paweł,Dark,9,9,52,32992
Paweł,Sunderland 'Til I Die,8,59,29,32369
Paweł,The Last Dance,8,36,60,31020
Paweł,Hitler's Circle of Evil,8,36,53,31013
Paweł,Altered Carbon,8,24,11,30251
Paweł,13 Reasons Why,8,10,34,29434
Paweł,Dexter,8,4,57,29097
Paweł,Troy,7,43,45,27825
Paweł,The Witcher,7,36,4,27364
Paweł,1983,6,55,24,24924
Paweł,Caliphate,6,7,22,22042
Paweł,Life,5,16,60,19020
Paweł,Our Planet,5,8,55,18535
Paweł,Criminal,4,34,39,16479
Paweł,The Woods,4,22,8,15728
Paweł,Sherlock Holmes,4,2,42,14562
Paweł,The Devil Next Door,3,54,10,14050
Paweł,Kill Bill,3,49,32,13772
Paweł,Moonlight,3,39,4,13144
Paweł,Trump,3,37,43,13063
Paweł,The Irishman,3,19,14,11954
Paweł,The Playbook,3,18,51,11931
Paweł,Jeffrey Epstein,3,17,6,11826
Paweł,Suburra,3,10,22,11422
Paweł,The Legend of Hercules,2,60,30,10830
Paweł,Challenger,2,49,54,10194
Paweł,The Queen's Gambit,2,47,16,10036
Paweł,Making a Murderer,2,40,49,9649
Paweł,The Dark Knight Rises,2,37,10,9430
Paweł,The Dark Knight,2,24,42,8682
Paweł,Elite,2,23,49,8629
Paweł,Star Wars,2,23,37,8617
Paweł,Explained,2,14,48,8088
Paweł,The Great Gatsby,2,13,27,8007
Paweł,Inside the Real Narcos,2,13,9,7989
Paweł,Margin Call,2,11,48,7908
Paweł,Batman Begins,2,11,5,7865
Paweł,Rogue One,2,5,45,7545
Paweł,The Highwaymen,2,5,17,7517
Paweł,Beyond Stranger Things,2,5,12,7512
Paweł,The Big Short,2,4,7,7447
Paweł,Pacific Rim,2,2,49,7369
Paweł,Good Will Hunting,2,2,40,7360
Paweł,Indiana Jones and the Last Crusade,2,0,49,7249
Paweł,The Trial of the Chicago 7,1,60,41,7241
Paweł,Snowpiercer,1,58,46,7126
Paweł,The Notebook,1,58,30,7110
Paweł,Orange Is the New Black,1,56,54,7014
Paweł,Silver Linings Playbook,1,56,16,6976
Paweł,Too Hot to Handle,1,54,6,6846
Paweł,The Incredibles,1,52,26,6746
Paweł,Bright,1,52,10,6730
Paweł,The Imitation Game,1,49,40,6580
Paweł,Look Who's Back,1,48,52,6532
Paweł,Ant-Man,1,47,40,6460
Paweł,Charlie and the Chocolate Factory,1,47,25,6445
Paweł,Better Call Saul,1,47,6,6426
