"","time_usec","domain","count"
"1",2020-01-17,"stackoverflow.com",0
"2",2020-01-17,"wikipedia.org",1
"3",2020-01-17,"github.com",0
"4",2020-01-17,"pw.edu.pl",0
"5",2020-01-17,"youtube.com",0
"6",2020-01-17,"google.com",7
"7",2020-01-17,"facebook.com",0
"8",2020-01-17,"instagram.com",0
"9",2020-01-18,"stackoverflow.com",0
"10",2020-01-18,"wikipedia.org",0
"11",2020-01-18,"github.com",0
"12",2020-01-18,"pw.edu.pl",0
"13",2020-01-18,"youtube.com",0
"14",2020-01-18,"google.com",33
"15",2020-01-18,"facebook.com",0
"16",2020-01-18,"instagram.com",0
"17",2020-01-19,"stackoverflow.com",0
"18",2020-01-19,"wikipedia.org",0
"19",2020-01-19,"github.com",0
"20",2020-01-19,"pw.edu.pl",0
"21",2020-01-19,"youtube.com",1
"22",2020-01-19,"google.com",35
"23",2020-01-19,"facebook.com",10
"24",2020-01-19,"instagram.com",0
"25",2020-01-20,"stackoverflow.com",0
"26",2020-01-20,"wikipedia.org",1
"27",2020-01-20,"github.com",0
"28",2020-01-20,"pw.edu.pl",0
"29",2020-01-20,"youtube.com",3
"30",2020-01-20,"google.com",57
"31",2020-01-20,"facebook.com",11
"32",2020-01-20,"instagram.com",0
"33",2020-01-21,"stackoverflow.com",0
"34",2020-01-21,"wikipedia.org",0
"35",2020-01-21,"github.com",0
"36",2020-01-21,"pw.edu.pl",0
"37",2020-01-21,"youtube.com",0
"38",2020-01-21,"google.com",60
"39",2020-01-21,"facebook.com",8
"40",2020-01-21,"instagram.com",0
"41",2020-01-22,"stackoverflow.com",0
"42",2020-01-22,"wikipedia.org",1
"43",2020-01-22,"github.com",0
"44",2020-01-22,"pw.edu.pl",2
"45",2020-01-22,"youtube.com",8
"46",2020-01-22,"google.com",125
"47",2020-01-22,"facebook.com",18
"48",2020-01-22,"instagram.com",0
"49",2020-01-23,"stackoverflow.com",0
"50",2020-01-23,"wikipedia.org",2
"51",2020-01-23,"github.com",0
"52",2020-01-23,"pw.edu.pl",0
"53",2020-01-23,"youtube.com",12
"54",2020-01-23,"google.com",60
"55",2020-01-23,"facebook.com",0
"56",2020-01-23,"instagram.com",0
"57",2020-01-24,"stackoverflow.com",0
"58",2020-01-24,"wikipedia.org",0
"59",2020-01-24,"github.com",0
"60",2020-01-24,"pw.edu.pl",0
"61",2020-01-24,"youtube.com",0
"62",2020-01-24,"google.com",14
"63",2020-01-24,"facebook.com",0
"64",2020-01-24,"instagram.com",0
"65",2020-01-25,"stackoverflow.com",0
"66",2020-01-25,"wikipedia.org",0
"67",2020-01-25,"github.com",0
