"","time_usec","domain","count"
"1",2019-12-21,"stackoverflow.com",0
"2",2019-12-21,"wikipedia.org",10
"3",2019-12-21,"github.com",0
"4",2019-12-21,"pw.edu.pl",7
"5",2019-12-21,"youtube.com",108
"6",2019-12-21,"google.com",57
"7",2019-12-21,"facebook.com",2
"8",2019-12-21,"instagram.com",0
"9",2019-12-22,"stackoverflow.com",0
"10",2019-12-22,"wikipedia.org",3
"11",2019-12-22,"github.com",0
"12",2019-12-22,"pw.edu.pl",0
"13",2019-12-22,"youtube.com",67
"14",2019-12-22,"google.com",47
"15",2019-12-22,"facebook.com",27
"16",2019-12-22,"instagram.com",0
"17",2019-12-23,"stackoverflow.com",0
"18",2019-12-23,"wikipedia.org",2
"19",2019-12-23,"github.com",0
"20",2019-12-23,"pw.edu.pl",0
"21",2019-12-23,"youtube.com",91
"22",2019-12-23,"google.com",57
"23",2019-12-23,"facebook.com",9
"24",2019-12-23,"instagram.com",0
"25",2019-12-24,"stackoverflow.com",0
"26",2019-12-24,"wikipedia.org",1
"27",2019-12-24,"github.com",0
"28",2019-12-24,"pw.edu.pl",2
"29",2019-12-24,"youtube.com",115
"30",2019-12-24,"google.com",66
"31",2019-12-24,"facebook.com",2
"32",2019-12-24,"instagram.com",0
"33",2019-12-25,"stackoverflow.com",0
"34",2019-12-25,"wikipedia.org",17
"35",2019-12-25,"github.com",0
"36",2019-12-25,"pw.edu.pl",0
"37",2019-12-25,"youtube.com",145
"38",2019-12-25,"google.com",114
"39",2019-12-25,"facebook.com",19
"40",2019-12-25,"instagram.com",0
"41",2019-12-26,"stackoverflow.com",0
"42",2019-12-26,"wikipedia.org",5
"43",2019-12-26,"github.com",0
"44",2019-12-26,"pw.edu.pl",15
"45",2019-12-26,"youtube.com",146
"46",2019-12-26,"google.com",106
"47",2019-12-26,"facebook.com",18
"48",2019-12-26,"instagram.com",0
"49",2019-12-27,"stackoverflow.com",0
"50",2019-12-27,"wikipedia.org",7
"51",2019-12-27,"github.com",20
"52",2019-12-27,"pw.edu.pl",43
"53",2019-12-27,"youtube.com",115
"54",2019-12-27,"google.com",126
"55",2019-12-27,"facebook.com",21
"56",2019-12-27,"instagram.com",0
"57",2019-12-28,"stackoverflow.com",0
"58",2019-12-28,"wikipedia.org",5
"59",2019-12-28,"github.com",0
"60",2019-12-28,"pw.edu.pl",5
"61",2019-12-28,"youtube.com",111
"62",2019-12-28,"google.com",169
"63",2019-12-28,"facebook.com",2
"64",2019-12-28,"instagram.com",0
"65",2019-12-29,"stackoverflow.com",0
"66",2019-12-29,"wikipedia.org",10
"67",2019-12-29,"github.com",0
"68",2019-12-29,"pw.edu.pl",13
"69",2019-12-29,"youtube.com",69
"70",2019-12-29,"google.com",106
"71",2019-12-29,"facebook.com",28
"72",2019-12-29,"instagram.com",0
"73",2019-12-30,"stackoverflow.com",1
"74",2019-12-30,"wikipedia.org",6
"75",2019-12-30,"github.com",0
"76",2019-12-30,"pw.edu.pl",4
"77",2019-12-30,"youtube.com",97
"78",2019-12-30,"google.com",100
"79",2019-12-30,"facebook.com",10
"80",2019-12-30,"instagram.com",0
"81",2019-12-31,"stackoverflow.com",0
"82",2019-12-31,"wikipedia.org",3
"83",2019-12-31,"github.com",0
"84",2019-12-31,"pw.edu.pl",9
"85",2019-12-31,"youtube.com",38
"86",2019-12-31,"google.com",105
"87",2019-12-31,"facebook.com",21
"88",2019-12-31,"instagram.com",0
"89",2020-01-01,"stackoverflow.com",0
"90",2020-01-01,"wikipedia.org",4
