"","time_usec","domain","count"
"1",2019-12-16,"stackoverflow.com",8
"2",2019-12-16,"wikipedia.org",6
"3",2019-12-16,"github.com",3
"4",2019-12-16,"pw.edu.pl",3
"5",2019-12-16,"youtube.com",1
"6",2019-12-16,"google.com",33
"7",2019-12-16,"facebook.com",7
"8",2019-12-16,"instagram.com",0
"9",2019-12-17,"stackoverflow.com",0
"10",2019-12-17,"wikipedia.org",5
"11",2019-12-17,"github.com",0
"12",2019-12-17,"pw.edu.pl",16
"13",2019-12-17,"youtube.com",0
"14",2019-12-17,"google.com",19
"15",2019-12-17,"facebook.com",0
"16",2019-12-17,"instagram.com",0
"17",2019-12-18,"stackoverflow.com",0
"18",2019-12-18,"wikipedia.org",0
"19",2019-12-18,"github.com",0
"20",2019-12-18,"pw.edu.pl",5
"21",2019-12-18,"youtube.com",15
"22",2019-12-18,"google.com",20
"23",2019-12-18,"facebook.com",0
"24",2019-12-18,"instagram.com",0
"25",2019-12-19,"stackoverflow.com",5
"26",2019-12-19,"wikipedia.org",2
"27",2019-12-19,"github.com",0
"28",2019-12-19,"pw.edu.pl",1
"29",2019-12-19,"youtube.com",24
"30",2019-12-19,"google.com",97
"31",2019-12-19,"facebook.com",6
"32",2019-12-19,"instagram.com",0
"33",2019-12-20,"stackoverflow.com",0
"34",2019-12-20,"wikipedia.org",0
"35",2019-12-20,"github.com",0
"36",2019-12-20,"pw.edu.pl",0
"37",2019-12-20,"youtube.com",28
"38",2019-12-20,"google.com",1
"39",2019-12-20,"facebook.com",0
"40",2019-12-20,"instagram.com",0
"41",2019-12-21,"stackoverflow.com",0
"42",2019-12-21,"wikipedia.org",0
"43",2019-12-21,"github.com",0
"44",2019-12-21,"pw.edu.pl",0
"45",2019-12-21,"youtube.com",21
"46",2019-12-21,"google.com",215
"47",2019-12-21,"facebook.com",30
"48",2019-12-21,"instagram.com",14
"49",2019-12-22,"stackoverflow.com",1
"50",2019-12-22,"wikipedia.org",0
"51",2019-12-22,"github.com",0
"52",2019-12-22,"pw.edu.pl",0
"53",2019-12-22,"youtube.com",48
"54",2019-12-22,"google.com",18
"55",2019-12-22,"facebook.com",7
"56",2019-12-22,"instagram.com",0
"57",2019-12-23,"stackoverflow.com",0
"58",2019-12-23,"wikipedia.org",0
"59",2019-12-23,"github.com",0
"60",2019-12-23,"pw.edu.pl",0
"61",2019-12-23,"youtube.com",40
"62",2019-12-23,"google.com",16
"63",2019-12-23,"facebook.com",14
"64",2019-12-23,"instagram.com",0
"65",2019-12-24,"stackoverflow.com",0
"66",2019-12-24,"wikipedia.org",5
"67",2019-12-24,"github.com",0
"68",2019-12-24,"pw.edu.pl",0
"69",2019-12-24,"youtube.com",40
"70",2019-12-24,"google.com",5
"71",2019-12-24,"facebook.com",11
"72",2019-12-24,"instagram.com",0
"73",2019-12-25,"stackoverflow.com",0
"74",2019-12-25,"wikipedia.org",0
"75",2019-12-25,"github.com",0
"76",2019-12-25,"pw.edu.pl",0
"77",2019-12-25,"youtube.com",6
"78",2019-12-25,"google.com",1
"79",2019-12-25,"facebook.com",8
"80",2019-12-25,"instagram.com",0
"81",2019-12-26,"stackoverflow.com",0
"82",2019-12-26,"wikipedia.org",0
"83",2019-12-26,"github.com",0
"84",2019-12-26,"pw.edu.pl",0
"85",2019-12-26,"youtube.com",2
"86",2019-12-26,"google.com",3
"87",2019-12-26,"facebook.com",7
"88",2019-12-26,"instagram.com",0
"89",2019-12-27,"stackoverflow.com",0
"90",2019-12-27,"wikipedia.org",0
"91",2019-12-27,"github.com",0
"92",2019-12-27,"pw.edu.pl",0
"93",2019-12-27,"youtube.com",34
"94",2019-12-27,"google.com",5
"95",2019-12-27,"facebook.com",2
"96",2019-12-27,"instagram.com",0
"97",2019-12-28,"stackoverflow.com",0
"98",2019-12-28,"wikipedia.org",0
"99",2019-12-28,"github.com",0
"100",2019-12-28,"pw.edu.pl",0
"101",2019-12-28,"youtube.com",68
"102",2019-12-28,"google.com",3
"103",2019-12-28,"facebook.com",3
"104",2019-12-28,"instagram.com",0
"105",2019-12-29,"stackoverflow.com",0
