"","allGenresTomek","Freq"
"55","polish pop",9
"50","polish alternative",8
"31","indie poptimism",6
"49","otacore",5
"18","electropop",4
"30","indie electropop",4
"75","vapor soul",4
"8","bass trap",3
"38","k-pop girl group",3
"44","modern alternative rock",3
"45","modern rock",3
"53","polish hip hop",3
"54","polish indie",3
"58","polish trap",3
"59","pop",3
"60","pop dance",3
"13","dance pop",2
"32","indietronica",2
"37","k-pop",2
"61","pop edm",2
"64","power metal",2
"66","rock",2
"72","traprun",2
"76","vapor twitch",2
"1","alternative dance",1
"2","alternative metal",1
"3","anime",1
"4","anime latino",1
"5","anime rock",1
"6","anime score",1
"7","art pop",1
"9","bow pop",1
"10","canadian electropop",1
"11","chillwave",1
"12","classic polish pop",1
"14","deep house",1
"15","disco polo",1
"16","electro house",1
"17","electro swing",1
"19","escape room",1
"20","etherpop",1
"21","gaming edm",1
"22","gauze pop",1
"23","german metal",1
"24","german pop",1
"25","gothic symphonic metal",1
"26","grave wave",1
"27","house",1
"28","hyperpop",1
"29","indian edm",1
"33","industrial",1
"34","industrial metal",1
"35","industrial rock",1
"36","j-poprock",1
"39","la pop",1
"40","lithuanian electronic",1
"41","medieval folk",1
"42","metal",1
"43","metropopolis",1
"46","neue deutsche harte",1
"47","nu jazz",1
"48","nu metal",1
"51","polish alternative rock",1
"52","polish folk",1
"56","polish reggae",1
"57","polish synthpop",1
"62","pop violin",1
"63","post-teen pop",1
"65","rebel blues",1
"67","shiver pop",1
"68","solipsynthm",1
"69","swedish metal",1
"70","swedish power metal",1
"71","talent show",1
"73","tropical house",1
"74","vapor pop",1
"77","video game music",1
