day,date,watched,opened,count,ratio
3572020,2020-12-22,4530718,32602000,4,0.13897055395374516
3582020,2020-12-23,2488673,8985000,7,0.276980856983862
3592020,2020-12-24,5064053,12267000,2,0.4128191896959322
3602020,2020-12-25,1235296,1844000,1,0.6699002169197397
3612020,2020-12-26,8417564,5134000,5,1
3622020,2020-12-27,18072630,14009000,16,1
3632020,2020-12-28,528338,1050000,1,0.5031790476190476
3642020,2020-12-29,1321988,2509000,3,0.5268983658828218
3652020,2020-12-30,0,0,0,0
3662020,2020-12-31,0,0,0,0
12021,2021-01-01,6294099,7883000,8,0.7984395534694914
22021,2021-01-02,11314756,16065000,17,0.704310986616869
32021,2021-01-03,3227651,7892000,5,0.408977572225038
42021,2021-01-04,0,0,0,0
52021,2021-01-05,122329,715000,1,0.1710895104895105
62021,2021-01-06,685701,933000,1,0.7349421221864951
72021,2021-01-07,0,0,0,0
82021,2021-01-08,659594,820000,1,0.8043829268292683
92021,2021-01-09,978322,1649000,2,0.5932819890842935
102021,2021-01-10,7324401,14465000,14,0.5063533356377463
112021,2021-01-11,6318552,11243000,8,0.5619987547807525
122021,2021-01-12,329146,12631000,3,0.02605858601852585
132021,2021-01-13,9011682,14116000,10,0.6384019552281099
142021,2021-01-14,11892787,35651000,25,0.33358915598440436
152021,2021-01-15,11388644,20045000,14,0.5681538538288851
