"","date","pos","artistName","no","color"
"1",2020-01-01,1,"   Rau Performance",3,"#FFFFB3"
"2",2020-01-01,2,"          100 gecs",1,"#FDB462"
"3",2020-01-01,3,"      Kaz Ba豉gane",1,"#B3DE69"
"4",2020-01-01,4,"            Masego",1,"#BEBADA"
"5",2020-01-01,5,NA,NA,NA
"6",2020-01-01,6,NA,NA,NA
"7",2020-01-01,7,NA,NA,NA
"8",2020-01-01,8,NA,NA,NA
"9",2020-01-01,9,NA,NA,NA
"10",2020-01-01,10,NA,NA,NA
"11",2020-01-02,1,"         clipping.",15,"#D9D9D9"
"12",2020-01-02,2,"    Dorian Electra",14,"#FB8072"
"13",2020-01-02,3,"       Oliver Tree",5,"#80B1D3"
"14",2020-01-02,4,"        Kanye West",4,"#FFED6F"
"15",2020-01-02,5,"            Masego",4,"#BEBADA"
"16",2020-01-02,6,"           PRO8L3M",4,"#FDB462"
"17",2020-01-02,7,"     John Williams",3,"#FCCDE5"
"18",2020-01-02,8,"      Kaz Ba豉gane",3,"#B3DE69"
"19",2020-01-02,9,"   Rau Performance",3,"#FFFFB3"
"20",2020-01-02,10,"     TUZZA Globale",3,"#BC80BD"
"21",2020-01-03,1,"         clipping.",20,"#D9D9D9"
"22",2020-01-03,2,"    Dorian Electra",17,"#FB8072"
"23",2020-01-03,3,"       Oliver Tree",5,"#80B1D3"
"24",2020-01-03,4,"        Kanye West",4,"#FFED6F"
"25",2020-01-03,5,"            Masego",4,"#BEBADA"
"26",2020-01-03,6,"           PRO8L3M",4,"#FDB462"
"27",2020-01-03,7,"     John Williams",3,"#FCCDE5"
"28",2020-01-03,8,"      Kaz Ba豉gane",3,"#B3DE69"
"29",2020-01-03,9,"   Rau Performance",3,"#FFFFB3"
"30",2020-01-03,10,"     TUZZA Globale",3,"#BC80BD"
"31",2020-01-04,1,"         clipping.",20,"#D9D9D9"
"32",2020-01-04,2,"    Dorian Electra",18,"#FB8072"
"33",2020-01-04,3,"       Oliver Tree",5,"#80B1D3"
"34",2020-01-04,4,"        Kanye West",4,"#FFED6F"
"35",2020-01-04,5,"            Masego",4,"#BEBADA"
"36",2020-01-04,6,"           PRO8L3M",4,"#FDB462"
"37",2020-01-04,7,"      The National",4,"#FFFFB3"
"38",2020-01-04,8,"     John Williams",3,"#FCCDE5"
"39",2020-01-04,9,"      Kaz Ba豉gane",3,"#B3DE69"
"40",2020-01-04,10,"   Rau Performance",3,"#FFFFB3"
"41",2020-01-05,1,"         clipping.",23,"#D9D9D9"
"42",2020-01-05,2,"    Dorian Electra",21,"#FB8072"
"43",2020-01-05,3,"       Oliver Tree",5,"#80B1D3"
"44",2020-01-05,4,"        Kanye West",4,"#FFED6F"
"45",2020-01-05,5,"            Masego",4,"#BEBADA"
"46",2020-01-05,6,"           PRO8L3M",4,"#FDB462"
"47",2020-01-05,7,"      The National",4,"#FFFFB3"
"48",2020-01-05,8,"     John Williams",3,"#FCCDE5"
"49",2020-01-05,9,"      Kaz Ba豉gane",3,"#B3DE69"
"50",2020-01-05,10,"   Rau Performance",3,"#FFFFB3"
"51",2020-01-06,1,"         clipping.",23,"#D9D9D9"
