"","artistName","endTime"
"1","  Michael Kiwanuka",2019-11-23
"2","      The National",2019-12-11
"3","     Billie Eilish",2019-12-16
"4","            Bedoes",2019-12-17
"5","            Bedoes",2019-12-17
"6","       Oliver Tree",2019-12-17
"7","       Oliver Tree",2019-12-17
"8","  Michael Kiwanuka",2019-12-17
"9","  Michael Kiwanuka",2019-12-17
"10","             Coals",2019-12-17
"11","             Coals",2019-12-17
"12","             Coals",2019-12-17
"13","     Lingua Ignota",2019-12-17
"14","     Lingua Ignota",2019-12-17
"15","     Lingua Ignota",2019-12-17
"16","     Lingua Ignota",2019-12-17
"17","     Lingua Ignota",2019-12-17
"18","     Lingua Ignota",2019-12-17
"19","     Lingua Ignota",2019-12-17
"20","       Oliver Tree",2019-12-17
"21","       Oliver Tree",2019-12-17
"22","       Oliver Tree",2019-12-17
"23","       Oliver Tree",2019-12-17
"24","       Oliver Tree",2019-12-17
"25","       Oliver Tree",2019-12-17
"26","        Rich Brian",2019-12-17
"27","        Rich Brian",2019-12-17
"28","        Rich Brian",2019-12-17
"29","      Kaz Ba³agane",2019-12-18
"30","      Kaz Ba³agane",2019-12-18
"31","      Kaz Ba³agane",2019-12-18
"32","       Oliver Tree",2019-12-18
"33","       Oliver Tree",2019-12-18
"34","       Oliver Tree",2019-12-18
"35","           Jetlagz",2019-12-18
"36","           Jetlagz",2019-12-18
"37","   Dawid Podsiad³o",2019-12-18
"38","          88rising",2019-12-18
"39","          88rising",2019-12-18
"40","          88rising",2019-12-18
"41","          88rising",2019-12-18
"42","          88rising",2019-12-18
"43","          88rising",2019-12-18
"44","          88rising",2019-12-18
"45","        A$AP Rocky",2019-12-18
"46","    Taco Hemingway",2019-12-18
"47","    Taco Hemingway",2019-12-18
"48","    Taco Hemingway",2019-12-18
"49","    Taco Hemingway",2019-12-18
"50","    Taco Hemingway",2019-12-18
"51","           Jetlagz",2019-12-19
"52","     TUZZA Globale",2019-12-19
"53","     TUZZA Globale",2019-12-19
"54","     TUZZA Globale",2019-12-19
"55","     TUZZA Globale",2019-12-19
"56","           PRO8L3M",2019-12-19
"57","     TUZZA Globale",2019-12-19
"58","     TUZZA Globale",2019-12-19
"59","     TUZZA Globale",2019-12-19
"60","     TUZZA Globale",2019-12-19
"61","      BROCKHAMPTON",2019-12-19
"62","      BROCKHAMPTON",2019-12-19
"63","     TUZZA Globale",2019-12-20
"64","     TUZZA Globale",2019-12-20
"65","     TUZZA Globale",2019-12-20
"66","      Dominic Fike",2019-12-20
"67","      Dominic Fike",2019-12-20
"68","      Dominic Fike",2019-12-20
"69","       Omar Apollo",2019-12-20
"70","          Doja Cat",2019-12-20
"71","             Coals",2019-12-20
"72","             Coals",2019-12-20
"73","             Coals",2019-12-21
"74","     Leonard Cohen",2019-12-21
"75","Nick Cave & The...",2019-12-21
"76","        Kanye West",2019-12-21
"77","        Kanye West",2019-12-21
"78","        Kanye West",2019-12-21
"79","        Kanye West",2019-12-21
"80","        Kacperczyk",2019-12-21
"81","          Flirtini",2019-12-21
"82","Krzysztof Zalewski",2019-12-21
"83","             Sokó³",2019-12-21
"84","            Bedoes",2019-12-21
"85","            Bedoes",2019-12-21
"86","            Bedoes",2019-12-21
"87","          100 gecs",2019-12-21
"88","       Oliver Tree",2019-12-21
"89","       Oliver Tree",2019-12-21
"90","            Bedoes",2019-12-22
"91","            Bedoes",2019-12-22
"92","            Bedoes",2019-12-22
"93","            Bedoes",2019-12-22
"94","            Bedoes",2019-12-22
"95","            Bedoes",2019-12-22
"96","            Bedoes",2019-12-22
"97","            Bedoes",2019-12-22
"98","            Bedoes",2019-12-22
"99","            Bedoes",2019-12-22
"100","            Bedoes",2019-12-22
"101","            Bedoes",2019-12-22
"102","            Bedoes",2019-12-22
"103","            Bedoes",2019-12-22
"104","            Bedoes",2019-12-22
"105","     TUZZA Globale",2019-12-22
"106","     TUZZA Globale",2019-12-22
"107","     TUZZA Globale",2019-12-22
"108","     TUZZA Globale",2019-12-22
"109","           Jetlagz",2019-12-22
"110","           Jetlagz",2019-12-22
"111","           Jetlagz",2019-12-22
"112","   Dawid Podsiad³o",2019-12-23
"113","     Billie Eilish",2019-12-23
"114","   Dawid Podsiad³o",2019-12-23
"115","             Coals",2019-12-23
"116","           PRO8L3M",2019-12-23
"117","    Taco Hemingway",2019-12-23
"118","          100 gecs",2019-12-23
"119","      Kaz Ba³agane",2019-12-23
"120","        The Weeknd",2019-12-27
"121","        The Weeknd",2019-12-27
"122","     Billie Eilish",2019-12-28
"123","     Billie Eilish",2019-12-28
"124","     Billie Eilish",2019-12-28
"125","     Billie Eilish",2019-12-28
"126","            Bedoes",2019-12-28
"127","            Bedoes",2019-12-28
"128","            Bedoes",2019-12-28
"129","            Bedoes",2019-12-28
"130","            Bedoes",2019-12-28
"131","            Bedoes",2019-12-28
"132","            Bedoes",2019-12-28
"133","            Bedoes",2019-12-28
"134","            Bedoes",2019-12-28
"135","            Bedoes",2019-12-28
"136","            Bedoes",2019-12-28
"137","            Bedoes",2019-12-28
"138","            Bedoes",2019-12-28
"139","    Dorian Electra",2019-12-28
"140","    Dorian Electra",2019-12-28
"141"," Chance the Rapper",2019-12-28
"142"," Chance the Rapper",2019-12-28
"143"," Chance the Rapper",2019-12-28
"144"," Chance the Rapper",2019-12-28
"145"," Chance the Rapper",2019-12-28
"146","            Bedoes",2019-12-29
"147","            Bedoes",2019-12-29
"148","            Bedoes",2019-12-29
"149","            Bedoes",2019-12-29
"150","            Bedoes",2019-12-29
"151","            Bedoes",2019-12-29
"152","            Bedoes",2019-12-29
"153","            Bedoes",2019-12-29
"154","            Bedoes",2019-12-29
"155","            Bedoes",2019-12-29
"156","            Bedoes",2019-12-29
"157","            Bedoes",2019-12-29
"158","            Bedoes",2019-12-29
"159","            Bedoes",2019-12-29
"160","            Bedoes",2019-12-29
"161","            Bedoes",2019-12-29
"162","            Bedoes",2019-12-29
"163","            Bedoes",2019-12-29
"164","            Bedoes",2019-12-29
"165","    Dorian Electra",2019-12-29
"166","    Dorian Electra",2019-12-29
"167","    Dorian Electra",2019-12-29
"168","    Dorian Electra",2019-12-29
"169","    Dorian Electra",2019-12-29
"170","    Dorian Electra",2019-12-29
"171","    Dorian Electra",2019-12-29
"172","    Dorian Electra",2019-12-29
"173","    Dorian Electra",2019-12-29
"174","    Dorian Electra",2019-12-29
"175","    Dorian Electra",2019-12-29
"176","    Dorian Electra",2019-12-29
"177","    Dorian Electra",2019-12-29
"178","           Stormzy",2019-12-29
"179","           Stormzy",2019-12-29
"180","           Stormzy",2019-12-29
"181","           Stormzy",2019-12-29
"182","          100 gecs",2019-12-29
"183"," Chance the Rapper",2019-12-29
"184","        The Weeknd",2019-12-29
"185","        The Weeknd",2019-12-29
"186","         JPEGMAFIA",2019-12-29
"187","        Kanye West",2019-12-29
"188","        Kanye West",2019-12-29
"189","        Kanye West",2019-12-29
"190","        Kanye West",2019-12-29
"191","        Kanye West",2019-12-29
"192","        Rich Brian",2019-12-29
"193","        Rich Brian",2019-12-29
"194","        Rich Brian",2019-12-29
"195","      The National",2019-12-29
"196","      The National",2019-12-29
"197","      The National",2019-12-29
"198","      The National",2019-12-29
"199","      The National",2019-12-29
"200","      The National",2019-12-29
"201","      The National",2019-12-29
"202","      The National",2019-12-29
"203","      The National",2019-12-29
"204","      The National",2019-12-29
"205","      The National",2019-12-29
"206"," Chance the Rapper",2019-12-30
"207","          100 gecs",2019-12-30
"208","          100 gecs",2019-12-30
"209","          100 gecs",2019-12-30
"210","          100 gecs",2019-12-30
"211","          100 gecs",2019-12-30
"212","          100 gecs",2019-12-30
"213","    Injury Reserve",2019-12-30
"214","    Injury Reserve",2019-12-30
"215","        The Weeknd",2019-12-30
"216","        The Weeknd",2019-12-30
"217","        The Weeknd",2019-12-30
"218","        The Weeknd",2019-12-30
"219","        The Weeknd",2019-12-30
"220","    Dorian Electra",2019-12-30
"221","    Dorian Electra",2019-12-30
"222","    Dorian Electra",2019-12-30
"223","    Dorian Electra",2019-12-30
"224","    Dorian Electra",2019-12-30
"225","    Dorian Electra",2019-12-30
"226","    Dorian Electra",2019-12-30
"227","    Dorian Electra",2019-12-30
"228","    Dorian Electra",2019-12-30
"229","           Jetlagz",2019-12-30
"230","           Jetlagz",2019-12-30
"231","           Jetlagz",2019-12-30
"232","             Coals",2019-12-30
"233","             Coals",2019-12-30
"234","             Coals",2019-12-30
"235","             Coals",2019-12-30
"236","             Coals",2019-12-30
"237","             Coals",2019-12-30
"238","             Coals",2019-12-30
"239","             Coals",2019-12-30
"240","            Bedoes",2019-12-30
"241","            Bedoes",2019-12-30
"242","          Flirtini",2019-12-30
"243","          Flirtini",2019-12-30
"244","        Ameer Vann",2019-12-30
"245","            Masego",2019-12-30
"246","            Masego",2019-12-30
"247","        Rich Brian",2019-12-30
"248","        Rich Brian",2019-12-30
"249","        Rich Brian",2019-12-30
"250","        Rich Brian",2019-12-30
"251","     TUZZA Globale",2019-12-30
"252","     TUZZA Globale",2019-12-30
"253","            D'banj",2019-12-30
"254","     Timmy Trumpet",2019-12-30
"255","      Travis Scott",2019-12-30
"256","           PRO8L3M",2019-12-30
"257","           PRO8L3M",2019-12-30
"258","   Dawid Podsiad³o",2019-12-31
"259","          Smolasty",2019-12-31
"260","      Kaz Ba³agane",2019-12-31
"261","      Kaz Ba³agane",2019-12-31
"262","      Kaz Ba³agane",2019-12-31
"263","          Sir Mich",2019-12-31
"264","          Sir Mich",2019-12-31
"265","          Sir Mich",2019-12-31
"266","          Sir Mich",2019-12-31
"267","           Jetlagz",2019-12-31
"268","          Sir Mich",2019-12-31
"269","              TEDE",2019-12-31
"270","           PRO8L3M",2019-12-31
"271","     Malik Montana",2019-12-31
"272","     Malik Montana",2019-12-31
"273","           PRO8L3M",2019-12-31
"274","        Kanye West",2019-12-31
"275","      Travis Scott",2019-12-31
"276","      Travis Scott",2019-12-31
"277","      Travis Scott",2019-12-31
"278","       Kodak Black",2019-12-31
"279","              ABBA",2019-12-31
"280","   KIDS SEE GHOSTS",2019-12-31
"281","      New Radicals",2019-12-31
"282","       ScHoolboy Q",2019-12-31
"283","         blink-182",2019-12-31
"284","       ScHoolboy Q",2019-12-31
"285","  Flatbush Zombies",2019-12-31
"286","         A$AP Ferg",2019-12-31
"287","        TACONAFIDE",2019-12-31
"288","     Playboi Carti",2019-12-31
"289","       Kodak Black",2019-12-31
"290","       Kodak Black",2019-12-31
"291","     Billie Eilish",2019-12-31
"292","              Mata",2019-12-31
"293","   KIDS SEE GHOSTS",2019-12-31
"294","         Adi Nowak",2019-12-31
"295","             Pezet",2019-12-31
"296","             Pezet",2019-12-31
"297","             Pezet",2019-12-31
"298","             Pezet",2019-12-31
"299","      Travis Scott",2019-12-31
"300","         Young Igi",2019-12-31
"301","            Bedoes",2019-12-31
