"","artistName","endTime"
"1","          Mr. Oizo",2019-12-22
"2","       Angel Olsen",2019-12-23
"3","       Tkay Maidza",2019-12-23
"4","        Charli XCX",2019-12-23
"5","        Charli XCX",2019-12-23
"6","   Vampire Weekend",2019-12-23
"7","      Lana Del Rey",2019-12-23
"8","Black Country, ...",2019-12-23
"9","      Hobo Johnson",2019-12-23
"10","     Lingua Ignota",2019-12-23
"11","           ROSALÍA",2019-12-23
"12","             Pezet",2019-12-23
"13","             Pezet",2019-12-23
"14","     Jan-Rapowanie",2019-12-23
"15","     Jan-Rapowanie",2019-12-23
"16","           Xiu Xiu",2019-12-23
"17","          Blueface",2019-12-23
"18","          100 gecs",2019-12-23
"19","             Squid",2019-12-23
"20"," American Football",2019-12-23
"21","         Rammstein",2019-12-23
"22","          Zack Fox",2019-12-23
"23","        black midi",2019-12-23
"24","  Purple Mountains",2019-12-23
"25"," Caroline Polachek",2019-12-23
"26","      Denzel Curry",2019-12-23
"27","    Injury Reserve",2019-12-23
"28","        Charli XCX",2019-12-23
"29","         Lil Nas X",2019-12-23
"30","       Angel Olsen",2019-12-23
"31","     Rina Sawayama",2019-12-23
"32","  Michael Kiwanuka",2019-12-23
"33","          Doja Cat",2019-12-23
"34","  Kirin J Callinan",2019-12-23
"35","     Billie Eilish",2019-12-23
"36","        DJ Premier",2019-12-23
"37","    Anderson .Paak",2019-12-23
"38","           ROSALÍA",2019-12-23
"39","           ROSALÍA",2019-12-23
"40","           ROSALÍA",2019-12-23
"41","           ROSALÍA",2019-12-23
"42","           ROSALÍA",2019-12-23
"43","           ROSALÍA",2019-12-23
"44","          J Balvin",2019-12-23
"45","           ROSALÍA",2019-12-23
"46","           ROSALÍA",2019-12-23
"47","           ROSALÍA",2019-12-23
"48","           ROSALÍA",2019-12-23
"49","           ROSALÍA",2019-12-23
"50","           ROSALÍA",2019-12-23
"51","           ROSALÍA",2019-12-23
"52","             Ghost",2019-12-23
"53","      Quelle Chris",2019-12-23
"54","       Weyes Blood",2019-12-23
"55","        Iglooghost",2019-12-23
"56","             Lizzo",2019-12-23
"57","           Liturgy",2019-12-23
"58","    Richard Dawson",2019-12-23
"59","             Poppy",2019-12-23
"60","     Freddie Gibbs",2019-12-23
"61","         clipping.",2019-12-23
"62","    Massive Attack",2019-12-23
"63","    Massive Attack",2019-12-23
"64","    Porcupine Tree",2019-12-24
"65","           Archive",2019-12-24
"66","           Archive",2019-12-24
"67","             Pezet",2019-12-24
"68","     Malik Montana",2019-12-24
"69","    Injury Reserve",2019-12-24
"70","      Hooverphonic",2019-12-24
"71","      Hooverphonic",2019-12-24
"72","     Elliott Smith",2019-12-24
"73","      Hooverphonic",2019-12-24
"74","  Emilíana Torrini",2019-12-24
"75","   The Cranberries",2019-12-24
"76","             Pezet",2019-12-24
"77","            Sarius",2019-12-24
"78","             Pezet",2019-12-24
"79","            Rzabka",2019-12-24
"80","            Rzabka",2019-12-24
"81","     Malik Montana",2019-12-24
"82","     Malik Montana",2019-12-24
"83","      Denzel Curry",2019-12-24
"84","         JPEGMAFIA",2019-12-24
"85","      Hobo Johnson",2019-12-24
"86","   Vampire Weekend",2019-12-24
"87","      Alex Cameron",2019-12-24
"88","   Piêæ Dwa Dêbiec",2019-12-24
"89","      Lil Uzi Vert",2019-12-25
"90","      Lil Uzi Vert",2019-12-25
"91","       Arcade Fire",2019-12-25
"92","      Hobo Johnson",2019-12-25
"93","      Lil Uzi Vert",2019-12-25
"94","      Lil Uzi Vert",2019-12-25
"95","  Purple Mountains",2019-12-25
"96","            Grimes",2019-12-25
"97","            SOPHIE",2019-12-25
"98","            Grimes",2019-12-25
"99","            Grimes",2019-12-25
"100","            Grimes",2019-12-25
"101","            Grimes",2019-12-25
"102","     Leonard Cohen",2019-12-25
