"","from","to","from_num","to_num"
"1","Szymon","Michael Kiwanuka",0,3
"2","Szymon","Taco Hemingway",0,4
"3","Szymon","Kanye West",0,5
"4","Szymon","Rhye",0,6
"5","Szymon","Artur Rojek",0,7
"6","Szymon","Fleet Foxes",0,8
"7","Szymon","Lana Del Rey",0,9
"8","Szymon","Nick Cave & The Bad Seeds",0,10
"9","Szymon","Massive Attack",0,11
"10","Szymon","Radiohead",0,12
"11","Janek","Guzior",1,13
"12","Janek","Myslovitz",1,14
"13","Janek","PRO8L3M",1,15
"14","Janek","The Weeknd",1,16
"15","Janek","clipping.",1,17
"16","Janek","Radiohead",1,12
"17","Janek","Nick Cave & The Bad Seeds",1,10
"18","Janek","Fleet Foxes",1,8
"19","Janek","Massive Attack",1,11
"20","Janek","Lana Del Rey",1,9
"21","Bartek","Michael Kiwanuka",2,3
"22","Bartek","Rhye",2,6
"23","Bartek","Taco Hemingway",2,4
"24","Bartek","Kanye West",2,5
"25","Bartek","Artur Rojek",2,7
"26","Bartek","The Weeknd",2,16
"27","Bartek","PRO8L3M",2,15
"28","Bartek","clipping.",2,17
"29","Bartek","Myslovitz",2,14
"30","Bartek","Guzior",2,13
