"","from","to","from_num","to_num","wariant"
"1","Szymon","Fleet Foxes",0,1,"Szymon"
"2","Szymon","Lana Del Rey",0,2,"Szymon"
"3","Szymon","Nick Cave & The Bad Seeds",0,3,"Szymon"
"4","Szymon","Kamasi Washington",0,4,"Szymon"
"5","Szymon","Gorillaz",0,5,"Szymon"
"6","Szymon","Massive Attack",0,6,"Szymon"
"7","Szymon","Michael Kiwanuka",0,7,"Szymon"
"8","Szymon","Pink Floyd",0,8,"Szymon"
"9","Bartek","Oliver Tree",0,1,"Bartek"
"10","Bartek","The Weeknd",0,2,"Bartek"
"11","Bartek","Joji",0,3,"Bartek"
"12","Bartek","PRO8L3M",0,4,"Bartek"
"13","Bartek","clipping.",0,5,"Bartek"
"14","Bartek","TUZZA Globale",0,6,"Bartek"
"15","Bartek","Bedoes",0,7,"Bartek"
"16","Bartek","Lingua Ignota",0,8,"Bartek"
"17","Janek","Tom Waits",0,1,"Janek"
"18","Janek","Nicolas Jaar",0,2,"Janek"
"19","Janek","The Flaming Lips",0,3,"Janek"
"20","Janek","Slowdive",0,4,"Janek"
"21","Janek","TOOL",0,5,"Janek"
"22","Janek","Radiohead",0,6,"Janek"
"23","Janek","Morphine",0,7,"Janek"
"24","Janek","Nick Cave & The Bad Seeds",0,8,"Janek"
