"","id","idn","user","size"
"1","Szymon",0,"Szymon",10
"2","Janek",1,"Janek",10
"3","Bartek",2,"Bartek",10
"4","Michael Kiwanuka",3,"Artists",3
"5","Taco Hemingway",4,"Artists",3
"6","Kanye West",5,"Artists",3
"7","Rhye",6,"Artists",3
"8","Artur Rojek",7,"Artists",3
"9","Fleet Foxes",8,"Artists",3
"10","Lana Del Rey",9,"Artists",3
"11","Nick Cave & The Bad Seeds",10,"Artists",3
"12","Massive Attack",11,"Artists",3
"13","Radiohead",12,"Artists",3
"14","Guzior",13,"Artists",3
"15","Myslovitz",14,"Artists",3
"16","PRO8L3M",15,"Artists",3
"17","The Weeknd",16,"Artists",3
"18","clipping.",17,"Artists",3
