"","id","idn","user","size","wariant"
"1","Janek",0,"Janek",10,"Janek"
"2","Tom Waits",1,"Artists",3,"Janek"
"3","Nicolas Jaar",2,"Artists",3,"Janek"
"4","The Flaming Lips",3,"Artists",3,"Janek"
"5","Slowdive",4,"Artists",3,"Janek"
"6","TOOL",5,"Artists",3,"Janek"
"7","Radiohead",6,"Artists",3,"Janek"
"8","Morphine",7,"Artists",3,"Janek"
"9","Nick Cave & The Bad Seeds",8,"Artists",3,"Janek"
"10","Szymon",0,"Szymon",10,"Szymon"
"11","Fleet Foxes",1,"Artists",3,"Szymon"
"12","Lana Del Rey",2,"Artists",3,"Szymon"
"13","Nick Cave & The Bad Seeds",3,"Artists",3,"Szymon"
"14","Kamasi Washington",4,"Artists",3,"Szymon"
"15","Gorillaz",5,"Artists",3,"Szymon"
"16","Massive Attack",6,"Artists",3,"Szymon"
"17","Michael Kiwanuka",7,"Artists",3,"Szymon"
"18","Pink Floyd",8,"Artists",3,"Szymon"
"19","Bartek",0,"Bartek",10,"Bartek"
"20","Oliver Tree",1,"Artists",3,"Bartek"
"21","The Weeknd",2,"Artists",3,"Bartek"
"22","Joji",3,"Artists",3,"Bartek"
"23","PRO8L3M",4,"Artists",3,"Bartek"
"24","clipping.",5,"Artists",3,"Bartek"
"25","TUZZA Globale",6,"Artists",3,"Bartek"
"26","Bedoes",7,"Artists",3,"Bartek"
"27","Lingua Ignota",8,"Artists",3,"Bartek"
