"","id","idn","user","size","wariant"
"1","Janek",0,"Janek",10,"jb"
"2","Bartek",1,"Bartek",10,"jb"
"3","Nick Cave & The Bad Seeds",2,"Artists",3,"jb"
"4","Myslovitz",3,"Artists",3,"jb"
"5","PRO8L3M",4,"Artists",3,"jb"
"6","The Weeknd",5,"Artists",3,"jb"
"7","clipping.",6,"Artists",3,"jb"
"8","Oliver Tree",7,"Artists",3,"jb"
"9","Joji",8,"Artists",3,"jb"
"10","TUZZA Globale",9,"Artists",3,"jb"
"11","Bedoes",10,"Artists",3,"jb"
"12","Lingua Ignota",11,"Artists",3,"jb"
"13","Dorian Electra",12,"Artists",3,"jb"
"14","Tom Waits",13,"Artists",3,"jb"
"15","Nicolas Jaar",14,"Artists",3,"jb"
"16","The Flaming Lips",15,"Artists",3,"jb"
"17","Slowdive",16,"Artists",3,"jb"
"18","TOOL",17,"Artists",3,"jb"
"19","Radiohead",18,"Artists",3,"jb"
"20","Szymon",0,"Szymon",10,"sb"
"21","Bartek",1,"Bartek",10,"sb"
"22","Lana Del Rey",2,"Artists",3,"sb"
"23","Nick Cave & The Bad Seeds",3,"Artists",3,"sb"
"24","Michael Kiwanuka",4,"Artists",3,"sb"
"25","Taco Hemingway",5,"Artists",3,"sb"
"26","Kanye West",6,"Artists",3,"sb"
"27","Fleet Foxes",7,"Artists",3,"sb"
"28","Kamasi Washington",8,"Artists",3,"sb"
"29","Gorillaz",9,"Artists",3,"sb"
"30","Massive Attack",10,"Artists",3,"sb"
"31","Pink Floyd",11,"Artists",3,"sb"
"32","Radiohead",12,"Artists",3,"sb"
"33","Oliver Tree",13,"Artists",3,"sb"
"34","The Weeknd",14,"Artists",3,"sb"
"35","Joji",15,"Artists",3,"sb"
"36","PRO8L3M",16,"Artists",3,"sb"
"37","clipping.",17,"Artists",3,"sb"
"38","TUZZA Globale",18,"Artists",3,"sb"
"39","Szymon",0,"Szymon",10,"sj"
"40","Janek",1,"Janek",10,"sj"
"41","Fleet Foxes",2,"Artists",3,"sj"
"42","Lana Del Rey",3,"Artists",3,"sj"
"43","Nick Cave & The Bad Seeds",4,"Artists",3,"sj"
"44","Massive Attack",5,"Artists",3,"sj"
"45","Radiohead",6,"Artists",3,"sj"
"46","Kamasi Washington",7,"Artists",3,"sj"
"47","Gorillaz",8,"Artists",3,"sj"
"48","Michael Kiwanuka",9,"Artists",3,"sj"
"49","Pink Floyd",10,"Artists",3,"sj"
"50","Keith Jarrett",11,"Artists",3,"sj"
"51","Łona I Webber",12,"Artists",3,"sj"
"52","Tom Waits",13,"Artists",3,"sj"
"53","Nicolas Jaar",14,"Artists",3,"sj"
"54","The Flaming Lips",15,"Artists",3,"sj"
"55","Slowdive",16,"Artists",3,"sj"
"56","TOOL",17,"Artists",3,"sj"
"57","Morphine",18,"Artists",3,"sj"
