"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1","2020-12-18 10:01","The Avalanches","Ghost Story",83866,0.302,0.356,9,-16.283,1,0.0387,0.954,0.927,0.666,0.152,71.104,"audio_features","37qkB4DJj0M1qjYqg5EUlK","spotify:track:37qkB4DJj0M1qjYqg5EUlK","https://api.spotify.com/v1/tracks/37qkB4DJj0M1qjYqg5EUlK","https://api.spotify.com/v1/audio-analysis/37qkB4DJj0M1qjYqg5EUlK",75027,3
"2","2020-12-18 10:02","The Avalanches","Song For Barbara Payton",100973,0.355,0.358,5,-16.509,1,0.0761,0.949,0.156,0.377,0.22,72.429,"audio_features","5ImMXrczU0jwRgEuWBJDqz","spotify:track:5ImMXrczU0jwRgEuWBJDqz","https://api.spotify.com/v1/tracks/5ImMXrczU0jwRgEuWBJDqz","https://api.spotify.com/v1/audio-analysis/5ImMXrczU0jwRgEuWBJDqz",100973,5
"3","2020-12-18 10:05","The Avalanches","We Will Always Love You",172040,0.535,0.626,2,-7.607,0,0.0418,0.4,0.752,0.102,0.176,160.106,"audio_features","51wxtCuipwjvvT99wsSmCc","spotify:track:51wxtCuipwjvvT99wsSmCc","https://api.spotify.com/v1/tracks/51wxtCuipwjvvT99wsSmCc","https://api.spotify.com/v1/audio-analysis/51wxtCuipwjvvT99wsSmCc",172040,4
"4","2020-12-18 10:08","The Avalanches","The Divine Chord",187586,0.557,0.863,0,-5.321,0,0.0391,0.104,0,0.697,0.373,105.362,"audio_features","3A0cAzFKPefBCz7Z02UnnO","spotify:track:3A0cAzFKPefBCz7Z02UnnO","https://api.spotify.com/v1/tracks/3A0cAzFKPefBCz7Z02UnnO","https://api.spotify.com/v1/audio-analysis/3A0cAzFKPefBCz7Z02UnnO",187587,4
"5","2020-12-18 10:10","The Avalanches","Solitary Ceremonies",74213,0.267,0.267,3,-17.044,1,0.0384,0.99,0.702,0.239,0.193,139.682,"audio_features","4ITwUwPgYYl9QF2k9dyH9r","spotify:track:4ITwUwPgYYl9QF2k9dyH9r","https://api.spotify.com/v1/tracks/4ITwUwPgYYl9QF2k9dyH9r","https://api.spotify.com/v1/audio-analysis/4ITwUwPgYYl9QF2k9dyH9r",74213,5
"6","2020-12-18 10:13","The Avalanches","Interstellar Love",218506,0.448,0.83,2,-6.784,1,0.105,0.388,0.000156,0.649,0.27,116.311,"audio_features","4PUGAmAvt5VxbbefkhV0x5","spotify:track:4PUGAmAvt5VxbbefkhV0x5","https://api.spotify.com/v1/tracks/4PUGAmAvt5VxbbefkhV0x5","https://api.spotify.com/v1/audio-analysis/4PUGAmAvt5VxbbefkhV0x5",218507,4
"7","2020-12-18 10:15","The Avalanches","Ghost Story Pt. 2",75026,0.302,0.356,9,-16.283,1,0.0387,0.954,0.927,0.666,0.152,71.104,"audio_features","37qkB4DJj0M1qjYqg5EUlK","spotify:track:37qkB4DJj0M1qjYqg5EUlK","https://api.spotify.com/v1/tracks/37qkB4DJj0M1qjYqg5EUlK","https://api.spotify.com/v1/audio-analysis/37qkB4DJj0M1qjYqg5EUlK",75027,3
"8","2020-12-18 10:19","The Avalanches","Reflecting Light",261413,0.247,0.701,9,-7.07,0,0.16,0.499,0.000252,0.665,0.404,81.192,"audio_features","3mkr5TrEjhi5RhVSjvg0nM","spotify:track:3mkr5TrEjhi5RhVSjvg0nM","https://api.spotify.com/v1/tracks/3mkr5TrEjhi5RhVSjvg0nM","https://api.spotify.com/v1/audio-analysis/3mkr5TrEjhi5RhVSjvg0nM",261413,4
"9","2020-12-18 10:20","The Avalanches","Carrier Waves",57826,0.3,0.481,11,-16.092,0,0.0576,0.899,0.779,0.346,0.0775,113.121,"audio_features","501InEJ0WT4PTkvr7EVXvl","spotify:track:501InEJ0WT4PTkvr7EVXvl","https://api.spotify.com/v1/tracks/501InEJ0WT4PTkvr7EVXvl","https://api.spotify.com/v1/audio-analysis/501InEJ0WT4PTkvr7EVXvl",57827,4
"10","2020-12-18 10:22","The Avalanches","Oh The Sunn!",138213,0.708,0.644,4,-6.107,0,0.0322,0.054,0.0252,0.44,0.124,111.221,"audio_features","1Qth3TmxzsBYDpCRCffdZk","spotify:track:1Qth3TmxzsBYDpCRCffdZk","https://api.spotify.com/v1/tracks/1Qth3TmxzsBYDpCRCffdZk","https://api.spotify.com/v1/audio-analysis/1Qth3TmxzsBYDpCRCffdZk",138213,4
