"","word","freq"
"1","rock",1606
"2","lo-fi beats",1600
"3","chillhop",1458
"4","polish alternative",1374
"5","indie rock",1253
"6","modern rock",1084
"7","alternative dance",849
"8","neo-psychedelic",801
"9","indie pop",784
"10","classic rock",730
"11","polish pop",724
"12","french indie pop",684
"13","electronica",672
"14","new rave",627
"15","art rock",586
"16","french indietronica",586
"17","album rock",571
"18","polish indie",554
"19","permanent wave",553
"20","freak folk",541
"21","indie garage rock",537
"22","art pop",529
"23","alternative rock",525
"24","chillwave",498
"25","mellow gold",486
"26","dance rock",469
"27","pop",469
"28","indietronica",450
"29","modern alternative rock",417
"30","soft rock",405
"31","electropop",404
"32","folk rock",392
"33","dance-punk",384
"34","dream pop",369
"35","indie soul",347
"36","focus beats",343
"37","psychedelic rock",341
"38","new french touch",340
"39","chamber psych",333
"40","nu gaze",326
"41","dance pop",318
"42","polish electronica",284
"43","stomp and holler",275
"44","new wave",261
"45","pop dance",236
"46","glam rock",232
"47","new wave pop",231
"48","jazz boom bap",228
"49","baroque pop",223
"50","polish rock",219
"51","hip hop",208
"52","french psychedelic",203
"53","adult standards",201
"54","bedroom pop",199
"55","experimental pop",197
"56","filter house",196
"57","indie folk",196
"58","rap",191
"59","folk",185
"60","shimmer pop",180
"61","new romantic",179
"62","polish alternative rock",178
"63","brill building pop",175
"64","edm",175
"65","tropical house",169
"66","polish post-punk",167
"67","roots rock",161
"68","neo-synthpop",155
"69","underground hip hop",151
"70","country rock",150
"71","singer-songwriter",150
"72","la indie",149
"73","modern dream pop",146
"74","melancholia",143
"75","downtempo",142
"76","vapor soul",139
"77","pop rap",137
"78","post-teen pop",137
"79","synthpop",136
"80","pop rock",133
"81","blues rock",129
"82","microhouse",129
"83","hard rock",128
"84","shoegaze",126
"85","metropopolis",125
"86","garage rock",124
"87","australian psych",121
"88","indie poptimism",120
"89","vapor twitch",118
"90","europop",117
"91","polish hip hop",117
"92","french rock",115
"93","electro-pop francais",114
"94","alternative hip hop",113
"95","emo rap",108
"96","nu disco",107
"97","british invasion",105
"98","polish punk",104
"99","dark trap",103
"100","indie surf",103
"101","post-punk",99
"102","trip hop",96
"103","electro house",94
"104","alternative r&b",92
"105","punk blues",91
"106","russian post-punk",91
"107","synthwave",91
"108","polish alternative rap",90
"109","bubblegum pop",89
"110","classic polish pop",88
"111","classic uk pop",88
"112","protopunk",87
"113","yacht rock",85
"114","escape room",83
"115","oxford indie",82
"116","britpop",81
"117","disco house",81
"118","funk",81
"119","new weird america",78
"120","chamber pop",76
"121","minimal techno",76
"122","rock-and-roll",75
"123","french synthpop",74
"124","lo-fi cover",72
"125","polish trap",71
"126","kiwi rock",70
"127","garage psych",69
"128","vaporwave",68
"129","bay area indie",67
"130","lounge",65
"131","trap latino",65
"132","mpb",64
"133","talent show",64
"134","folk-pop",63
"135","modern blues rock",63
"136","soul",63
"137","alternative metal",62
"138","belarusian indie",62
"139","wonky",62
"140","double drumming",61
"141","lo-fi indie",60
"142","psychedelic pop",60
"143","hardcore hip hop",59
"144","neo-classical",59
"145","nu jazz",59
"146","australian indie",58
"147","electro",58
"148","big beat",57
"149","polish indie rock",57
"150","socal pop punk",57
"151","house",56
"152","latin",56
"153","nu metal",56
"154","anti-folk",55
"155","future bass",55
"156","brooklyn indie",54
"157","organic house",54
"158","gangster rap",53
"159","reggaeton",53
"160","beatlesque",52
"161","madchester",52
"162","noise pop",52
"163","sovietwave",52
"164","uk post-punk",52
"165","bossa nova",51
"166","canadian indie",51
"167","japanese chillhop",51
"168","metal",51
"169","future funk",50
"170","minecraft",50
"171","new americana",50
"172","swedish electropop",50
"173","merseybeat",49
"174","samba",49
"175","southern hip hop",49
"176","trap",49
"177","canadian singer-songwriter",48
"178","french shoegaze",48
"179","soundtrack",48
"180","indie jazz",47
"181","neo mellow",47
"182","phonk",47
"183","psychedelic soul",47
"184","swedish synthpop",47
"185","australian garage punk",46
"186","dark post-punk",46
"187","pop edm",46
"188","polish reggae",45
"189","polish synthpop",45
"190","australian dance",44
"191","compositional ambient",44
"192","east coast hip hop",44
"193","french pop",44
"194","contemporary jazz",43
"195","english indie rock",43
"196","intelligent dance music",43
"197","uk alternative pop",43
"198","piano rock",42
"199","quebec indie",42
"200","sad rap",42
"201","swedish pop",42
"202","symphonic rock",42
"203","classic canadian rock",41
"204","progressive house",41
"205","seattle indie",41
"206","space rock",41
"207","experimental",40
"208","garage rock revival",40
"209","contemporary post-bop",39
"210","modern folk rock",39
"211","punk",39
"212","rock independant francais",39
"213","sunshine pop",39
"214","new jersey indie",38
"215","ninja",38
"216","poezja spiewana",38
"217","post-rock",38
"218","scottish rock",37
"219","cool jazz",36
"220","jazz",36
"221","rockabilly",36
"222","big room",35
"223","polish hardcore",35
"224","tropicalia",35
"225","vocal jazz",35
"226","acid rock",34
"227","atl hip hop",34
"228","electronic rock",34
"229","german pop",34
"230","philly indie",34
"231","portland hip hop",34
"232","tech house",34
"233","baltimore indie",33
"234","celtic rock",33
"235","lo-fi",33
"236","sophisti-pop",33
"237","world",33
"238","boston rock",32
"239","indie deutschrap",32
"240","lithuanian pop",32
"241","motown",32
"242","austindie",31
"243","bubblegrunge",31
"244","chicago rap",31
"245","dark clubbing",31
"246","el paso indie",31
"247","jazz fusion",30
"248","neo soul",30
"249","pagode",30
"250","uk contemporary r&b",30
"251","eurodance",29
"252","indie r&b",29
"253","industrial",29
"254","neo-kraut",29
"255","nz indie",29
"256","power pop",29
"257","shiver pop",29
"258","brighton indie",28
"259","canadian pop",28
"260","cyberpunk",28
"261","funk rock",28
"262","gauze pop",28
"263","manguebeat",28
"264","samba-rock",28
"265","urban contemporary",28
"266","dark disco",27
"267","industrial rock",27
"268","italian disco",27
"269","lilith",27
"270","southern rock",27
"271","vapor trap",27
"272","west coast rap",27
"273","bebop",26
"274","bergen indie",26
"275","grave wave",26
"276","groove metal",26
"277","nz pop",26
"278","reggaeton colombiano",26
"279","slowcore",26
"280","south african alternative",26
"281","stoner rock",26
"282","tulsa indie",26
"283","vancouver indie",26
"284","zolo",26
"285","conscious hip hop",25
"286","elephant 6",25
"287","laboratorio",25
"288","progressive rock",25
"289","slovak pop",25
"290","ambient pop",24
"291","edmonton indie",24
"292","electroclash",24
"293","garage pop",24
"294","nova musica carioca",24
"295","traditional folk",24
"296","afrobeat",23
"297","chicago drill",23
"298","darksynth",23
"299","drill",23
"300","experimental rock",23
"301","folktronica",23
"302","hyperpop",23
"303","noise rock",23
"304","norwegian indie",23
"305","orlando indie",23
"306","piano cover",23
"307","afropop",22
"308","belgian indie",22
"309","bitpop",22
"310","chill r&b",22
"311","deep house",22
"312","disco",22
"313","hamburg electronic",22
"314","hollywood",22
"315","lo-fi chill",22
"316","pop punk",22
"317","psychedelic space rock",22
"318","uk experimental electronic",22
"319","viral pop",22
"320","abstract beats",21
"321","abstract hip hop",21
"322","belgian rock",21
"323","british singer-songwriter",21
"324","chill beats",21
"325","deep disco house",21
"326","halifax indie",21
"327","irish rock",21
"328","jazz saxophone",21
"329","liverpool indie",21
"330","nintendocore",21
"331","oakland indie",21
"332","russian alt pop",21
"333","scandipop",21
"334","swedish jazz",21
"335","australian electropop",20
"336","classic soul",20
"337","digital hardcore",20
"338","float house",20
"339","german rock",20
"340","italian indie pop",20
"341","lgbtq+ hip hop",20
"342","pittsburgh rap",20
"343","rochester mn indie",20
"344","bow pop",19
"345","chicago house",19
"346","glitch hop",19
"347","indie dream pop",19
"348","jazztronica",19
"349","no wave",19
"350","old school hip hop",19
"351","swedish indie pop",19
"352","swiss indie",19
"353","toronto indie",19
"354","alternative country",18
"355","ambient",18
"356","art punk",18
"357","aussietronica",18
"358","bass trap",18
"359","canadian contemporary r&b",18
"360","classic country pop",18
"361","deep euro house",18
"362","electric blues",18
"363","electronic trap",18
"364","future garage",18
"365","german indie",18
"366","happy hardcore",18
"367","hardcore techno",18
"368","kc indie",18
"369","latin pop",18
"370","norman ok indie",18
"371","norwegian space disco",18
"372","r&b",18
"373","social media pop",18
"374","video game music",18
"375","christian pop",17
"376","cumbia villera",17
"377","deep new americana",17
"378","deep tropical house",17
"379","ecm-style jazz",17
"380","german techno",17
"381","glitch",17
"382","glitch pop",17
"383","heartland rock",17
"384","icelandic indie",17
"385","instrumental stoner rock",17
"386","jazz rap",17
"387","latin jazz",17
"388","miami hip hop",17
"389","minimal wave",17
"390","musica tradicional cubana",17
"391","organic electronic",17
"392","russian indie",17
"393","russian rock",17
"394","swamp rock",17
"395","szanty",17
"396","australian rock",16
"397","balearic",16
"398","bass music",16
"399","british indie rock",16
"400","canadian psychedelic rock",16
"401","chanson",16
"402","christian hip hop",16
"403","christian trap",16
"404","classic czech pop",16
"405","classic garage rock",16
"406","cumbia chilena",16
"407","cumbia paraguaya",16
"408","czech pop",16
"409","dutch indie",16
"410","easy listening",16
"411","gbvfi",16
"412","jazz piano",16
"413","la pop",16
"414","modern jazz trio",16
"415","nightrun",16
"416","north carolina indie",16
"417","nova mpb",16
"418","power metal",16
"419","psychill",16
"420","swing",16
"421","turntablism",16
"422","uk contemporary jazz",16
"423","uk pop",16
"424","ambeat",15
"425","atlanta indie",15
"426","brazilian rock",15
"427","chill out",15
"428","czech rock",15
"429","deep groove house",15
"430","downtempo bass",15
"431","electra",15
"432","icelandic rock",15
"433","london indie",15
"434","psychedelic doom",15
"435","psychedelic trance",15
"436","rap metal",15
"437","sheffield indie",15
"438","sung poetry",15
"439","women's music",15
"440","arkansas country",14
"441","big band",14
"442","blues",14
"443","brazilian indie",14
"444","dunedin indie",14
"445","freakbeat",14
"446","german soundtrack",14
"447","hard bop",14
"448","hardvapour",14
"449","hauntology",14
